title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Incorrect Old English or in Correct Old English? An Analysis of the Corrections in the Twelfth-Century Eadwine Psalter,"Baalen, Amos Mark Willem van","['Porck, M.H.']",2017,Faculty of Humanities,Engelse taal en cultuur (BA),Bachelor thesis,en,"This thesis provides a linguistic analysis of the corrections to the Old English gloss of five psalms (Psalms 5, 15, 25, 35 and 45) in the twelfth-century Eadwine Psalter. These corrections are especially prevalent in the first part of the Eadwine Psalter (Psalms 1-77) and derive from the tenth-century Regius Psalter. The corrections are analysed in order to determine whether they can be characterised in terms of their type, frequency and the degree to which they adhere to Old English, i.e. whether the corrector introduced any modernisations into the gloss. Besides showing that the corrected glosses in the Eadwine Psalter generally conform quite well to the corresponding glosses in the Regius Psalter, the results of the analysis demonstrate that the corrector has used relatively few lexical and morphological modernisations in his corrections. This may be seen as surprising for a corrector who was working in the early Middle English period. It is also clear that nouns and verbs are among the most heavily corrected word classes and that there are very few individual recurring lemmata among the corrections. Generally, the results conform to current scholarship on the Eadwine Psalter.","['Late Old English', 'Early Middle English', 'Glosses', 'Psalters', 'Twelfth century', 'Corrections', 'Eadwine Psalter', 'Regius Psalter']"
The American Hero M/F: A Critical Discourse Analysis of Gender Identities in Obama’s ‘War on Terror’,"Haan, Janna Wilhelmine de","['Maat, Eelco van der']",2017,Faculty of Humanities,International Relations (MA),Master thesis,en,,"['discourse', 'war on terror', 'gender', 'international politics', 'discourse analysis', 'feminism']"
Henry Waxman and the first congressional hearings on AIDS,"Verwijk, Romy","['Fazzi, Darro']",2017,Faculty of Humanities,North American Studies (MA),Master thesis,en,,
De evolutie van de American Dream,"Josephine, Klugt van der","['Bilt, E. van de']",2017,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,
King Edward IV of England's Collection of Flemish Manuscripts. How a collection of illuminated manuscripts came about through emulation of Burgundian magnificence,"Zitman, Tess Ilijse","['Hartog, E. den']",2017,Faculty of Humanities,Arts and Culture (MA),Master thesis,en,,"['Manuscripts', 'Illumination', 'medieval', 'Collection', 'Library', 'Flemish manuscripts', 'Edward IV of England']"
Freedom of Expression: Religiously Offensive Speech in France and the Case of Charlie Hebdo,"Zandonella, Eva","['Oster, Jan']",2017,Faculty of Humanities,International Relations (MA),Master thesis,en,"This thesis seeks to explore the topic of religiously offensive cartoons, taking the attack on Charlie Hebdo in January 2015 as a starting point. After applying the legal framework and different legal philosophical justifications for free speech to the Charlie Hebdo cartoons, the analysis will take a closer look at a similar controversy in Denmark. As in the Danish cartoon controversy, analysing the broader socio-political context can provide a deeper understanding of the root causes of the protests following the attack. Drawing on critical discourse analysis this thesis investigates the question to what extend the public discourse on free speech in France after the attack on Charlie Hebdo and the role of French Muslims in this debate reflect power relations within the French society. Such power relations indeed manifest themselves in this discourse as it was the official side who started the discourse and had the power to chose wording, meaning of concepts, the topoi and to define ingroups and outgroups. Societal inequalities can also be noticed through participation and representation of French Muslisms and their interaction to the other groups present in the discourse.","['Freedom of Speech', 'religiously offensive speech', 'France', 'Charlie Hebdo']"
Rules of war during the MSF hospital bombings in Kunduz,"Schildkamp, Ayla","['Gawthorpe, Andy']",2017,Faculty of Humanities,International Relations (MA),Master thesis,en,,"['MSF hospital bombings Kunduz', 'jus in bello', 'just war theory', 'IHL', 'civilian targetting']"
a sociolinguistic investigation of language attitude among youth in Rongcheng,"Jiashuo, Zhang","['Rint, Sybesma']",2017,Faculty of Humanities,Linguistics (MA),Master thesis,en,"Language attitude is one of the most critical issues in sociolinguistics and since the study of Lambert et al. (1960), relevant research with various research methods has proliferated. The research results can help explain the nature of the distribution of language variations and is of vital importance when considering language restoration, maintenance or death. Besides, the language attitude research has theoretical significance on language planning and policy. The purpose of the current study is to determine the evaluative reactions of the younger generation in Rongcheng towards speakers of the standard language, Putonghua, and the non-standard variety, Rongcheng dialect. 47 high school and university students in Rongcheng participated in the study and the direct method of questionnaire and the indirect method of the matched guise technique are combined. In the matched guise experiment, six guises were selected for evaluation in the dimensions of social status and group solidarity. Generally speaking, on solidarity dimension, Rongcheng dialect is rated higher than Putonghua, while on status dimension, Putonghua is rated higher. The accented Putonghua is a form between Putonghua and Rongcheng dialect. On social status dimension, it is rated lowest compared with Putonghua and Rongcheng dialect and on group solidarity it is rated similarly to Putonghua. The findings indicate that Rongcheng dialect is the language variety with covert prestige in Rongcheng. Besides, subjects’ language attitude tend to be multi-valued: factors such as gender, educational level and etc. are linked to subjects' differentiated attitude towards Rongcheng dialect and Putonghua.","['language attitude', 'social status', 'group solidarity', 'matched guised test', 'language prestige']"
To Translate or not to Translate: The Value of Re-introducing Translation Exercises in the Secondary School Curriculum for Second Language Acquisition,"Lindenburg, Sjoerd","['Dorst, A.G.']",2017,Faculty of Humanities,Linguistics (MA),Master thesis,en,"This thesis investigates the ongoing debate about the role of translation in second language learning. In the past, scholars and teachers alike assumed that translation caused interference and therefore halted a learner’s progress in learning a second or foreign language. More recent research, however, has attempted to counter common conceptions regarding translation’s ineffectiveness as a language-learning and language-teaching tool. My thesis provides an overview of past and current language acquisition theories and teaching methods, and explains why most of these theories and methods are considered to be flawed. The recently developed task-based teaching method aims to address these flaws, and calls for task-based language exercises, including task-based translation exercises. In a pilot study I investigated the value of task-based translation exercises when Dutch secondary school students are learning grammatical aspect (i.e. the present perfect) in English. Overall, the study showed that using task-based translation exercises enhances the use and understanding of grammatical aspect (i.e. the present perfect), although there appeared to be a discrepancy between HAVO and VWO participants.","['Translation', 'Translation Theory', 'Second Language Learning', 'Task-Based Teaching Method', 'Task-Based Translation Exercises', 'Grammatical Aspect', 'Secondary School', 'Communication']"
The Social Role of the Museum in Humanitarian Crisis: Learning from NGOs about the effective management of the Syrian Refugee Crisis,"Zlatkou, Ingempork Magdalini","['Leigh, M.A.']",2017,Faculty of Humanities,Arts and Culture (MA),Master thesis,en,,"['museum', 'social role', 'humanitarian crisis', 'museum management', 'Syrian Refugees', 'NGO']"
