title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Heritage-making as Resistance in the Environmental Movement: A Media Discourse Analysis of the “River King Ritual” in Taiwan,"Kang, Shuya","['Cwiertka, Katarzyna Joanna']",2019,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,,"['Heritage-making', 'environmental movement', 'activism']"
China’s continuing cultural governance policy: Comparing Xi Jinping’s and Hu Jintao’s plans regarding China’s culture,"Spek, Laura","['Kharchenkova, S.S.']",2019,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,,"['China', 'policy', 'cultural governance', 'Xi Jinping', 'Hu Jintao']"
Shake it up sekerim. The Turkish Eurovision Experience,"Smit, Talitha","['De Bruin, Petra']",2019,Faculty of Humanities,Middle Eastern Studies (MA),Master thesis,en,,['Turkey Eurovision Culture']
De ontwikkeling van Japanse filmcensuur door de jaren heen (1910-1952): Hoe Ozu Yasujirō omging met censuur in drie van zijn films,"Dijkstra, Bianca","['Mes, T.P.']",2019,Faculty of Humanities,Japanstudies (BA),Bachelor thesis,nl,,
Suppressing Dissent in the Name of “False Information”: State Power and Censorship in China and Singapore,"Brouwer, Sasha","['London, Jonathan']",2019,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,,"['China', 'Singapore', 'False information', 'Dissent']"
"""Als volgt spreekt Kella..."": De mythe van Illuyanka als theatertekst","Vellinga, Henriëtte","['Waal, Willemijn']",2019,Faculty of Humanities,Oude culturen van de mediterrane wereld (Bachelor),Bachelor thesis,nl,,"['Illuyanka', 'Hittitische mythologie', 'Theatergeschiedenis', 'Mythe', 'Hittieten']"
"“Slamat Bertemoe”, “Good-bye”: Public encounters in late-colonial Medan as portrayed in two Sino-Malay novels","Santoso, Natasha","['Hoogervorst, Tom', 'Schulte Nordholt, Henk']",2019,Faculty of Humanities,South and Southeast Asian Studies (BA),Bachelor thesis,en,,"['Sino-Malay novels', 'Dutch East Indies', 'Indonesia', 'colonial Medan', 'encounters', 'public space']"
Dealing with policies and working culture: Working mothers in Tokyo tell their experience,"Steenmetz, Nina Maria Kulumi","['Ezawa, Aya']",2019,Faculty of Humanities,Asian Studies (120 EC) (MA),Master thesis,en,"The reality of a shrinking labor market as the population is aging and birthrate is declining in Japan, is asking for more female participation. Changing economic demands and working conditions is leading to an increasing number of double-income families. It is creating variety in the gender roles and contributing to a new order. A study of ten qualitative interviews was conducted to examine the working conditions and experiences of working mothers in Tokyo. The case study shows that working mothers are facing three main challenges when trying to find a work-life balance: (1) time management, (2) high responsibility of work within the household and (3) working culture that impacts career. The case study of this thesis gives an insightful assessment of policies, what they do and do not address. Analyzing narratives and understanding how mothers approach their working situation and lifestyle is an important element in discussing the work-family balance to clarify remaining issues in working culture. It turns out that informal resources and strategies are important to overcome or deal with the challenges, as formal policies still seem to lack in addressing part of the core labor issues and remaining gender inequality.","['women employment', 'japan', 'working mothers', 'work life balance', 'employment', 'interview', 'working culture', 'family policies', 'policies']"
Lieux de mémoire: Remembering the Mina disaster during the Hajj of 1990.,"Tassenaar, Levi","['Kaptein, Nico']",2019,Faculty of Humanities,South and Southeast Asian Studies (BA),Bachelor thesis,en,,"['Memories', 'lieux de memoire', 'Trauma', 'Mina', 'Disaster', 'Hajj', 'orang indonesia naik haji', 'indonesian hajj']"
Tatoeages in Japan: van marginaal naar mainstream,"Rietvelt, Lesley Joy","['Winkel, Guita']",2019,Faculty of Humanities,Japanstudies (BA),Bachelor thesis,nl,,"['Japan', 'Tatoeage', 'yakuza', 'jongeren']"
