title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Online game addiction among youth in China: How do different stakeholders look at online game addiction among Chinese youth?,"Kramer, Laura","['Landsberger, S.R.']",2015,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,"In the last few decades the internet has become an indispensable part of people’s lives. Especially the younger generations have a broad knowledge of how digital devices work and the advantages and conveniences of using the internet. According to Golub and Lingley, the Chinese government has always viewed the internet with ambivalence, because on the one hand it is a sign of modernity, but on the other hand it provides access to a different world view, different opinions, and additional information, which might not conform to the government’s view (2008). However, the number of internet users in mainland China has increased from 620.000 in 1998 to 649 million people at the end of 2014, it is the world’s fastest–growing online population (Stewart 2010; CNNIC 2015). About 55% of those users are below 30 years old. In the same year, China had a total of 366 million online gamers and the largest game population in the world (CNNIC 2015). Online gaming has become a popular way for children, adolescents and adults alike to spend their free or not so free hours. However, with the gaining popularity of online and offline gaming, it often replaces other more social activities, like playing sports or real-life socializing. Gaming addiction also has become a very serious issue, which has a profound impact on society. Since 2002, there have been many cases of aggression and bizarre behavior caused by gaming addiction. Golub and Lingley (2008) mention a few in their article, such as an obese man dying after a marathon gaming session, and a 13-year old jumping of a building after playing Warcraft hoping to “join the heroes of the game” (62; Xinhua News Agency 2006). Although, in a lot of countries, there is still an ongoing debate about whether gaming addiction is an addiction at all, China was one of the first to label problematic online gaming as a clinical disorder and is together with South Korea, the Netherlands, Canada and the United States, one of the few countries that has treatment centers for internet addiction, the first being opened in 2004 (CCTV International 2009). In my thesis I will discuss different stakeholders and how they look at the phenomenon of online game addiction among Chinese youth. I will use Foucault’s theory on power relations as a supporting framework for my research (Foucault 1981). I define Chinese youth as the age group between 12 and 30, but with a focus on high school and higher education students. I define online gaming as using an internet connection while gaming, often on a computer, instead of offline gaming on a console, and focus mainly on Massively Multiplayer Online Games (MMO) as they are believed to be the most addictive online games and they are the most widespread in China.","['China', 'Chinese youth', 'Internet', 'Online gaming', 'Addiction']"
Geert Wilders en taalintensiteit. Een taalkundig-stilistisch onderzoek naar intensiveerders in de parlementaire toespraken van Geert Wilders.,"Callaert, Simone","['Leeuwen, M. (Maarten) van']",2015,Faculty of Humanities,Nederlandse taal en cultuur (BA),Bachelor thesis,nl,,"['Geert Wilders', 'taalintensiteit', 'politiek', 'stilistiek', 'taalkunde']"
The Public Sphere in the Digital Age An Examination of the Digital Works of Alexander Kluge,"Wiegand, Laura","['Bruyn, Eric de']",2015,Faculty of Humanities,Media Studies (MA),Master thesis,en,,"['Alexander Kluge', 'Public Sphere', 'Digitalisation', 'Internet', 'DVD']"
Repetitie kent geen geheugen. Een analyse van de representatie van herinneringen in 'Louteringsberg' van Marcel Möring,"Brockhus, Femke","['Dijk, Yra van']",2015,Faculty of Humanities,Neerlandistiek (MA),Master thesis,nl,,"['Herinneringen', 'Shoah', 'Marcel Möring', 'Representatie-analyse', 'Intertekstualiteit', 'Identiteit', 'Trauma']"
"Translation, Persuasion, and Intercultural Mediation: What role do culture-specific elements play in the translation of persuasive messages","Zaagman, Judith","['Foster, A.A.']",2015,Faculty of Humanities,Linguistics (MA),Master thesis,en,,"['Translation', 'persuasion', 'Culture-specific elements']"
"To what extent do members of minority cultures in liberal states require extra protection, and if so what format should it take?","McNicholas, Frederick","['Newey, G.F.']",2015,Faculty of Humanities,Philosophy (MA) (60 EC),Master thesis,en,"This paper looks at whether something more than the system of individual rights is required to uphold justice for the members of immigrant minority groups in liberal democracies and states. Chapter 1 of the paper looks at whether group membership in general provides value for individuals, because if it does not then there is no need for extra protection, as it is not desirable. On the basis that groups and group membership is valuable in some way, chapter 2 examines whether any extra protection is required, and if so what forms it could exist in. The overall argument of the paper is that while group membership is on the whole valuable for individuals, no extra system of group rights is required to ensure that justice is upheld for the members of minority groups. Groups cannot make claims as separate entities, as the only entitlements they are able to claim are on behalf of their individual members. The existing system of individual rights and universal standards of justice is sufficient as it stands.","['Liberalism', 'Democracy', 'Rights', 'Minority', 'Groups']"
Beeldende teksten en sprekende beelden. Tekst- beeldinteractie in de kinderboeken van Joke van Leeuwen.,"Pielage, F.R. (Fannie)","['Bartelings, N.L.']",2015,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,,['BA-scriptie Kunstgeschiedenis F.R. Pielage']
"'Le Roi décide seul'? De rol van prins Frederik der Nederlanden onder koning Willem I, 1813-1831","Sietsma, Riccardo","['Schoenmaker, B.']",2015,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,"Prins Frederik leefde als tweede zoon van koning Willem I in de schaduw van zijn oudere broer, de latere koning Willem II. Toch zou hij achter de schermen een aanzienlijke rol spelen binnen het staatsbestel van Nederlands eerste koning. Deze scriptie geeft een analyse van de rol van prins Frederik in het landsbestuur en het militaire domein. De centrale vraagstelling betreft de positie en invloed van prins Frederik binnen het staatsbestel van koning Willem I in de periode 1813-1831. Hoe groot waren de daadwerkelijke rol en invloed van prins Frederik op het landsbestuur en in het bijzonder op het militaire beleid onder koning Willem I? Het uitgangspunt dat hierbij is gebruikt, is de vraag die in de titel is verwerkt. Is ‘Le Roi décide seul’ (‘De Koning alleen beslist’) een adequate verwoording om de regering van Willem I te karakteriseren? Tevens is de vraag of die vier woorden ook recht doen aan de rol en invloed van prins Frederik. Dit wordt gedaan door in te gaan op de jeugd en opleiding van prins Frederik, een kenschets die wordt gegeven van het staatsbestel van Willem I als zodanig, een gegronde analyse van de invloed en de rol van de prins in zijn bestuurlijke functies binnen het nationale militaire domein en een analyse van de prins’ carrière als commandant van tijdens de Belgische Opstand.","['Frederik', 'Willem I', 'staatsbestel', 'regering', 'commissaris-generaal', 'militair', 'Oranje-Nassau']"
Kwesties van leven en dood. Het vergaren van kennis over ethische zaken door hands-on aanpak en interactie in het Tissue Culture and Art Project,"Pet, L. (Lotte)","['Zwijnenberg, R.']",2015,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,,"['biokunst', 'ethiek', 'hands-on', 'interactie', 'Tissue Culture and Art Project']"
The Sounds of the Square: A discourse analysis of Egyptian revolutionary music,"Zimmermann, Robin","['Jong, Rudolf de']",2015,Faculty of Humanities,Midden-Oostenstudies (BA),Bachelor thesis,en,,"['Egyptian Revolution', 'Discourse analysis', '2011', 'Music']"
Les erreurs de genre dans l'accord adjectival des apprenants néerlandophones du français,"Breure, Carina","['Doetjes, Jenny']",2015,Faculty of Humanities,Linguistics (MA),Master thesis,fr,,"['accord', 'genre', 'adjectif', 'masculin', 'féminin', 'adjectival']"
Is the ‘Green Bridge’ still ‘Red’? The Politics of Heritage: Debating Problematic Issues of Socialist-Realist Monuments in Public Spaces in Post-Socialist Condition.,"Jovaraite, Gertruda","['Zijlmans, Kitty']",2015,Faculty of Humanities,Arts and Culture (MA),Master thesis,en,"Looking at the Green Bridge monumental sculptures as the objects that represent a certain historical ‘truth’, there has been so much concentration on the past and how artefacts disclose and manifest the essence of that past, that it neglects important issues on how artefacts interact with a present and what they signify in present conditions. The problem of the Green Bridge is complicated precisely because of what these four monuments represent in current political and cultural situation. The issue goes way beyond a ‘hot’ or ‘cold’ memory line of reasoning as many people argue that the sculptures again (mainly because of the recent Imperialist-nature of Russian politics in Ukraine) have become the signifiers of oppression, (even after 25 years of Lithuanian independence) and are offensive to the residents of the city, devaluating ‘truthful’ Lithuanian identity and its values. Thus, this research, exploring the Socialist Realist monumental position in Post-Socialist society and concentrating on the Green Bridge sculptural ensemble in Vilnius, is divided into three ‘colourful’ chapters. The first one, entitled ‘Green.’, shortly reviews the historical background of the bridge giving an overview of its construction and development. The second, entitled ‘Red!’, examines the monuments in their relation to Lithuania’s history and complicated political aspects, indicating how there are many levels of interpretation while analysing art objects as time-factored symbols of an entire culture. This chapter contains the analysis of Socialist Realist style, symbols and iconography of the sculptures. It also reflects on possible benefits of adding a Post-colonial discourse to the subject, looks closer into Lithuanian Post-Socialist identity and traumatic collective memory while also indicating the dangers of a narrow two-sided ‘preserve vs. remove’ polemics escalated by Lithuanian media. Chapter ‘Pink?’ aims to propose a wider-raging interdisciplinary approach to political art emphasizing the importance of contemporary artistic practices and their abilities of meaning transformation in the former USSR countries. Moreover, a semiotic approach and the examples of Lithuanian artists in relation to the subject of memory give the opportunity to debate on alternative ways of dealing with the heritage of a totalitarian regime in a present day Post-socialist public spaces. Finally, the conclusion ‘Plato’s Ideal City: Political Decisions & Objectivity in Post-Soviet Vilnius’ examines the verdict made by the Department of Cultural Heritage under the Ministry of Culture and its political aspects also questioning the possibility of objectivity of the solution for the indicated problem.","['Socialist-Realism', 'monuments', 'Post-Socialism', 'Post-Socialist identity', 'heritage', 'Vilnius', 'Green Bridge.']"
Dans om de beleving van de arbeider: Een studie naar arbeidersbeleving ten tijde van en aangaande de richtingen- en partijstrijd in de Sociaal-Democratische Arbeiderspartij,"Meulen, Tim van der","['Veldhuizen, Adriaan Pieter van']",2015,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,"['Arbeidersbeleving', 'SDAP', 'Partijstrijd', 'Richtingenstrijd', 'Beleving', 'Arbeidsbeleving']"
Wijngiften te Deventer. Een onderzoek naar wijngiften zoals teruggevonden op de Deventer' stadsrekeningen in de periode 1395-1440.,"Span, Robin Claire","['Stein, Robert']",2015,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,"Een flesje wijn is vandaag de dag het relatiegeschenk bij uitstek. Dit omdat het alom geaccepteerd is als een luxe goed. Het schenken van wijn als relatiegeschenk kent echter een rijke historie, waarbij ik in dit onderzoek zal stilstaan. In de Middeleeuwen was de wijngift het politieke smeermiddel bij uitstek in de Lage Landen. De wijngift behoort tot de traditie van gift-exchange in het kader van patronage en clientèle systemen. Mijn onderzoek sluit aan bij het debat van gift-exchange waarvoor de basis werd gelegd door Marcel Mauss en Marshall Salins.Wijngiften hadden een grote waarde in gedecentraliseerde besturingsvormen zoals die in het huidige Nederland. Onderzoek naar wijngiften als specifiek onderdeel van geschenkuitwisseling is nog weinig gedaan: Valentin Groebner en Mario Damen gingen mij voor. Van de stad Deventer is zeer uitgebreid materiaal bewaard gebleven, de volledige stadsreke-ningen van 1394 tot 1440 zijn door G.M. de Meyer uitgegeven in een zesdelige editie. Dit onderzoek zal zich richten op de wijngiften van de stad Deventer. Mijn vraag luidt: Welk ge-bruik maakte het Deventer’ stadsbestuur van de wijngift in de eerste helft van de 15e eeuw en zijn daarin ontwikkelingen zichtbaar? In het eerste hoofdstuk staat het theoretisch kader centraal. In het tweede hoofdstuk ga ik in op de politiek-historische achtergrond van Deventer. Vervolgens volgt een bronanalyse.In hoofdstuk drie volgen mijn bevindingen wat betreft wijnschenkingen aan de hand van de stadsrekeningen van Deventer. Hierbij zal aandacht worden besteed aan de frequentie, de vorm en de verschillende ontvangers van de wijngiften te Deventer. Ook drinkgeld en maaltijden zullen - als vergelijkbare giften - op dezelfde wijze aan bod komen.","['Gift exchange', 'Patronage', 'Wijngiften', 'Deventer', 'Stadsrekeningen', 'Wijn', 'Gift', 'Drinkgeld', 'Reciprociteit']"
De collocaties van de Nederlandse subjunctief,"Lubrun, Saskia","['Rutten, G.J.']",2015,Faculty of Humanities,Neerlandistiek (MA),Master thesis,nl,,"['Subjunctief', 'Collocaties', 'Brieven als Buit', 'Corpusonderzoek', 'Corpus Hedendaags Nederlands', 'Corpus Gesproken Nederlands', 'Mood & Modaliteit', '17e eeuw', '18e eeuw']"
Het optreden van de Nederlandse zeemacht tegen de slavenhandel en slavernij in de Suluregio 1860-1898,"Klein, Maxime","['Dissel, A.M.C. van']",2015,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,"['Slavernij', 'Piraterij', 'Nederlandse Marine', 'Zeeroofbestrijding']"
"""We Are a Family of Nations"": The Effects of the 2014 Scottish Quest for Independence on the United Kingdom's Soft Power","Haasnoot, Marije","['Gerrits, A.W.M.']",2015,Faculty of Humanities,International Relations (MA),Master thesis,en,,"['Soft power', 'United Kingdom', 'Scottish independence']"
The new Standard Model of Ancient History? An enquiry into the applicability of the Cognitive Science of Religion in the origin and flourishing of the Hellenistic and Roman ruler cults,"Groot, Charlotte Dieudonnée","['Naerebout, F.G.']",2015,Faculty of Humanities,History (research) (MA),Research master thesis,en,"There is extensive discussion amongst scholars as to the origin and flourishing of the phenomenon of the living deified ruler. The so-called ruler cult quickly gains popularity in the Hellenistic era and continues long into the Roman period. Although scholars have long been trying to find an explanation for this in the source material, none have succeeded in finding one which satisfies all. It is possible that the Cognitive Science of Religion (CSR) could provide us with a new framework in which to place the already exciting evidence. Cognitive science is the interdisciplinary and scientific investigation of the mind and intelligence. Its advantages are that it focusses on general ‘laws’ of thinking that follow out of the structure of our brains. It follows then, that these are theories that should be applicable across cultures and, since the structure of our brains has not evolved since the beginning of history (ca. 3000 B.C.), they are also applicable through time. Cognitive science could therefore help in providing a framework in which the current theories on the ruler cult can function, by indicating what is even humanly possible to think based on the structure of the brain. It could perhaps, even suggest the most likely theories that can be discovered given certain tendencies the human mind has. This research examines the possibility of applying the Cognitive Science of Religion in the origin and flourishing of the Hellenistic and Roman ruler cults, as well as the study of Ancient History in general. It does this by examining the viability of the so-called Standard Model (a seven-point construct that outlines the major areas of consensus in CSR) in the primary material of the Hellenistic and Roman periods.","['Hellenistic', 'Roman', 'Religion', 'Ruler cult', 'Cognitive Science of Religion', 'Interdisciplinary', 'Standard Model']"
Jan van Dijk (1690-1769): Ideeën over restauratie in de achttiende eeuw,"Jong, Ilona de","['Bartelings, Nelke']",2015,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,,"['restauratie', 'jan van dijk', 'achttiende eeuw']"
Johnson's war. Lyndon B. Johnson en de invloed van zijn adviseurs op de escalatie van de Vietnamoorlog.,"Meester, Gerardus Jacob","['Fairclough, A.']",2015,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,['Johnson. Vietnamoorlog. McNamara. Rusk. Bundy.']
"Scheldwoorden in de Grieks-Romeinse wereld: Een historisch onderzoek naar scheldwoorden binnen het werk van Aristophanes, Martialis en anderen.","Ursem, Klaas","['Naerebout, Frits']",2015,Faculty of Humanities,History (MA),Master thesis,nl,,"['Ancient Roman History', 'Ancient Greek History', 'Terms of Abuse', 'Taboo Language', 'Aristophanes', 'Martialis', 'Gender History']"
