title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Machiavelli: (im)moreel kompas door de eeuwen heen,"Jansen, Frederiek","['Duindam, Jeroen']",2017,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,['BA eindwerkstuk Geschiedenis']
New Soviet Women in the Mid-1930s,"Wang, Yizhou","['Kern, Henk']",2017,Faculty of Humanities,Russian and Eurasian Studies (MA),Master thesis,en,,"['The Soviet Union', 'Stalin', 'New Women', '1930s', 'Soviet Women']"
NUOVO LESSICO GASTRONOMICO NEDERLANDESE Occasionalismi italiani nel sito di Allerhande,"Weij, Claudia","['Di Felice, Claudio']",2017,Faculty of Humanities,Italiaanse taal en cultuur (BA),Bachelor thesis,it,,['italian']
"Nieuws over behandelmethoden. Welke rolopvatting hebben Nederlandse wetenschappers, universitaire persvoorlichters en journalisten over zichzelf en elkaar bij het maken van nieuws over behandelmethoden?","Bruijn, Anouk de","['Burger, Peter']",2017,Faculty of Humanities,Media Studies (MA),Master thesis,nl,,"['Gezondheidsnieuws', 'Rolopvattingen', 'Journalisten', 'Universitaire persvoorlichters', 'Wetenschappers']"
Italiano popolare in lettere di briganti abruzzesi (1860-1872),"Dujardin, Elisabeth","['Felice, C. Di']",2017,Faculty of Humanities,Italiaanse taal en cultuur (BA),Bachelor thesis,it,,"['italiano popolare', 'Abruzzo', 'brigantaggio', ""Unità d'Italia""]"
Obama's policy in Syria,"Severijn, Jorn","['Bilt, Eduard van de']",2017,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,en,,"['Obama', 'Syria', 'Chemical Weapons', 'Ignatius', 'Cohen', 'Washington Post', 'New York Times']"
"« Seulement, c’est complexe ! » Étude de corpus de différents emplois de l’adverbe seulement","Oosterwijk, Rogier","['Doetjes, Jenny']",2017,Faculty of Humanities,Linguistics (MA),Master thesis,fr,,"['Seulement', 'Pragmatics', 'Semantics', 'Corpus research', 'Speaker judgments']"
From development to developing: complexity science as applied to the political economy. Kenya's economic evolution within the New Silk Road.,"Ligteringen, Merei","['Forough, Mahmad']",2017,Faculty of Humanities,International Relations (MA),Master thesis,en,"Contemporary development studies needs a 'processual shift' from development to developing in order to transcend the static problematisation of African underdevelopment. The Washington Consensus and the Beijing Consensus still approach African underdevelopment according to a teleological view that is rooted in the belief that economic growth is necessary for achieving prosperity. By applying complexity science to the economy, this research fills the lack within International Relations (IR) of critically revising African development in contemporary, changing contexts. A model of economic evolution is employed to conduct a transformative analysis of Kenya's developing within the twenty-first century New Silk Road (NSR). Utilising the process tracing method to examine combined data sets, the researcher explores manifestations of the interdependence between evolutionary technological, institutional, and strategic forces. The analysis provides an innovative account of how and why economic evolution has emerged in Kenya. Future research should refine the model, but not define it: evolution is an endless process from which the economy as a complex adaptive system emerges.","['complexity science', 'economic evolution', 'developing', 'Africa', 'co-evolution', 'interdependence', 'physical technologies', 'social technologies', 'economic strategy', 'New Silk Road (NSR)']"
Fear or Fascination? Representations of the Wild Man in Middle English Literature,"Officier, Skye Amberley","['Murchison, K.A.']",2017,Faculty of Humanities,Literary Studies (MA),Master thesis,en,,"['Wild Man', 'Metamorphosis', 'Medieval', 'Animals', 'Change and Continuity', 'Body']"
The danger of ironic citizenship,"Bakker, Stella","['Chouraqui, Frank']",2017,Faculty of Humanities,Philosophy (MA) (60 EC),Master thesis,en,,"['Democracy', 'Irony', 'Kierkegaard', 'MacIntyre', 'Lear', 'Rorty', 'Ironist', 'Critical reflection', 'Ironic experience']"
"De VOC en de ""Moren"" op Ceylon","Weijers, Julie","['Schrikker, Alicia']",2017,Faculty of Humanities,History (MA),Master thesis,nl,,
Kennisoverdracht in Cordoba en Bagdad: In de periode van de negende tot de twaalfde eeuw,"Yahia, S.","['Bruning, J.']",2017,Faculty of Humanities,Midden-Oostenstudies (BA),Bachelor thesis,nl,,['kennisoverdracht in Cordoba en Bagdad']
The San Marino Jinja and the globalisation of an ecological Shinto,"Fabbri, Davide","['Veere, H. van der']",2017,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,"On the 21st June 2014, a Shintō shrine was inaugurated in the independent Republic of San Marino, as the second shrine outside the soil of Japan. The San Marino Jinja サンマリノ 神社 has been officially supported and recognised by Jinja Honchō 神社本庁, the administrative organisation that oversees about 80,000 Shintō shrines in Japan. However, what is mainly told about Shintō, still nowadays, is that it is the most antique and purely indigenous religion of Japan, a polytheism of immanent deities, defined as kami, strongly connected with the Japanese soil and centred around the sun goddess Amaterasu Omikami, and the imperial family descending directly from her. But, if Shintō is actually such a not inclusive religion, is it possible to define this foreign shrine legitimately and consistently Shintō, on a theoretical and practical perspective? In other words, if the claims of Shintō are the ones of a Japanese religion for Japanese people only, why the San Marino Jinja has been officially inaugurated and how does a Shintō shrine operate in a different country and cultural context? Actually, as it will be possible to discover through this research, most of the pillars on which Shintō is based are not historically consistent or accurate. It will be also possible to demonstrate how historically inaccurate it is to consider Shintō an indigenous religion in the first place. Therefore to deconstruct these claims, which could obstruct a legit globalisation of it, in this research Shintō will be discussed first from a theoretical point of view. Firstly by deconstructing the general held idea of Shinto itself, following the academical debate of the last fifty years. Secondly, by presenting the new rhetoric promoted by Jinja Honcho about Shinto as the “World's new religion of ecology”, in order to increase its national and international popularity. With this theoretical background it will be then possible to analyse the phenomenon on a practical perspective. In order to do so a comparative analysis will be featured: the Ise Jingu, the oldest model reference of jinja, will be compared to the San Marino site. The result will demonstrate whether the European shrine presents the same operating patterns as the native one, and therefore whether is a legit instance of a successful Shinto globalisation.","['shinto', 'ecology', 'san marino', 'jinja honcho', 'religion']"
Art as the Marker of a Common Cultural Heritage in East Asia: the Case of Goryeo Buddhist Painting in Japan,"Pacini, Benedetta","['Paskaleva, Elena']",2017,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,"This MA thesis aims to analyze the relationship between Japan and Korea from the point of view of Cultural Heritage Studies and Art History. The case study I took into consideration is the Korean Goryeo Buddhist Paintings, a painting tradition which is almost disappeared by its homeland, but which conserves the majority of its last surviving examples in Japanese temples and museums. This case study has no precedents and it is an interesting tool to understand the political dynamics behind the discussion of cultural properties return in East Asia. This thesis will consider the study of the subject throughout various fields: it starts from the historical debate on the paintings, then it will move to the colonial period policies for the protection of cultural properties in Japan and Korea, to the modern legislation on the return of cultural properties, the creation of a Japanese scholarship around the Korean painting tradition and lastly, it will end with an art historical analysis of the items.",
