title,author,supervisors,date,faculty,program,type,language,abstract,keywords
The Politicization of Heritage: A study on the role of Palmyra in shaping Russia’s self-representation on the international stage,"Monster, Olivia O.V.R.M",['Dr. H.H.M. Taha'],2021,Faculty of Humanities,Middle Eastern Studies (MA),Master thesis,en,,"['Palmyra', 'Syrian', 'Civil']"
De paradox van Carlota Guerrero’s Celebración Sexual: de complexiteit van de representatie van het vrouwelijk lichaam,"Ruwaard, Julia",['Dr. H.F Westgeest'],2021,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,"Dit artikel onderzoekt de complexiteit van de representatie van het vrouwelijk lichaam in de patriarchale samenleving aan de hand van Celebración Sexual (2018), een sociaal-activistisch performancekunstwerk van hedendaagse fotografe Carlota Guerrero (1989). Door middel van kunsthistorisch onderzoek en analyse van de representatie van het vrouwelijk lichaam in Celebración Sexual, tracht dit artikel inzicht te geven in de positionering van dit performancekunstwerk in het debat omtrent de complexiteit van de representatie van het vrouwelijk lichaam in onze maatschappij. Oftewel, genderongelijkheid. Daarbij onderzoekt dit artikel de ontwrichtende functie van publieke performancekunstwerken zoals Celebración Sexual, en hoe deze kunstwerken ruimte creëren voor ‘dissensus’. Tot slot toont dit onderzoek dat dit soort ontwrichtende publieke kunstwerken zowel een culturele als een sociaal-maatschappelijke functie hebben, waardoor deze beschouwd kunnen worden als ‘counter-hegemonic moves’, een concept van Chantal Mouffes agonitsisch model voor een pluralistische democratie waarin het conflict centraal staat.","['genderongelijkheid', 'representatie vrouwelijk lichaam', 'vrouwelijk naakt', 'feminisme', 'publieke performancekunst']"
"How is WAP (2020), by Cardi B and Megan Thee Stallion, representing a new paradigm shift in media and can this shift be seen as feminist?","Steiner, Sonja",['Liselore Tissen'],2021,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,en,"This thesis aims to explore whether the song WAP (2020) by Cardi B and Megan Thee Stallion, exemplifies a paradigm shift in feminism. WAP caused much outcry and grew rapidly in fame because of its sexually provocative imagery and lyrics, unlike other similar songs. The question arises: If Cardi and Megan’s song is so unique that it might be the start of a feminist paradigm shift, or whether it follows an already established trend? First, the song is looked at scene by scene, scouting for reoccurring elements. Then, general representational tactics of women in media are analyzed, which help evaluate the elements in WAP further, determining feminist or non-feminist tactics. Lastly, the music of other female artists like Madonna, Lil Kim and Christina Aguilera are studied in order to determine whether WAP is following a trend or stands on its own. After exploring these different aspects, it is possible to see that WAP is a starting point for a feminist paradigm shift in media, of which there are likely more artists or songs to follow.","['Feminism', 'paradigm shift', 'representation', 'media', 'self-objectification']"
The Influence of Dutch Missionaries and their Work on Nationalism in Western New Guinea,"Cleve, Zarah Christine",['Dr. F.H. Sysling'],2021,Faculty of Humanities,History (MA),Master thesis,en,,"['Western New Guinea', 'Missionaries', 'Nationalism', 'Indonesia']"
Youtube and the Classroom: the Relation between Childrens’ Attitudes and their Engagement with English as a Foreign Language,"Paap, Alicia",['Jeffery J.V.'],2021,Faculty of Humanities,Engelse taal en cultuur (BA),Bachelor thesis,en,"This study explores the attitudes Dutch middle school children have towards the English language and what influence attitude has on their engagement with and their perceived proficiency of English. This was explored through a survey that combined quantitative and qualitative questions concerning the childrens’ engagement with English, self-reported proficiency and opinions on English inside and outside the classroom. The children with a positive attitude towards English engaged more with the language in private leisure time and usually perceived themselves to understand English decently. In contrast, the children with a negative attitude towards English avoided the language more in out-of-school settings and usually reported having difficulty understanding English. The attitude a child has towards English does influence the child’s engagement with and acquisition of the language, in spite of the fast amount of incidental exposure to English on the internet. Studying this aspect of language learning can help teachers to better understand why some children struggle to learn a new language and some children do not. It can also offer a new perspective on the methods of language learning in regards to using out-of-school sources, such as Youtube.","['Language acquisition', 'attitude', 'middle school children', 'incidental acquisition']"
From Avenge to Forgiveness: Rethinking the Narrative of Restorative International Justice from the Practice of Sulha,"van der Kaaden, Eline e.c","['Bdaiwi, A.']",2021,Faculty of Humanities,Filosofie (BA),Bachelor thesis,en,,"['Restorative Justice', 'Al-Ghazali', 'Al-Nawawi', 'Zehr', 'International Justice', 'Peacemaking', 'Sulha', 'ADR']"
"The Ambiguity of the Existence of Ghosts in The Haunting of Hill House, The Turn of the Screw, and Their Netflix Adaptations","Heer, Chantal de","['van Leeuwen, E.J.']",2021,Faculty of Humanities,Literary Studies (MA),Master thesis,en,,"['Gothic', 'haunting', 'adaptation', 'the turn of the screw', 'the haunting of hill house']"
"'Come, we will go forth together': Adolescence Symbolized by Children's Journeys to Exotic Fairylands in E.Nesbit, J.M.Barrie and Hope Mirrlees","Verhoog, Emma","['Newton, M.S.']",2021,Faculty of Humanities,Literary Studies (MA),Master thesis,en,,"['Adolescence', 'Exotic', 'Fairyland', 'Peter Pan', 'Lud-in-the-Mist', 'Nesbit', 'Freud', 'Jung', 'Integration']"
Hopper’s Zelfportret met hoed (1925-1930): verbeelding van een ideaal of reflectie van het spiegelbeeld?,"Kop Jansen, Romy","['Tummers, J.C.']",2021,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,"Edward Hopper (1882-1967) schilderde in de jaren 1925-1930 een portret van zichzelf met hoed op in olieverf op doek (afbeelding 1). Het zelfportret laat een terughoudende, bedachtzame en introverte man zien, verscholen onder zijn hoed. In zijn zelfportret maakt hij gebruik van koele, donkere kleuren geschilderd met een flauwe penseelvoering. Hij kijkt bedachtzaam, zijn ogen verborgen in de schaduw van zijn hoed en zijn houding wat weggedraaid van de toeschouwer wat zorgt voor een gevoel van afstand. Op de achtergrond een wat eenvoudige en sobere voorstelling van een gang. Hopper was midden veertig toen hij zichzelf schilderde in Self-Portrait (1925-1930). Het zelfportret van Edward Hopper is interessant om te onderzoeken omdat het zelfportret verschillend wordt geïnterpreteerd in artikelen van verschillende auteurs. Ook is het zelfportret opvallend omdat Hopper in zijn vroege jaren als kunstenaar talloze zelfportretten tekende en schilderde, maar Self-Portrait (1925-1930) een van de weinige zelfportretten is die hij voltooide tijdens de volwassen fase van zijn carrière.","['Edward Hopper', 'zelfportret', 'Vincent van Gogh', 'realisme', 'amerikaans', 'woodall']"
Deconstructing the Narrative of the 1966 Flood in Florence: A Transnational Memory,"Sheikh, Niki",['Karin de Wild'],2021,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,en,,"['Transnational/transcultural memory', 'working memory', 'commemoration', 'mnemonic communities', 'Giorgio Vasari', '1966 Florence Flood']"
"Het Museum van Nederland, een museumproject met een boodschap: eenheid in diversiteit","Vos, Carlijn","['Huiskens, M.D.H.P.']",2021,Faculty of Humanities,Kunstgeschiedenis (BA),Bachelor thesis,nl,"Deze scriptie onderzoekt het multimediale museumproject Het Museum van Nederland, dat resulteerde in een gelijknamige expositie over Nederland in de Kunsthal in Rotterdam. Er wordt beargumenteerd dat Het Museum van Nederland culturele diversiteit celebreert in dienst van het samenbrengen van een divers museumpubliek in de tentoonstelling. Hierbij wordt specifiek gekeken naar de rol van objecten die verwijzen naar intercultureel contact tussen de Nederlandse cultuur en andere culturen. Deze scriptie onderscheidt drie aspecten, die naar voren komen uit de manier waarop Het Museum van Nederland het exposeren van Nederland benadert. Allereerst wordt gesteld dat de tentoonstellingsmakers in hun blik op de Nederlandse geschiedenis, intercultureel contact positioneren als verrijking van de Nederlandse cultuur. Ten tweede blijkt de tentoonstelling een contactmoment tussen verschillende culturele bevolkingsgroepen onder het museumpubliek te faciliteren. Tenslotte blijkt hoe Het Museum door middel van een tweeledige benadering van de Nederlandse geschiedenis de mogelijkheid voor reconciliatie tussen verschillende culturele groepen creëert.","['Het Museum van Nederland', 'nationale identiteit', 'multiculturele samenleving', 'contact zone', 'reconciliation']"
