title,author,supervisors,date,faculty,program,type,language,abstract,keywords
When one kind predicts another: How task-induced stress influences subjective and objective stress,"Schindler, Thalia","['Groeneweg, J.', 'Band, G.P.H.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['work stress', 'task-induced stress', 'HRV', 'EDA', 'subjective stress']"
Werkdruk en motivatie voor professionaliseringsactiviteiten onder Nederlandse basisschoolleerkrachten: Een empirische studie met het unified model of task-specific motivation,"Zaagman, Petra","['Glastra, F.J.', 'Brabander, C.J. de']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
The association between systolic blood pressure and systolic blood pressure variability with neurocognitive functioning in older persons: A 4-year follow-up study,"Putman, Amy","['Habers, G.E.A.', 'Nijboer, F.', 'Poortvliet, R.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['blood pressure', 'blood pressure variability', 'cognitive function', 'older persons']"
Effects of transcutaneous vagal nerve stimulation on creativity,"Heusden, Maurits van","['Steenbergen, L.', 'Colzato, L.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Het effect van status in een volunteer’s dilemma met meerdere rondes,"Baalen, Veerle van","['Kwaadsteniet, E.W. de', 'Molenmaker, W.E.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The most prevalent attachment styles in adults with and without borderline personality disorder,"Marinov, Nina","['Krause-Utz, A.', 'Antypa, N.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Security and the duty to protect: EU migration and border control,"Nazarewicz, Katarzyna","['Kleistra, Y.']",2017,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The effectiveness of dynamic testing and its application to the school setting: The role of language ability and mathematics ability in dynamic testing,"Bak, M.C.","['Veerbeek, J.', 'Resing, W.C.M.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Narrative exposure therapy as a treatment for childhood-related post traumatic stress disorder,"Schaik, Willianne van","['Schoorl, S.M.D.', 'Koenders, M.A.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['narrative exposure therapy', 'PTSD', 'trauma']"
"Who are we studying?: Reliance on WEIRD and/or student subjects in cross-cultural, social/personality and evolutionary psychology","Stolp, Marieke","['Pollet, T.', 'Scheepers, D.T.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['sample diversity', 'W.E.I.R.D.', 'cross-cultural', 'evolutionary', 'social/personality']"
De invloed van tekstpresentatie op het tekstbegrip en de leessnelheid van basisschoolleerlingen uit groep 4 en 5,"Dijkstra, M.C.","['Pavias, M.', 'Koornneef, A.W.']",2017,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
Perceptions of climate change in the Spermonde archipelago,"Giudici, Marika","['Pauwelussen, A.P.', 'Saptari, R.']",2017,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
Investigating the effect of sexual arousal on trust: A pupillometry study,"Samara, Iliana","['Kret, M.E.', 'Wehebrink, K.S.']",2017,Faculty of Social & Behavioural Sciences,Psychology (research) (MSc),Research master thesis,en,,"['pupillometry', 'sexual arousal', 'trust']"
How is navigational strategy preference associated with navigational abilities in a virtual environment resembling the real world?,"Kooistra, Remy","['Ham, C.J.M. van der', 'Habers, G.E.A.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['navigation', 'strategy', 'egocentric allocentric']"
Measuring drivers'mental workload on different road segments: Instrumented vehicle versus driving simulator,"Laurinavicius, Evaldus","['Verschuur, W.L.G.', 'Groeneweg, J.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Mental workload', 'Eye tracking', 'Steering reversal rates', 'Electrodermal activity', 'Noldus DriveLab']"
The influence of power and additional issues on reaching a mutually beneficial agreement. Integrative bargaining: a negotiation strategy on expanding the pie,"Wilde Granada, Alex de","['Steinel, W.', 'Harinck, F.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Additional value in negotiation', 'Power']"
The effectiveness of E-health cognitive behavioral therapy on cognitive task performance during stress,"Keuning, Lianne","['Schakel, L.', 'Habers, E.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Serious games en de invloed op gezonde voedingskeuze: Positieve stemming en de invloed op het maken van een gezonde voedingskeuze na het spelen van serious games,"Cicek, Ciler","['Schakel, L.', 'Middendorp, H. van']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Influence of Ttme to resolution of a teaser on curiosity and outcome evaluation,"Boekestijn, Janine","['Noordewier, M.K.', 'Doesum, N.J. van']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The relation between emotion-awareness and aggression: Two cultural adolescent groups compared,"Rosier-Otakie, Margret","['Li, B.', 'Dahamat Azam, M.N.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
The effect of fear induction prior to a single session attentional bias training in students with subclinical social anxiety,"Matsari, Lisanne","['Habers, G.E.A.', 'Schuitema, I.']",2017,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,"['Social anxiety', 'Visual search training']"
The effect of a recession on hedonic attitudes towards luxury and budget products,"Nout, Yannick","['Blaker, N.', 'Bullens, L.']",2017,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Cortical specialization for social processing in young infants: a functional near-infrared study,"Dijkstra, Marit","['Biro, S.', 'Kant, A. van der']",2017,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,,
"Democratische besluitvorming tijdens crisis onder druk? Hoe Margaret Thatcher en George Bush oorlog voerden binnen een democratische, institutionele context","Moor, Ries de","['Bakker, F.E.']",2017,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,nl,,
