title,author,supervisors,date,faculty,program,type,language,abstract,keywords
‘Another World is Possible’: The Prefigurative Micropolitics of Extinction Rebellion Nederland,"Argane, Hiba","['Minter, T.']",2022,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (MSc),Master thesis,en,,
How can we measure fatigue objectively? The relationship between fatigue and tapping speed as measured by smarthphone,"Chondronasiou, Angeliki","['Band, G.P.H']",2022,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,"We can often feel mentally or physically tired, leading to a decrease in our performance, even of simple tasks. People are not always aware of this tired feeling, or they ignore it, which can lead to errors or a decrease in their quality of life. Thus, it would be beneficial to be able to detect fatigue rapidly and accurately, using objective measurements. Objective measurements can include the tapping speed (TS) of an individual as measured by a smartphone. Smartphones create new opportunities for recognizing fatigue and are a non-intrusive way to measure it in real life. In our study, we used the 36-Item Short Form Survey (SF-36), one item of which measures fatigue. Our study also used an app installed on participants’ smartphones, called TapCounter, which measured various participant functions while they were using it, with a focus being TS. We aimed to find a relationship between fatigue and TS and to further explore this relationship. We examined whether there was a variation in fatigue throughout the day and whether there was a relationship between the SF-36 and TS of the previous 7 or 28 days. We found a relationship between fatigue and TS. We also found that participants’ TS decreased later in the day, meaning that screen taps were more rapid than earlier in the day. Finally, we were not able to find a relationship between fatigue and specific TS time periods. This study further investigates a new way of measuring fatigue that is inexpensive and that can be tracked daily in participants’ life.",
Deal or no Deal: the Effect of Power and Initiative on Joint Outcome and Subjective Value,"Leeftink, Christa, I.M.",['Wolfgang Steinel'],2022,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Until debt do us part: The effect of shame resilience on contact between people in debt and their creditor,"de Graaf, Natalja","['Seip, E. C.']",2022,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,"Lack of contact is one of the reasons people in debt cannot receive the help they need to improve their financial situation. Therefore, this study focuses on whether increasing shame resilience for people in debt leads to more willingness to contact their creditor. Literature shows that indebted people experience shame over their situation. This shame causes them to show avoidance behaviour and ignore the creditors that reach out for contact. The Shame Resilience Theory (SRT; Brown, 2006) states that an increased sense of power and a decreased feeling of being trapped can cause someone to become more resilient to shame. Besides, where shame leads to avoidance behaviour, feeling powerful leads to approach behaviour (Lazarus & Folkman, 1984). Thus, based on SRT we hypothesised that increasing power, decreasing feelings of being trapped, and a combination of the latter, leads to an increase of willingness to contact a creditor compared to the control group. Participants (n = 182) were randomly divided into four conditions: the power, the trapped, the combined, and the control condition. Each condition received a different manipulation. As a result, increasing power increased participants’ willingness to contact. More research is suggested on reducing feeling trapped and its effect on willingness to contact.","['Debt, Contact, Creditor, Shame resilience, Power, Trapped']"
"The Relation between Executive Functioning, Gender, and the Effectiveness of Prediction-based Learning","Elkhoury, Caroline","['Jolles, D.D.']",2022,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,en,"Generative learning strategies (GLSs) are activities that enable learners to develop an understanding that goes beyond the information presented by the instructor, depending on how they try to make sense of the information presented to them. GLSs have become more popular in recent years. Prediction-based learning is one of the most popular and widely used GLSs. Despite its widespread use, much knowledge still needs to be gained about the moderators by which generating a prediction may improve learning. The present study investigated the effects of gender and executive functioning on the effectiveness of prediction-based learning and the underlying mechanisms of prediction-based learning by combining behavioral assessments with neuroactivity measures (fMRI). 62 native Dutch-speaking young adolescents (38 girls), aged 11 to 13 years old, performed a numerical trivia fact learning task, measuring the test performances of generating predictions, following direct instructions, and learning. A questionnaire regarding executive functioning, critical thinking, and curiosity was also administered. Results indicate that making predictions shows beneficial outcomes in learning among young adolescents, especially among boys. This is likely due to their different approach to learning compared to that of girls. Among one pilot participant, neural activation of a frontoparietal network and frontal, temporal and occipital regions were observed. There are likely many other (external) factors that could potentially affect the effectiveness of prediction-based learning. Further research is recommended to determine these factors in order the gain more knowledge about the mechanisms by which generating a prediction may improve learning.","['Prediction-based learning', 'Instruction-based learning', 'Gender', 'Executive functioning']"
Are You Sure You Like This Brand? Brand Preference and the Role of the Need for Closure Under Self-Uncertainty,"Kluten, Marvin","['Brizi, A.', 'Molenmaker, W.E.']",2022,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,"This study aimed to understand whether induced self-uncertainty affects the evaluation of international and national brands in favor of the national brand, and if the need for closure moderates this effect. It was predicted that induced self-uncertainty would increase brand preference for national over international brands. Furthermore, it was predicted that this effect of the induced self-uncertainty would be especially true for participants with low NFC and less so for participants with high NFC. In total 141 Dutch participants filled out the online questionnaire. Based on an ANOVA and a moderation analysis it was concluded that neither the condition nor NFC, had a significant effect on brand preference. Lastly, no significant interaction effect was found as well. However, the manipulation check revealed no difference in self-uncertainty between groups. To conclude, NFC did not affect brand preference, and further research is needed to explore the role of self-uncertainty in brand evaluation.","['Self-uncertainty, need for closure (NFC), brand preference, brand evaluation, national brands, international brands']"
"“Yes, And…” or “Yes, But…”: Listening With the Intent to Understand or With the Intent to React. A study about different listening styles and perceived power differences on the amount of shared information, feeling of being understood and social attractiveness.","de Wal, Jamie",['Harinck; S.'],2022,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,"Background: In many fields, active listening is considered an influential communication skill. While there has been an increasing amount of literature on active listening, there is little or hardly any evidence of research about argumentative listening. The aim of this study was to compare the effects of active listening and argumentative listening to each other, in two different power settings: high power and low power, to see what difference these conditions make in the amount of shared information, feeling understood and social attractiveness. Design: 120 participants were randomly assigned to a 2x2 design. After writing down a story about a conflict, the participant engaged in a 5-minute conversation with a confederate. The power condition roles were manipulated and the confederate listened actively or argumentatively. Results: People share more information, feel more understood and evaluate the other person as more socially attractive when the listener is listening actively, compared to argumentatively. The power manipulation was not successful so no conclusions can be drawn in relation to perceived power differences. An explorative analysis suggested that with a stronger power manipulation there could be a difference in power settings and feeling understood, where in an argumentative listening setting, a person in high power could feel more understood than a person in low power. Conclusion: People do not only respond to an overall level of responsiveness of a listener, but the way someone is responding also matters. This study showed that we should listen to understand, not to reply.","['Active listening', 'argumentative listening', 'perceived power settings', 'information sharing', 'feeling understood', 'social attractiveness']"
Defining the future of humanitarian interventions under international law,"Bressers, Madelijn",['Dr. A. Hussain'],2022,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,"['International law', 'humanitarian interventions', 'United Nations']"
Sociale cognitie bij kinderen: Een onderzoek naar het gebruik van Virtual Reality als meetinstrument vergeleken met een traditionele test.,"Malkoc, Altijana",['Nina Krupljanin'],2022,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,"Over the years various tests have been developed for measuring social cognition in children. The aim of this research was to measure social cognition by using a traditional test as well as a new developed Virtual Reality test, in order to determine if children benefit from the use of Virtual Reality. Both tests are based on a subversion of the Social Cognitive Skills Test and the total scores of the tests are compared with each other. A sample of 60 children, between 9 and 12 years old, took part in this research in which they completed both tests. Results showed that there were no significant differences in test results for the overall score of social cognition. Further analyses of the results showed that 10 year old children perform better dan 9 year old children, but the results for children above the age of 10 are not significantly different. The difference between boys and girls has also been investigated. The results showed no significant differences for boys and girls on both tests. For future research it is recommended to create a Virtual Reality environment in which children are included and can participate. That way it would be more likely that children can benefit from the use of Virtual Reality for testing social cognition.","['Social Cognition, Virtual Reality']"
the return of great power politics,"Nieuwenhuijzen, Menno",['Stephen Haigh'],2022,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
