title,author,supervisors,date,faculty,program,type,language,abstract,keywords
Autonomía Enraizada en Chile,"Chadwick, Lorenza","['Silva, Patricio']",2018,Faculty of Humanities,Latin American Studies (MA),Master thesis,es,,"['Public Policy', 'Chile', 'air pollution', 'NIMBY', 'Embedded Autonomy', 'Issue-Attention Cycle.']"
Entre a Opacidade da Lama e a Clareza do Mar,"Lassche, Rob","['Brandellero, Sara']",2018,Faculty of Humanities,Latijns-Amerikastudies (BA),Bachelor thesis,pt,,"['Rio', 'Mar', 'Exclusão social', 'Desigualdade', 'Pernambuco']"
The Muslim Brotherhood - A social movement study on changing relations,"Kleemann, Jennifer","['Omari, Haneen']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,['Egypt - Muslim Brotherhood - Social Movement']
The Red Lines of Journalism: News Coverage on the Death of Mouhcine Fikri in Relation to Social Protests in Morocco,"Toorn, Michal van der","['Ennis, C.A.']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['journalism', 'morocco', 'rif', 'social protests', 'state-society relations', 'content analysis', 'news coverage']"
Bridging Relations along the Trans-Boundary Mekong River: China's Hydropower Diplomacy in Cambodia,"Dümmer, Josien Jacobien","[""d'Hooghe, Ingrid""]",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,"In a global community ever more transformed by climate vulnerabilities, cooperation along transboundary rivers has increasingly transcended from the environmental, to the political domain. This holds especially true for the industrially powered economy of the People’s Republic of China, which, after its initial economic take-off, started pursuing an energy diplomacy strategy vis-à-vis the neighboring Greater Mekong Sub-region. However, predominantly known as the ‘upstream superpower’, that ambition poses challenges for this country on a quest for water resources. This thesis focuses on the Mekong sub-region country Cambodia, which, since becoming a member of ASEAN and WTO, has deepened economic, as well as political ties with China. Here, the effects of China’s importance to Cambodia are evaluated, by looking at three critical components: 1) investment; 2) aid; and 3) trade. The analysis shows how China, through the provision of economic incentives through these pathways, has managed to increase both political support, while safeguarding domestic energy security. The thesis uses Cambodia’s hydropower sector as its case study to show how China’s regional pursuit, geo-economics strategy, and energy diplomacy can shed light on recent regional power shifts and China’s increasingly recognized regional role as a cooperative leader.","['Cambodia', 'China', 'Energy Diplomacy', 'Sino-Cambodian Relations', 'Overseas Hydropower Investment']"
Ustopian Literature: A Matter of Perspective in Twentieth Century Utopian and Dystopian Literature,"Perez, Nathalie","['Leeuwen, Evert Jan van']",2018,Faculty of Humanities,Literary Studies (MA),Master thesis,en,"The dystopian genre has had a surge of popularity in television and movies the past few years with movies such as the Hunger Games and series such as Netflix’s Black Mirror. However, the genre’s popularity had its beginning in the early years of the twentieth century, in particular, thanks to the contributions of Aldous Huxley and George Orwell. Their books, Huxley’s Brave New World (1932) and Orwell’s Nineteen Eighty-Four (1949), are to this day lauded for their prophetic elements. On the one hand, Brave New World explores scientific progress and the negative consequences it could entail. Some of the inventions present in the novel were not yet invented at the time that Huxley wrote them, such as for example birth control for women. On the other hand, Orwell’s exploration of cruelty by totalitarian regimes and the high-tech espionage of their citizens through cameras in Nineteen Eighty Four, well before the Soviet Union’s KGB and the East-German Stasi applied them during the Cold War, prophesied the rise of surveillance technologies in modern technocracies. These two foundational dystopian novels have their origins in the two authors’ critique of optimistic utopian narratives. The works of H.G. Wells, in particular, were viewed adversely by Huxley and Orwell. Despite the negative incentive, there are clear similarities between the novels of these three public intellectuals. H.G. Wells had a ground-breaking approach to communicating his ideas about science and society to a wider audience. In his scientific romances he combined aspects of the social novel with scientific theories about the progress of human civilization in order to express his vision of how to rid the world of its ills, which ultimately inspired, on the one hand, the scientific explorations of utopia in Brave New World and, on the other hand, the social protest against dystopian developments in Western society that Nineteen Eighty-four was to become. These would ultimately become two distinct kinds of dystopian literature: Huxley’s science-fiction dystopias and Orwell’s social dystopias. There are of course also combinations of both. The close readings of H.G. Wells’ Perez 4 Men Like Gods (1923), Brave New World and Nineteen Eighty-Four will highlight the similarities between the three novels in terms of their treatment of the utopia/dystopia dichotomy and will show that the authors’ personal backgrounds played an important role in determining each different approach to the building of a utopia/dystopia in the respective novels.","['ustopia', 'dystopia', 'utopia', 'george orwell', 'aldous huxley', 'H.G. Wells']"
Colombia: Organised Crime and the Re-Establishment of Rule of Law in a Turbulent Post-Conflict Era,"Blom, Jens","['Valdivia Rivera, Soledad', 'Aguiar, J.C.G.']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,
Policy options for low fertility relief in South Korea: Analysis on determinants of effectiveness in pronatalist policy.,"Leeuwen, Luk van","['Ceuster, Koen de']",2018,Faculty of Humanities,Asian Studies (120 EC) (MA),Master thesis,en,,"['Korea', 'Fertility', 'Low Fertiltiy', 'sociology', 'aging society', 'birth rate', 'South-Korea']"
The Ambiguous Position of the Balkans within Europe: A Close-Reading of Dubioza Kolektiv Lyrics,"walden, Sarah Marie","['Weyenberg, A.L.B van']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['Balkans', 'Balkanism', 'Dubioza Kolektiv', 'Music', 'Culture', 'Europe', 'Bosnia and Herzegovina']"
"A Vicious Cycle: Understanding Inequality, Social Conflict and the issue of Police Violence in Brazil","Graefin von Goetzen-Iturbide, Isabella","['Valdivia Rivera, Soledad']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['police violence', 'crime', 'inequality', 'social conflict theory', 'brazil']"
Japanese Intonation: L1 transfer in Japanese intonation by Dutch L1- learners,"Duuren, Jimmy van","['Uegaki, Wataru']",2018,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,,"['intonation', 'japanese', 'dutch', 'prosodic transfer']"
The road to symmetric interdependence: EU-US power balance in NATO from 1999-2014,"Spahija, Armand","['Thakur, Vineet']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['NATO', 'European Union', 'Defence integration', 'United States', 'Security']"
Japan’s Security Identity and the “Threat” of China,"Freriksen, Lars","['Kasahara, Shigehisa']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['Japan', 'Security Identity', 'China']"
The Question of Democracy: Exploring Israel’s Jewish and Democratic State,"Rabbani, Lina","['Forough, Mamad']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,"The self-image and international recognition of Israel as a Jewish and democratic state has prompted a wide range of scholarly debate since its establishment in 1948. The long-lasting Israel-Palestine conflict has led to a series of harmful acts within the state and as such, has resulted in many questioning Israel's claims to democracy. Since Israel is considered an example of a Western democratic state and is often recognized by the West as being the only successful democracy in the Middle East, this thesis aims to analyze this claim. By approaching the matter from a legal perspective, specifically focusing on the conception of citizenship and the allocation of land within Israel, the research demonstrates that laws practiced by the Israeli parliament leads to clear tension between the concepts 'Jewish' and 'democratic’, since the laws put into place to govern the citizens of the state have as a priority to uphold the Jewish character of the state and to protect the Jewish majority residing in Israel. As such, this research concludes that Israel should not be considered compatible to a traditional Western democracy, since the state's two identities, Jewish and democratic contradict each other in practice.","['Democracy', 'Israel', 'Jewish and Democratic State', 'Zionism', 'Palestinians', 'Israel Laws', 'Israeli Citizenship', 'Israeli Land Use']"
The Syrian conflict: an Illustration of China's new foreign policy strategy? Between non-action and intervention,"Biesold, Damon","['Forough, Mohammadbagher']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,"An analysis on China's ambiguous stance on the Syrian conflict and the subsequent issues arising from it. China has over the years developed a foreign policy that deflects from its initial non-intervention motto to a more decisive role in global and regional politics. Despite reaffirming its commitment to non-interventionism, its stance and support towards Russia and the Assad's regime amidst the Syrian conflict, raises questions on whether or not China is abiding by its own rules. This thesis looks at this particular change in behaviour with the following research question: to what extent is it possible to consider China's involvement in the Syrian conflict as intervention? Firstly, this thesis seeks to analyse China's stance by looking at the use of its veto power at the United Nations Security Council, which seeks to implement resolutions aimed at sanctioning Assad's regime, offering thus its unwavering support to both Russia and Syria. Secondly, it asserts whether China's has indeed been involved military in the conflict through the transfer of arms from China to the Middle East, in particular Syria and Iran.",['China Foreign Policy Syria Arms transfer']
The Latin American Political Spectrum as Indicator for Improving Bilateral Relations with the United States: The case of Macri’s Argentina,"Steinfort, Nadja Anneke","['Valdivia Rivera, Soledad']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,,"['US hegemony', 'Bilateral Relations', 'Latin American Political Spectrum', 'Mauricio Macri']"
Politicians supporting the Syrian opposition or humanitarians helping Syrian refugees? Analyzing the efforts of the al-Jama'a al-Islamiyya to help Syrians in Lebanon,"Heuvel, Marianne van den","['Dessing, Nathal']",2018,Faculty of Humanities,Middle Eastern Studies (MA),Master thesis,en,,"['humanitarianism', 'lebanon', 'muslim brotherhood', 'fathi yakan', 'activism', 'political islam', 'syria']"
The European Monetary Union in an age of populism: To what extent have populist parties utilized structural features of the European Monetary Union in their attempt to raise public support?,"Lembke, Max","['Joost, Augusteijn']",2018,Faculty of Humanities,International Studies (BA),Bachelor thesis,en,"European integration efforts have led to the creation of a variety of political and economic institutions. Yet the main stimuli for these efforts have always been of an economic nature (K. R. McNamara 2006, 802). The success of early integration efforts in the form of the European Coal and Steel Community (ECSC) and the European Economic Community (EEC), has led to the establishment of further, more embedded institutions, such as the European Union (EU) and the Economic and Monetary Union (EMU). In particular, the creation of the EMU has been characterized, as “the most striking example of economic integration in history” (K. R. McNamara 2006, 803). Whilst some praise the ideological consensus reached and celebrate the economic and political successes; others highlight the incompleteness of the project (Jones, Kelemen, and Meunier 2016, 1010). The recent financial and European sovereign debt crisis exposed the underlying weaknesses of the EMU (Nicoli 2017, 392). Most notably, the European Central Bank (ECB) as the epicenter of the EMU, had its weak output and weak input legitimacy exposed (Alcidi, Giovannini, and Piedrafita 2014, 9). The continued reliance on the economic results, known as output legitimacy, used to rectify the lack of democratic representation, known as the input legitimacy, was unfeasible in the long-term (Alcidi, Giovannini, and Piedrafita 2014, 9). Academics such as Kathleen McNamara and Erik Jones outline, that this is due to the inherent shortcomings of the EMU’s structural features. This critique is not limited to the scholarly domain but it should be pointed out that “most citizens realized that integration entails serious normative costs” (Majone 2014, 1216). Citizens thereby experienced the adverse effects of economic growth and successes of past years which had previously been induced by the EMU. Although the crisis has recently been out of public attention, Mario Draghi, president of the ECB points out that, “the crisis has shown that the monetary union is incomplete and that the weaknesses need to be remedied” (Mario Draghi 2014). Yet, this has not occurred and the incompleteness of the monetary union, specifically its weaknesses, highlights the danger that the EMU is still currently facing; a danger, which does not only call into question decades of European integration but could send the entire integrated monetary union into financial turmoil and with it, the world economy. Whilst economic academia has focused on the consequences and causes of the crisis, political scientists have shifted their focus to the recent rise of populist parties throughout Europe. These have heavily critiqued the policies and alleged shortcomings of the ECB and with them the EMU. Nevertheless, whilst recognizing the rise of populist parties throughout Europe and the economic crisis, current academic debate in both the political and economic domain remains largely disconnected. Hence this thesis shall depart from current academia by exploring the connection between the structural weaknesses and the attempt by populist parties to generate public support by answering the question: To what extent have populist parties utilized structural features of the EMU in their attempt to raise public support? To answer this question, this thesis shall first provide an overview of the academic debate regarding the shortcomings that weaken the EMU and the structural features that aid their mandate through conducting a literature review. Furthermore, an overview of approaches to identify the positioning of political parties will be provided. This thesis shall utilize a version of the wordscore approach, a computerized quantitative methodology proposed by Laver et al. in 2003 (Laver, Benoit, and Garry 2003). This approach treats words as data, in order to identify the emphasis on a specific topic or position through assessing the use-frequency of a key term or phrase. This standardized methodology allows for the assessment of a variety of text types across time, which will provide the necessary data to answer the previously defined research question. To support the findings, qualitative discourse analysis will be used. This will be applied to analyze the Alternative für Deutschland (Alternative for Germany, AfD), in Germany and the Freiheitliche Partei Österreichs (Freedom Party Austria, FPÖ), in Austria which shall serve as case-studies for this thesis.","['democratic deficit', 'EMU', 'Europe', 'Germany', 'Austria', 'Populism']"
Imagining Place: How Do Katsushika Hokusai’s Landscape Prints Combine Local and Transcultural Elements? A Consideration of Cultural Appropriation,"Kiss, Cintia","['Mueller, Doreen']",2018,Faculty of Humanities,Asian Studies (60 EC) (MA),Master thesis,en,"Katsushika Hokusai, one of the most influential reformers of Japanese popular art, contributed towards the formation of landscape genre within the ukiyo-e aesthetic. Hokusai’s vision of space reflects his Edokko understanding of place, which he filled with cultural references towards his contemporary identity and Japanese belonging. Furthermore, his genius lies in his enthusiastic, restless spirit that paved his life-long learning and experimentations in multiple stylistic traditions. Influences of Western style and technique can be discovered throughout his ‘early’ woodblock print designs, which marks one of the earliest traces of his tendency of appropriation. His mature landscape designs in the Thirty-Six Views of Mt Fuji series reflect a synthesis of such appropriations. The forty-six prints of this specific series fuses Western concepts of perspective, colour and shade with famous spaces within Japan that are connected with a common direction towards Mt Fuji. Under the Wave off Kanagawa, also known as the Great Wave, also incorporates such elements, and in addition to the established recognition of Mt Fuji, popularizes the animated wave motif at the same time. This particular design of Hokusai is re-imagined throughout the course of the artist’s lifetime, then in the context of Japonisme, post-war Japan, and through other modern and contemporary re-appropriations. Hokusai’s characteristic landscape of appropriated fusion of influences embarks on the journey of transcultural appropriation that elevates the Wave’s status from a Japanese symbol of identity to that of a global icon. Hokusai’s idea of landscape exemplified in the Great Wave is re-interpreted in multiple contexts, receiving new meanings through appropriations continuously.","['Katsushika Hokusai', 'Cultural Appropriation', 'Japanese Landscape Prints', 'Thirty-Six Views of Mt Fuji', 'Under the Wave off Kanagawa', 'Mt Fuji', 'Japonisme', 'Transcultural Appropriation', 'Ukiyo-e Prints']"
