title,author,supervisors,date,faculty,program,type,language,abstract,keywords
"""A mighty alliance of moralists and progressives, suffragists and xenophobes”","Buck, Alison","['Schrover, M.L.J.C. (Marlou)']",2019,Faculty of Humanities,History (MA),Master thesis,en,,"['Prohibition', 'Immigration']"
Laatsten onder de gelijken. Over de rechtspositie van lokale christenen in Nederlands-Indië van 1848-1942,"Gieling, Jade","['Schrikker, Alicia']",2019,Faculty of Humanities,Geschiedenis (BA),Bachelor thesis,nl,,['Indonesia colonialism Dutch Indies legal pluralism']
'Klimaatwaanzin of Groene Revolutie?' Een kwalitatief onderzoek naar het verschil in type metafoorgebruik tussen voorstanders en tegenstanders van de Klimaatwet.,"De Heer, Marloes","['Jungslager, Francisca', 'Leeuwen, Maarten van']",2019,Faculty of Humanities,Neerlandistiek (MA),Master thesis,nl,,"['Metafoor', 'Klimaat', 'Charteris-Black', 'De Landtsheer', 'Kwalitatief onderzoek', 'Taalbeheersing']"
RADICALISM AND REDESIGN OF LIVING SPACES IN GILMAN’S WOMEN AND ECONOMICS AND FRIEDAN’S THE FEMININE MYSTIQUE,"Kooijman, Macey Feline Sophie","['Kardux, J.C.']",2019,Faculty of Humanities,Engelse taal en cultuur (BA),Bachelor thesis,en,,
Het aanzien van Rotterdam. Het dagelijks leven in zeventiende-eeuwse stadsgezichten,"Otting-Noordhoek, Ineke","['Bussels, S.P.M.']",2019,Faculty of Humanities,Arts and Culture (research) (MA),Research master thesis,nl,,"['Rotterdam', 'Zeventiende eeuw', 'Stadsgezichten', 'Dagelijks leven', 'Welvaart', 'Koopvaardijstad', 'Naakt', 'Identiteit', 'Rivaliteit']"
Performance Poetry in Ghana: Its Contribution to Gender Equality,"Mud, Eva","['De Bruijn, Mirjam']",2019,Faculty of Humanities,Afrikaanse talen en culturen (BA),Bachelor thesis,en,,
The reinvention of the American Welfare State,"Van Halm, Thomas","['Rieger, Bernard']",2019,Faculty of Humanities,History (MA),Master thesis,en,,"['Richard Nixon', 'Family Assistance Plan', 'Welfare Policy', 'Guaranteed Annual Income', 'Income Maintenance Experiments', 'Daniel P. Moynihan', 'Jimmy Carter']"
De zelf-presentatie van het avant-gardistisch tijdschrift Internationale Revue i10. Een computationele analyse,"Hart, Pien 't","['Beeks, Sarah']",2019,Faculty of Humanities,Nederlandse taal en cultuur (BA),Bachelor thesis,nl,,
Narrative in Videogames Compared to Gilles Deleuze's Societies of Control,"Kooij, Ellen Alexandra van der","['Houwen, Janna']",2019,Faculty of Humanities,Film- en literatuurwetenschap (BA),Bachelor thesis,en,,"['Narrative', 'Societies of Control', 'Deleuze', 'Games', 'Videogames']"
Suriname en het Caraïbisch-koloniale netwerk. De positie van koloniaal Suriname in een mondiaal netwerk ten tijde van de negentiende eeuw,"La Brijn, Dennis","['Fatah-Black, Karwan']",2019,Faculty of Humanities,History (MA),Master thesis,nl,"Dit werk gaat in op de mondiale positie van koloniaal Suriname ten tijde van de negentiende eeuw. Dit onderzoek betoogt dat Suriname in deze periode niet enkel benaderd kan worden als een Nederlandse kolonie. Door de aandacht te vestigen op de verschillende mondiale verbindingen die Suriname aan andere Amerikaanse en Europese gebieden verbond, wordt aangetoond dat Suriname meer was dan een Nederlands bezit. Door in te gaan op het beheer van de plantage, de wijze waarop religieus onderwijs op de Surinaamse plantages tot stand kwam en de verbinding tussen Noord-Amerika en Suriname wordt een verdere poging gedaan om de relatie tussen Suriname en Nederland binnen de historiografie verder te 'dekoloniseren'. Het mondiale perspectief dat in dit werk wordt geboden, waarin voornamelijk aandacht is voor niet-koloniale invloeden op de Surinaamse kolonie, moet er uiteindelijk voor zorgen dat de koloniale verhouding tussen Suriname en Nederland verder verdwijnt in historisch onderzoek. Suriname was een Nederlandse kolonie, maar bestond tegelijkertijd binnen een groot, mondiaal netwerk. Om deze omgeving te benaderen, wordt in dit onderzoek de term 'Caraïbisch-koloniale netwerk' geïntroduceerd.","['Suriname', 'Kolonialisme', 'Netwerk', 'Slavernij', 'Plantage management', 'Koloniaal Suriname', 'Negentiende eeuw', 'Cosmopolitan web', 'Caraïbisch-koloniale netwerk']"
