title,author,date,supervisor,faculty,abstract,keywords
Nederland; een voormalig Marokkaanse El Dorado,"Dijk, P. van",2012-10-18,['Prof. dr. G. Engbersen'],Erasmus School of Social and Behavioural Sciences,"In deze scriptie wordt onderzocht, in hoeverre de verminderde acceptatie van (Islamitische) migranten in Nederland, zoals die sinds de eeuwwisseling is ontstaan, een reden is voor de verminderde migratie van Marokkanen naar Nederland. De verminderde acceptatie blijkt voor een belangrijk deel inderdaad een aannemelijke verklaring. Het betreft een kwalitatief onderzoek van 73 interviews van Marokkaanse migranten in Nederland, retourmigranten en familieleden van migranten in Marokko.","['afnemende migratie', 'Nederland', 'Marokko', 'acceptatie', 'migranten']"
Bevordering van samenhang tussen de lagen van meerlaagsveiligheid: een studie naar beleidsarrangementen en institutioneel handelen,"Zuijlen, N. van (Nick)",2012-10-12,"['Buuren Dr. M.W. van (Arwin)', 'Ast Mr.Dr. J.A. van (Jacko)']",Erasmus School of Social and Behavioural Sciences,"Het Nederlands kabinet gaf in 2007 aan ambities van waterveiligheid te willen vergroten en te streven naar een duurzaam en klimaatbestendig waterbeheer. Nadat een tweede Deltacommissie was ingesteld gaf zij advies over waterbeleid tot het jaar 2100, hetgeen is uitgewerkt in het Nationaal Waterplan 2009-2015. In dit plan werd het begrip meerlaagsveiligheid voor het eerst geïntroduceerd. Meerlaagsveiligheid behelst een benadering waarbij maatregelen in een drietal lagen bijdragen aan de totale waterveiligheid:  preventie, duurzame ruimtelijke ontwikkeling en rampenbeheersing. De verschillende lagen
van meerlaagsveiligheid dienen in samenhang te functioneren voor een optimale voorkoming van overstromingen. In de verschillende lagen worden reeds maatregelen genomen ter voorkoming van een overstroming en om schade en slachtoffers te beperken en herstel te bevorderen na een overstroming. Deze maatregelen worden echter niet altijd in samenhang met elkaar gezien en los van elkaar ingevuld. De centrale hoofdvraag in dit onderzoek behelst de vraag wat de knel- en aangrijppunten zijn voor het realiseren van samenhang tussen de verschillende lagen van meerlaagsveiligheid.
De hoofdvraag wordt beantwoord door een drietal deelvragen. Deze deelvragen bieden inzicht in de wijze waarop het huidige beleidsarrangement van de verschillende lagen van meerlaagsveiligheid eruit ziet, en de inrichting en verhouding binnen en tussen de verschillende lagen en knel- en aangrijppunten voor individueel en gezamenlijk handelen tussen de verschillende lagen. De centrale hoofdvraag is beantwoord aan de hand van de theorieën van (sub)systemen, zelforganisatie, wederzijdse aanpassing en de beleidsarrangementenbenadering. In de analyse zijn per laag van meerlaagsveiligheid de actoren, bronnen, spelregels en discoursen uiteengezet. Bij actoren zijn de verantwoordelijkheden, rollen en afhankelijkheden vastgesteld en is een onderscheid gemaakt tussen structurele en vrijblijvende relaties. Het blijkt dat actoren afhankelijk zijn van elkaar daar zij elkaars hulpbronnen nodig hebben voor het realiseren van maatregelen. Uit de discourse komt naar voren dat waterveiligheidsbeleid zijn intrede doet vanaf de jaren 1960. Waterveiligheid komt in het beleid van ruimtelijke ordening en rampenbeheersing pas rond het nieuwe millennium naar voren. Vervolgens is inzichtelijk gemaakt op welke wijze de lagen van meerlaagsveiligheid zijn ingericht en zich tot elkaar verhouden. Hieruit blijkt dat laag 1 zich kenmerkt door partijen met een gesloten houding. Laag 2 en 3 kenmerkt zich door partijen met een open houding. Tevens blijkt dat het Nederlandse waterveiligheidsbeleid gestoeld is op preventie, een focus die doordringt in laag 2 en 3 van meerlaagsveiligheid. Door deze focus is het lastig om maatregelen in laag 2 en 3 aan te vullen op maatregelen in laag 1. Daarnaast blijkt dat door belangenverschillen de huidige waterbeheerders geen dialoog aangaan en zich niet aanpassen aan nieuwe partners die meerlaagsveiligheid met zich meebrengt. Tevens wordt gesteld dat waterveiligheid geen duidelijke rol heeft in ruimtelijke ordeningsprocessen. Hiervoor zijn institutionele veranderingen nodig. In laag 3 is met betrekking tot handhaving behoefte aan een toezichthouder en richtlijnen/normen voor/helderheid over evacuatiefracties. Laag 2 en 3
kenmerkt zich door partijen met een open houding naar andere partijen. Door meerlaagsveiligheid krijgen decentrale partijen een grotere verantwoordelijkheid. Deze partijen hebben echter moeite om regionale ambities te realiseren door onzekerheden omtrent verantwoordelijkheden en tonen een afwachtende houding. Door de afwachtende houding komt meerlaagsveiligheid ook op centraal niveau niet van de grond daar men decentrale resultaten afwacht. De focus op preventie is veel aanwezig, maatregelen in deze laag krijgen dan ook volop aandacht van partijen in de verschillende lagen van
meerlaagsveiligheid. Deze focus is lastig te wijzigen door de reeds gedane investeringen in hoogwaterbescherming en de kostenefficiëntie die ermee gemoeid is. De focus zorgt er echter voor dat partijen in laag 2 en 3 blijven inzetten op maatregelen in laag 1 en deze maatregelen niet aanvullen of uitruilen met maatregelen uit laag 2 of 3. Maatregelen in laag 2 en 3 komen tevens niet van de grond door een tekort aan financiële middelen en capaciteit. Voor het realiseren van deze bronnen zijn partijen afhankelijk van andere partijen in de verschillende lagen van meerlaagsveiligheid. Daarnaast hebben de werelden van
waterveiligheid en ruimtelijke ordening elkaar in de praktijk wel gevonden maar komt samenwerking lastig tot stand door belangenverschillen en de focus op preventie. Indien partijen andere partijen willen betrekken bij elkaars processen, en tot gezamenlijke maatregelen willen komen, dienen zij elkaar op een vroegtijdig moment in het proces te betrekken. Geconcludeerd wordt dat de discussie omtrent meerlaagsveiligheid dusdanig groot is, er zijn nog veel obstakels die eerst uit de weg geruimd dienen te worden. Toch zijn er volop kansen voor het slagen van meerlaagsveiligheid. Deze kansen liggen op zowel centraal als decentraal niveau.",['meerlaagsveiligheid beleidsarrangementen institutioneel handelen']
"Focus, Focus, Focus...!","Baardemans, E.E.M. (Esther)",2012-10-12,"['Edwards Dr. A.R. (Arthur)', 'Haverland Dr. M.']",Erasmus School of Social and Behavioural Sciences,"Dit onderzoek richt zich op de relatie tussen typen politieke partijen, taken van partijbureaus van landelijke (Nederlandse) politieke partijen en daaruit voortvloeiend kerntaken van het Landelijk Bureau GroenLinks. Het onderzoek is ingegeven door een concrete vraag van het Landelijk Bureau GroenLinks, waar men graag een schetst wilde van de kerntaken van het Bureau als men ineens door omstandigheden gedwongen zou worden een aantal fundamentele keuzes te maken. Om deze concrete vraag een meer wetenschappelijke insteek te geven is ervoor gekozen om te kijken naar de invloed van het type politieke partij op de taken van een partijbureau. Vanuit dit perspectief is de volgende hoofdvraag geformuleerd:
“Wat is de invloed van het type politieke partij op de taken van het partijbureau van een politieke partij en welke kerntaken zijn op basis hiervan af te leiden voor het Landelijk Bureau GroenLinks?”","['partijtype', 'kerntaken', 'partijbureau', 'partijorganisatie']"
Cultuureducatie; noodzaak of bijzaak,"Kom, E",2012-10-10,['Dool C.J. van den'],"Erasmus School of History, Culture and Communication","In het cultuureducatiebeleid van minister Zijlstra (2011) wordt de kwaliteit van het cultuuronderwijs vertaald naar een goede verankering van cultuureducatie in het onderwijs en aandacht voor cultuureducatie bij alle culturele instellingen, landelijk en lokaal. Aan de focus op een samenwerking tussen het onderwijs en culturele instellingen wordt door vmbo Palmentuin te Rotterdam al enige jaren gehoor gegeven. In deze thesis staat de vraag centraal hoe deze samenwerking, en het overheidsbeleid op het gebied van cultuureducatie in zijn geheel, in de praktijk wordt gebracht. Hiervoor is de volgende onderzoeksvraag opgesteld: Hoe wordt overheidsbeleid op het gebied van cultuureducatie vertaald door Rotterdamse scholen en kunstvakdocenten en op welke wijze hangt deze vertaalslag samen met de beleving en beoordeling door de leerlingen?
De visie en ideeën van kunstvakdocenten blijken globaal overeen te komen met de ideeën over cultuureducatie zoals die in de visie en programmering van de school zijn omschreven. De keerzijde van deze constatering is dat dit mogelijk komt doordat de visie en doelstellingen zeer ruim geformuleerd zijn en dus weinig concreet worden gemaakt in het schoolbeleid omtrent cultuureducatie. Een gevolg van ruim geformuleerde doelstellingen is dat ze lastig te meten zijn. De focus van het huidige overheidsbeleid op het gebied van (cultuur)onderwijs is echter steeds meer evidence-based geworden. Het meten van wat cultuureducatie concreet oplevert, en met name wat de effecten zijn op bijvoorbeeld schoolprestaties, is problematisch. Er ontbreekt een goede theorie om te beredeneren waarom bijvoorbeeld percussielessen invloed zouden hebben op schoolprestaties. Daarnaast blijkt het meten van effecten van cultuureducatie sterk onderhevig aan bepaalde condities. Centraal in deze thesis staat de theorie van Susan Galloway (2009) die stelt dat onderzoek naar de impact van cultuureducatie gebaseerd moet zijn op een generatief begrip van de causale verandering, waarbij theorie de basis vormt. Deze vorm van onderzoek draagt bij aan het ontwikkelen van theorieën over causale verandering. Daarnaast biedt het kennis over hoe en waarom veranderingen zich voordoen (wat werkt, voor wie, en onder welke omstandigheden). Zo blijkt uit dit onderzoek bijvoorbeeld dat hoewel de Palmentuin erg tevreden is over het cultuureducatieproject en de samenwerking met een expert op het gebied van cultuureducatie, dit in de praktijk niet altijd de gewenste resultaten oplevert. Het kan voor beleidsmakers van groot belang zijn te weten dat er een verband bestaat tussen basale zaken als inroostering van de cultuurlessen en het plezier dat leerlingen eraan beleven. Vele kleine onderzoeken waarin wordt gewerkt met een generatief begrip van causale verandering kunnen op deze manier bijdragen aan de ontwikkeling van bewijs. Deze informatie is van groot belang voor beleidsmakers van cultuur(educatie)beleid en is noodzakelijk voor een goede aansluiting van dit beleid bij de onderwijspraktijk.","['Kunst- en Cultuurwetenschappen', 'cultuureducatie', 'kunstonderwijs', 'cultuureducatiebeleid', 'effecten van cultuureducatie']"
The Role of Social Media Sites in the Egyptian Uprising of 2011,"Rashid, A.R.",2012-10-01,['Auge'],"Erasmus School of History, Culture and Communication","The purpose of this study was to understand what role did social media sites play in the Egyptian Uprising of 2011. The importance of these social networking sites was highlighted to an extent by the mainstream media last year, hence; the study is carried out based on two sub research themes: understanding the role of social media as depicted by the Egyptian activists and studying the role of social media sites as represented by CNN and Al-Jazeera news websites. For this aim, both qualitative and quantitative research methodology was utilized in the study. The qualitative research data consisted of ten in-depth interviews with Egyptian activists who were actively participating in the Uprising of last year. The quantitative research data was gathered with the aid of content analysis of 100 news articles, from the respective news websites. The results of the in-depth interviews revealed that social media sites played a pivotal role to the protest movement in terms of interactivity and organization by the activists. Interview respondents felt that social media sites provided them with transparency that was essential to the Uprising, considering that the national media in Egypt is under strict government control and it is potentially harmful for people to voice their negative opinion about the government. The interviews also revealed that motivation was not primarily facilitated by social media sites and Egyptian interviewees felt that the role of social media sites in their Uprising has been exaggerated by western mainstream media. They do not agree with a label to their Uprising, such as a ‘Facebook Revolution.’ Content analysis of news articles demonstrated that CNN news website gave more importance to the role of social media in Egyptian Uprising especially to Facebook. The articles in CNN highlighted the role of social media in a positive tone. Al-Jazeera’s articles revealed a more neutral tone when talking about social media sites, when they did mention the importance of the sites it was mostly the blogs by Egyptian activists. The author recommends further study into how the rising popularity of social media tools will further affect political activism. To what extent the political parties and decision makers should not under estimate the power of social media. It is further recommended to study the reason for mainstream news media’s interest in promoting social media sites to its audience.","['media en journalistiek', 'Egyptian Uprising', 'political activism', 'social media', 'Facebook', 'CNN', 'Al-Jazeera']"
Cultural Policies in New Towns,"Peters, L.",2012-09-30,['Vecco'],"Erasmus School of History, Culture and Communication","The aim of this thesis is to gain insight in the development and impact of cultural policies in New Towns as Almere (NL) and Milton Keynes (UK). New Towns are a subcategory in the creative city discourse that is hardly researched. The core research question that is being asked is the following: What is the impact of cultural policy in New Towns?
	The theoretical framework of creative cities is the starting point of this research. Creative city research has mainly focussed on large cities and metropolises and the theories generated from these studies do not apply to or work differently in New Towns. The framework of small creative cities, which is a quite new field of research, is added to the framework. Characteristics of small cities, such as a close interaction with inhabitants, strong influence of local politics and an insufficient vocabulary, can also be found in New Towns. Research into the evaluation of the impact of cultural policies is also added to the framework. The evaluation of cultural policies focuses on several types of goals, namely social, economic and cultural goals. However, no standard method has yet been developed to evaluate the impact of cultural policies.
To answer this question a cross-national comparative case study research has been conducted for the years 2008 and 2011. Four macro indicators were developed to measure the impact of the cultural policies: (1) concentration and distribution of cultural organisations, (2) impact of the budget, (3) audience development, and (4) the impact of the policy. Data was generated through the policy documents, local cultural budgets, local and national statistics, and interviews with local cultural officers. 
	Although the policy documents are very ambitious, when you measure quantitatively what the result are of these policies there is a difference between ambition and results. Both cities are working very hard on the cultural infrastructure and supporting the development of cultural products to be presented in this infrastructure. However, as one would expect in a New Town where there is no long history to build a cultural identity and a shared feeling of identity on, hardly any money is spend on projects that support these social goals. Making cultural policies in New Towns is about painting on a blank canvas and as a cultural officer being very hands.","['Cultural Economics', 'Cultural Entrepeneurship', 'CULTURAL POLICY', 'NEW TOWNS', 'CREATIVE CITIES', 'SMALL CITIES', 'URBAN DEVELOPMENT']"
Voorspelbaarheid: saai of gelukzalig?,"Vuik, I.",2012-09-25,"['Prof. Dr. Kea Tijdens', 'Prof. Dr. Ruut Veenhoven']",Erasmus School of Social and Behavioural Sciences,"Dit artikel beschrijft de relatie tussen voorspelbaarheid van arbeidstijdenlocaties op het geluksgevoel van Nederlandse werkenden tussen 2006-2010, met behulp van de WageIndicator. Geluk is gemeten als de subjectieve waardering van het leven als geheel. De voorspelbaarheid houdt in hoelang van tevoren werkenden de arbeidstijdenlocaties weten. Veel voorspelbaarheid houdt in dat de werkenden minstens één maand van tevoren de arbeidstijdenlocaties weten, terwijl weinig voorspelbaarheid hoogstens één week van tevoren betekent. Weinig voorspelbaarheid heeft negatieve invloed en veel voorspelbaarheid positieve invloed op het geluksgevoel. Dit effect is het sterkst bij de volgende categorieën werkenden: vrouwen, 15-31 jarigen, partner in huishouden, twintig tot veertig uur per week werken en werken in de horecasector. Aanwezigheid van kinderen in huishoudens heeft geen invloed op de veronderstelde relatie.",
De Mythe van de Gelukkige Telewerker,"Verkleij, C.",2012-09-25,['Ferry Koster'],Erasmus School of Social and Behavioural Sciences,"This article explores the effects of the implementation of ‘Het Nieuwe Werken’ (the ‘New Way of Working’) in the Netherlands. It critically examines the claims in regards to increased job satisfaction made by a proponent of ‘Het Nieuwe Werken’ Dik Bijl, using the Job Characteristics Model (JCM) by Hackman and Oldham. The main hypothesis being that autonomy would mediate the positive influence, which is assumed to exist by Bijl, between teleworking and job satisfaction. Using logistical regression-analysis on data from the 4th European Working Conditions Survey (EWCS) this study finds no positive or negative influence of teleworking on job satisfaction. Therefore, there can be no mediation upon this relationship by the factor of autonomy. Directions for future research on the relation between teleworking and job satisfaction and the influence of factors other then autonomy are given, since it appears that increased autonomy alone cannot lead to increased job satisfaction.","['het nieuwe werken', 'jcm', 'teleworking', 'autonomy', 'job satisfaction', '4th ewcs']"
Euroscepsis: fact or fairytale in the eye of the beholder?,"Mijnans, R.L. (Roland)",2012-09-21,"['Edwards Dr. A.R. (Arthur)', 'Nispen Dr. F.K.M. van (Frans)']",Erasmus School of Social and Behavioural Sciences,"De Europese Unie speelt in toenemende mate een rol in onze maatschappij. In dit onderzoek is gekeken naar de scepsis over de Europese Unie, Euroscepsis genaamd. Met Nederlandse Tweede Kamerleden en Europarlementariërs is gesproken over de verschillen in eurosceptische sentimenten tussen 2005 (referendum over Europese Grondwet) en 2012 (Europese landencrisis) die bestaan onder Nederlandse burgers. De parlementariërs zien identiteit, een succesvolle tegencampagne en het unheimische gevoel wat veel Nederlanders aan het begin van dit decennium hadden als de belangrijkste verklaring voor de ‘nee-stem’ bij het referendum. In 2012 bepalen negatieve economische evaluaties, angst voor het verlies van banen door goedkope Oost-Europese werkkrachten en het Nederlandse belastinggeld dat naar noodlijdende Europese lidstaten verdwijnt het toenemende eurosceptische gevoel. De economische crisis is het centrale mechanisme dat voor de genoemde veranderingen heeft gezorgd. Nederland raakt steeds meer gepolariseerd over Europa: in de percepties van burgers is een ontwikkeling naar de extremen merkbaar.","['euroscepsis', 'volksvertegenwoordigers', 'Europese grondwet', 'landencrisis', 'burgers', 'euroscepticism']"
Een onderzoek naar de factoren die bepalend zijn voor de effectiviteit van talentontwikkelingsprogramma’s,"Westland, S. (Suzanne)",2012-09-21,"['Groeneveld Dr. S.M. (Sandra)', 'Dulk Dr. L. den (Laura)']",Erasmus School of Social and Behavioural Sciences,,
