title,author,date,supervisor,faculty,abstract,keywords
Een adaptieve strategie voor het bestuurlijk realiseren van de spoorlijn A27.,"Niessen, Tim",2010-08-17,"['Boons Dr. F.A.A.', 'Gerrits Dr.L.M.']",Erasmus School of Social and Behavioural Sciences,Deze thesis onderzoekt het regionale commitment en de adaptiviteit van het systeem rondom spoor A27. Op basis van deze conclusies zijn aanbevelingen gegeven om het regionaal commitment en de adaptiviteit van het systeem rondom spoor A27 te verbeteren.,"['adaptiviteit', 'commitment', 'spoor A27']"
Blij met jezelf! Goed voor de toekomst?,"Strijk, Monique",2010-08-16,"['Braster Prof. Dr. J.F.A.', 'Dykstra Prof.Dr. P.A.']",Erasmus School of Social and Behavioural Sciences,,"['zelfwaardering', 'toekomstaspiraties', 'meritocratie', 'onderwijssociologie']"
Political trust and the role of social networking sites,"Albrecht, A.",2010-08-16,['Lohmeier. C.'],"Erasmus School of History, Culture and Communication",,"['media en journalistiek', 'Political Trust', 'Social Networking Sites']"
An explorative Study on the Online Communication Strategies Used by the European Union to Adress Youth,"Buduroi, F.",2010-08-15,['Ward dr. J.'],"Erasmus School of History, Culture and Communication",,['media en journalistiek']
Festivals and their impact on the host community,"Logothetidou, F.",2010-08-13,['Vermeylen dr. F.'],"Erasmus School of History, Culture and Communication","The main issue touched upon in this paper is the effect a single cultural
event can have on the host community. In this case, the event is a festival; the
International Film Festival of Thessaloniki. The goal is to measure the impact of the
Festival on the city. More specifically, the goal is to see what kind of impact the
Festival has on the economic, the cultural and the social life of the city. In order to
achieve that, the empirical part of the paper will deal with the analysis of data
concerning the number of ticket sales and the number of visitors of the Festival, as
well as data on other touristic indicators, such as the hotel occupancy rates, the
museums admissions and the foreigners’ arrivals in the city. Other than the empirical
part, the theoretical framework of the paper will serve as a basis for the data analysis.
The main issues discussed at the theoretical part are the relation between the city and
culture, urban economics and economic impact studies, cultural tourism and its
benefits or not for a city and, in the end, a brief overview of the festivals as a single
cultural event that can attract tourists to a city and generate income. The important
about the theoretical framework is that the issues discussed are addressed in a
sequence going from generic to specific. This allows to the reader a better
understanding and a better introduction to the data analysis. Additionally, the
background information on the city of Thessaloniki and the Festival itself are given as
a point of reference for the better understanding of the reader.","['Cultural Economics', 'Cultural Entrepeneurship', 'cultural tourism', '', 'Festival', 'economic impact studies']"
"The paradoxical situation of museums in the ""New Economy""","Imminga, M.",2010-08-13,['Klamer prof.dr. A.'],"Erasmus School of History, Culture and Communication","the purpose of my study is to develop a better understanding of the paradoxical situation museums are operating in. On the one hand museums are sheltered from the broader market by government policies in order for them to stay focused on the core of the organization, which is the generation of public goods. The problem however is that, as an organization on the other hand, they exist in a free market economy and are expected to compete with other businesses in a supply and demand framework. Various organizations are struggling in how to adapt to the new economy and changing their culture. For this reason it is interesting to take a closer look at ‘Beeld en Geluid’. From the perspective of professionalization it seems that this organization is more developed and ahead of other cultural organizations. It appears that ‘Beeld en Geluid’ is very aware of what the public demands and how to approach them, but is this also the case if we take a closer look? How are museums operating in the paradoxical situation of the new economy? And could we see ‘Beeld en Geluid’ as the museum of the future?","['Cultural Economics', 'Cultural Entrepeneurship', 'new economy', 'future of museums', 'Beeld en Geluid']"
Trust in Peace Journalism,"Barzescu, T.",2010-08-12,['Lohmeier C.'],"Erasmus School of History, Culture and Communication","This thesis examines the issue of trust in the news media in relation to the rather newly-promoted concept and mean of conflict reporting, Peace Journalism (PJ). The guiding question of the study is how PJ standards could establish and maintain trust, particularly for newspaper readers.
Trust has been acknowledged across academic fields as an important factor of social capital, and therefore a vital force for functional societies. In recent years, a decline in trust has been noticed at more than one societal level. The news media, perceived as a ‘guardian of trust’, is both affected and partly blamed for this erosion of trust.
Within this context, Peace Journalism, a concept pioneered by Johan Galtung, founder of the discipline of peace and conflict studies, is being developed by scholars and journalists as a mean of reporting conflict that would ultimately contribute to installing and peace. This goal is potentially achieved by directing the stories from the focus on the violence and the tensions between two opposing sides, a characteristic of ‘mainstream’ War Journalism, towards a multiparty, solution-oriented reporting. The journalistic standards suggested by PJ raise some controversy as they are considered to neglect issues of objectivity and textual constraints of conflict reporting, while also overestimating the media’s role in insurgencies.
This research aims to discuss the feasibility of PJ’s standards, by considering the relationship of trust that PJ could establish and maintain for audiences. In order to address this relationship, the study used a mixed method. Building upon a previous model used by Lee and Maslog (2005), content analysis of the WJ/PJ indicators present in newspaper articles was applied to the coverage of the Moldovan anti-communist protests in April 2009. The sample consisted of 70 newspaper articles from 7 local and international publications. The quantitative research was added critical discourse analysis, for a more thorough discussion of how WJ/PJ indicators are present in the news, features, and opinion articles. Each publication’s coverage was then discussed in terms of the multidimensional scale of trust in the news media developed and validated by Kohring and Matthes (2007). Finally, interviews were conducted with PJ promoters in order to round up the argument towards a conclusion.
Results have shown that PJ’s fully rejecting established conflict reporting is not realistic. The WJ frame was found dominant within the coverage, with zero-sum reporting as the most salient indicator. PJ’s most common indicator was the avoidance of demonizing language. Factors of trust have been found to differ depending on the publication, and its audience.
Established journalistic standards are to be understood and taken into account as PJ needs to be implemented gradually within media training and practice. Recommendations are made regarding a continuation of the academic debate, as well as on further relevant research, which could consider the audiences or the overall public opinion within the discussion. In time, Peace Journalism might constitute a solution to the decline in trust.","['media en journalistiek', 'trust', 'social capital', 'erosion of trust', 'media credibility', '']"
"De wortel, de stok en de preek – arbeidsparticipatie van oudere werknemers","Bijl, Vincent de",2010-08-12,"['Paridon Prof.Dr. C.W.A.M.', 'Fenger D. H.J.M.']",Erasmus School of Social and Behavioural Sciences,"In dit onderzoek werd onderzocht welke mogelijkheden het kabinet heeft om de arbeidsparticipatie van oudere werknemers te doen toenemen. Dit is nodig om de overheidsfinanciën op de korte en lange termijn houdbaar te houden. Het onderzoek bestaat uit een uitgebreide analyse van demografische ontwikkelingen (oorzaken van vergrijzing) en gevolgen voor de overheidsfinanciën. In de empirische analyse is op basis van internationale literatuur geanalyseerd is wat maatregelen zijn die elders of eerder effect hebben gehad. De belangrijkste conclusies: 1) er is nog weinig bekend over effectieve maatregelen omdat bestaande evaluaties methodologisch gebrekkig zijn, 2) maatregelen waarvoor een plausibel effect is waargenomen bestaan uit een dwingend perspectief (eerder stoppen onmogelijk maken), een wenkend perspectief (langer doorwerken lonend maken) en een overtuigend perspectief (langer doorwerken “normaal” maken) en 3) er is geen panacee: maatregelen dienen gecombineerd en op een adequaat schaalniveau te worden ingezet, afhankelijk van specifieke context.","['arbeidsparticipatie', 'vergrijzing', 'AOW', 'obsoletie', 'oudere werknemers', 'werknemers']"
Samen werken aan een veilige leefomgeving.,"Stehouwer, Frank",2010-08-12,"['Marks Dr.P.K.', 'Sluis Dr. A.van']",Erasmus School of Social and Behavioural Sciences,,"['sturing', 'regie', 'samenwerking', 'veiligheid', 'woningcorporaties']"
Inhoud geven aan maatschappelijke verankering,"Schee, Krista van der
     and 
    
  


Turnhout, Desiree van",2010-08-12,"['Daemen Dr. H.H.F.M.', 'Beukenholdt Dr. M.A.']",Erasmus School of Social and Behavioural Sciences,,"['primair onderwijs', 'maatschappelijke verankering', 'Meervoudige publieke verantwoording']"
