title,author,date,supervisor,faculty,abstract,keywords
"Irrigation policies in Cayambe, Ecuador before and after 2007","Martínez Nuñez, María del Mar",2016-12-16,['Arsel Murat'],International Institute of Social Studies,"The differences between neoliberalism and post-neoliberalism have been debated on several levels: from the recognition of the terms to specific applied policies. The present document examines the differences between these two
periods in terms of water politics, using the case of an Andean region in Ecuador (Cayambe and Tabacundo). This region has a history of social struggles over water access and distribution, and there is competing needs for the use of water between flower farms and indigenous communities.
Through the examination of the implemented water politics, it’s argued that there is a dichotomy between the normative and the day-by-day politics. Normatively the differences on water politics in post-neoliberalism marks a turning point, engaging with a different development paradigm, assuming new priorities on water distribution and recognizing community water management.
While the applied politics and plans show a greater state control on water management; it also results in the marginalization of communities participation in decision-making power through the establishment of a -state wide- hierarchy on water management structure in the rural areas. Also, the implementation of new infrastructure for irrigation unbundles pre-established social relations on a community water management that surged as a protest of neoliberal water policies.","['Water', 'water management', 'neoliberalism', 'post-neoliberalism', 'community water management', 'Andean region', 'Ecuador', 'irrigation canal']"
“Land for whoever works it” :  Participation and cleavages in rural collective action – A study of the occupation of ‘Somonte’,"Lozano Cuervo, Renan Alejandro Salvador",2016-12-16,,International Institute of Social Studies,"In the context of contemporary agrarian and new social movement studies, the post-modernist approaches of framing processes seeks to explain how participation in said organization is achieved through constructed meanings, interests and values. However, a class-based analysis that considers class-consciousness and collective agency, reveals that while framing processes
can help explain mass participation to an extent, by itself it leaves aside important socioeconomic and socio-political considerations of that make up class-based movements like the
SAT (Sindicato Andaluz de Trabajadores) (Andalusian Workers’ Union). The present paper examines how through a specific grounded framing processes, class-consciousness is constructed and influenced in the land occupation campaign of Somonte, in the province of Córdoba, Andalusia.","['collective action', 'class', 'class-consciousness', 'class struggle', 'framing processes', 'new social movement']"
"The puzzle in service delivery through public-private partnership in Nigeria : The case Of household solid waste management in Lafia, Nasarawa State","Bassey, Oten Ita",2016-12-16,['Arsel Murat'],International Institute of Social Studies,"Public-private partnership (PPP) is a common development model promoted by the World Bank and other international organizations as what can solve the problem of service provision in diverse sector of the economy. The management of solid waste has been marked with economic crises and the increasing flow of waste drives policy makers in Lafia to adopt PPP. The adoption of PPP has transformed the state institution and changed the mode
of governance. The designing and implementation has created different
outcome for different classes of citizens, obscured with cultural practices that is not embrace by the state. However, the various practices, human intentions, the resistance in the nature of waste and the commodification of waste by the
state has influence the efficiency that is promoted with PPP. Besides, the
environmental change that is produced from the mode of regulation by the state has created a clean environment for the wealthy while intensifying the indiscriminate disposal in poor neighbourhood. The role of the state in marketization of solid waste has led to contradictions, inequality and has limited the sustainability of household solid waste management in Lafia.","['public-private partnership', 'regulation', 'household solid waste', 'sustainability', 'inequality', 'environment', 'materiality']"
"Social sculpture as a driver for social cohesion.
How is this principle understood in relation to creative practices
and the glocal cultural policies in Mexico City?","Moro, M. Belén",2016-12-16,['Huijsmans Roy'],International Institute of Social Studies,"This research is a debate about how social sculpture is being grounded through creative
strategies tackling diverse social problems in Mexico City. This is exposed through a set
of social-artistic practices and thoughts of a group of cultural agents working at the
community level. Along with the discussion is a critical analysis of the local translation
of global discourses about culture and development conceptualized mainly in the
Agenda 21 for Culture. Also the expanded concepts of arts and social sculpture,
fostered by the artist Joseph Beuys in the 1970s, are un-packed and brought to the field
of development studies as a drivers for social cohesion. The triangulation between
practices, concepts and a reflexive interpretation is understood a way of doing
development (Escobar 2007). As a methodology it places this research in the poststructural
margins (Strega 2005) where a counter-hegemonic knowledge may emerge.
The open debate proposed along this paper is about rooting creativity and reflecting on
the culture of development.","['Social Sculpture', 'Art', 'Culture', 'Joseph Beuys', 'Creative Strategies', 'Autonomy', 'Self-determination', 'Social Cohesion', 'Cultural Policies', 'Community', 'Glocal', 'Local', 'Green Book', 'Agenda 21', 'Sustainable Development', 'Post-development', 'Civil Society', 'Cultural Agents', 'Mexico City']"
Collection and disposal of solid Waste by private companies in Ghana : A case of Zoomlion Ghana Limited in the Sunyani municipality,"Afia Twenenboah Kodua, Oppong",2016-12-16,['Berner Erhard'],International Institute of Social Studies,"Solid waste collection and disposal poses a serious developmental challenge to many governments in developing countries of which Ghana is no exception. In a concerted effort to tackle this challenge has necessitated the involvement of the private sector to partner with governments.
It is imperative to state that the involvement of the private sector has not seen any drastic improvements in the management of solid wastes. An assessment of Zoomlion Company, a private solid waste management company in the Sunyani Municipality in the Brong Ahafo Region of Ghana has amply testified to this phenomenon. This study was conducted with a sample size of 76, consisting of 40 residents from non-residential areas, 30 from residential areas and 6 officials selected from both the Municipal Assembly
and Zoomlion Company. A mixed method research design involving questionnaire, interview and observation was used in the data collection. The research revealed that sole-sourcing does not promote effectiveness and efficiency in any developmental agenda such as solid waste management. This is due to the fact that the selection of the Zoomlion Company was not done through any rigorous competitive bidding. It was revealed that the collection and disposal practices in the Sunyani Municipality was far from being appropriate due to certain inappropriate collection and disposal practices such as insufficient human and materials resources, people’s attitude towards sanitation practices and the sanitation workers, and lack of knowledge or education on waste management as a whole. In a bid to ensure practical improvement
in solid waste management in solid waste management in the Sunyani municipality, the study has recommended that the Assembly should award contracts with due recourse to the Public Procurement Act (Act 914) of 2016.
Finally, the Assembly should, among other measures expedite actions on intensifying regular supervision and periodic public education on solid waste management in order to ensure effectiveness and efficiency for a better health for the residents.","['private companies', 'solid waste', 'Zoomlion Ghana Limited', 'public private partnership', 'private sector']"
Euthanasia as a case of judicial entrepreneurship in India? Analysing the role of the Supreme Court in the policy process of euthanasia,"Pothula, Aishwarya",2016-12-16,['Tankha Sunil'],International Institute of Social Studies,"Euthanasia is a non-political issue in India. It does not receive adequate political attention necessary to arrive at policy solutions. This paper – the first of its kind – explores the role of the Supreme Court of India in euthanasia’s policy making process. Why the Supreme Court of India? In 2011, it established passive euthanasia as a temporary law in India. This 2011 judgement in the Aruna Shanbaug case is the first and the only instance that brought euthanasia some public attention. This judgement therefore is the empirical focus of this paper.
The paper employs two techniques of discourse analysis to study the Court’s system of argumentation. The two methods, Text Analysis using Gasper’s Analysis Table and Frame Analysis – are complemented by other discourse techniques of metaphor analysis and lexical analysis. The results of this paper are three-fold: 1) The Court dismissed the petitioner’s request for euthanasia on weak grounds, thereby setting no precedent for the ‘historic’ procedure it put in place. In other words, it left the decision open for the Parliament to decide. Hence, the judgment cannot be considered judicial overreach. 2) It defines euthanasia in a way that is reflective of broader societal themes. It combines this with its accepted authoritative and protective stance to find an intermediate position to balance the possible opposition to its role in the process and what it (perhaps) perceives to be an optimal solution. 3) It softens up the policy community (including the public) to the idea of passive euthanasia in India leading it towards a Parliamentarian legislation. It achieves this by shaping prevalent principles, provisions and worldviews through a remarkable use of its legal instruments. This paper refers to this unconventional role of the SC as ‘judicial entrepreneur-ship’ which is also the first scholarly contribution towards research on euthanasia as a policy issue in India.","['argumentation', 'Aruna Ramachandra Shanbaug', 'discourse analysis', 'euthanasia', 'India', 'judicial entrepreneurship', 'non-political issue', 'policy agenda', 'policy-making process', 'Supreme Court of India']"
Gender Stereotypes in technology use: a content analysis of Mr. Robot,N. El Sabagh,2016-12-08,"['A.F.M. Krijnen', 'M.N.M. Verboord']","Erasmus School of History, Culture and Communication","GENDER STEREOTYPES IN TECHNOLOGY USE:
A CONTENT ANALYSIS OF Mr. ROBOT

ABSTRACT

The present research further develops the existing body of knowledge on the representation of gender stereotypes in the usage of technology in media. Gender and technology use are primarily studied in advertising. However, television fictions forms the largest share of audience’s media diets. Therefore, the current study analysed how gender stereotypes with regard to technology are portrayed on television, focusing on the cyber-TV drama Mr. Robot. This program is of interest as its main theme is technology and in particular hacker culture. This study tests the hypotheses gathered from previous research about gender stereotypes in the usage of technology. The quantitative content analysis of Mr. Robot showed that gender stereotypes in relation to the usage of communicational technological devices such as computer, tablets and mobile phones are present. Exploring these results through the lenses of the social role theory (Eagly, 1987) led to the conclusion that, when it comes to using communicational technological devices, men and women are represented quite different. Male characters are portrayed to able to use technology with high skills, for instance hacking, whereas female characters are represented in general as less capable of using advanced CTDs and only a small minority of them are able to carry out difficult tasks with technology. Overall, in this contemporary television drama, men are represented as tech savvy compared to women, suggesting a male-dominated view of the usage of technology.","['Usage of technology', 'social role theory', 'content analysis', 'gender differences', 'gender stereotypes']"
"La fiesta del pueblo: Reflections on migration, rituals and identities in a Mexican migrant community.","Soberanis Díaz, Pamela",2016-12-06,['Biekart Kees'],International Institute of Social Studies,"This paper analyzes the dynamics of visiting migrants and the local community, based on their daily interaction, through rituals, in their hometown of Cenotillo during the festivity of Patron Saint Clare of Assisi. The fiesta of Santa Clara de Asis is celebrated every year, the second week of August. Yucatan, Mexico has particular communities with high index of migrant population who live in the United States and regularly try to visit home. Through formal and informal interviews and conversations and observations, this study analyze the impact of rituals on both, local people and migrants through which women and men produce and reproduce feelings of home, belonging and cultural identity. Although the study is mainly interested in the adjustment of the peoples' identities based on the phenomenon of migration during the festivity, discussions and interviews will not be confined to return migrants only, it will include a wide range of female and male from different backgrounds, who have returned especially for the patron saint festivity of Cenotillo and those people who are currently living in the community. This study explores women and men migrants’ self-defined identities, who visit their hometown and compare to those people who stay and adapt their lives during those days of celebration. Questions about ‘belonging’ and ‘home’ will be focused at as a way of understanding the rituals and identity formation among such populations.","['migration', 'Yucatan', 'Cenotillo', 'fiesta', 'rituals', 'identities', 'religion', 'community']"
A Sartrian view on nudging,Martijn van de Weerdt,2016-12-06,,Erasmus School of Philosophy,,
De juiste aanvliegroute,"Hodde, A.",2016-12-02,"['prof.dr.ing. G.R. Teisman', 'prof.dr. M.W. van Buuren']",Erasmus School of Social and Behavioural Sciences,,"['Public Affairs', 'Public Affairs Management', 'Schiphol Group']"
