title,author,date,supervisor,faculty,abstract,keywords
Rise of Informalisation in Global Capitalism,"Laha, Somjita",2008,['Arsel Murat'],International Institute of Social Studies,"This is an exploratory paper which deals with the process of informalisation in the
context of global capitalism. By revealing the interconnections and dependency between
the formal and the informal economy, it argues that the latter is an outcome of the
propensity of the former to escape regulations. To this end, the formal capitalist economy
encourages the emergence of the informal economy and feeds its creation to materialise
its profit objectives. Through informalisation, the burden of environmentally
unsustainable activities is often passed on to the informal economy. This raises crucial
questions regarding the ability of environmental policies (predominantly the paradigm of
Sustainable Development) to suitably address the environmental implications of global
capitalism.","['informalisation', 'capitalism', 'sustainable development', 'environment', 'artisanal mining']"
Transformative Participation in Venezuela,"Salazar, Juan Carlos Triviño",2008,['Biekart Kees'],International Institute of Social Studies,"Communal Councils in Venezuela are the last experiment of participatory
democracy that the government has created in order to achieve the promised
transformation of the revolutionary process started in 1998. Throughout the
country thousands of these self-governing units at community level have been
formed with the goal of addressing the people's most urgent needs. The
creation of a new political elite under President Hugo Chavez Frias, who has
been ruling the country since 1998, has created serious social cleavages which
have been conducive of high levels of political confrontation. The success of
the model of communal councils in the communities depends in part on the
maturity of the government to isolate this experiment of popular participation
from the political antagonisms lived in the country. This research has explored
in the field the reality of this situation and how promising these councils are in
the task of achieving a true transformative participation.","['Venezuela', 'Communal Councils', 'Hugo Chavez', 'Transformative Participation', 'Popular Power', 'Invited Spaces']"
WHEN DEMOCRACY IS NOT WHAT ‘THE MASSES’ WANT,"SALAZAR, TATIANA TICONA",2008,['Icaza Rosalba'],International Institute of Social Studies,"higher public legitimacy level than a democratic one. It used the Fujimori and Toledo regimes as
case studies
The methodology involved applying (neo)populism, democracy, democratization, and ‘hybrid’
regimes theory to understand the mechanisms that allowed Fujimori to legitimize his regime, and
that (supposedly) prevented Toledo from doing so.
The analysis found that a combination of factors were favorable for Fujimori and working
against Toledo. While Toledo’s luxurious lifestyle alienated him form the masses, he was unable
to concentrate the amount of power that Fujimori did. Hence, the Fujimori regime could approve
‘popular’ reforms that increased public support, which could then be used to gain more power.
This ‘vicious cycle of legitimization’ that kept the Fujimori regime in power was unavailable to
Toledo, who never enjoyed the sufficient popularity to get it started.
Aside from the presence of populist elements and the use of ‘hybrid’ regimes, there were other
factors affecting the public legitimacy levels of the regimes. These are: the role of crises, public
weariness with neoliberalism, the international community, the Fujimori legacy, and Peruvian
civic culture. While Fujimori enjoyed a favorable context for a populist, the opposite was true for
Toledo. Arguably, then, his neopopulist tactic was destined to fail.
The study concludes by outlines its contribution and areas for further research.",
INSTITUTIONALIZATION OF MIGRATION,"Sharma, Amrita",2008,['Knio Karim'],International Institute of Social Studies,,
California’s Pavley Law on Vehicle Emissions and State Climate Initiatives,"Short, David",2008,['Arsel Murat'],International Institute of Social Studies,"As an important player in global affairs, any political response to
climate change will need to involve the United States. After withdrawal from
the Kyoto Protocol, the United States government further constrained climate
initiatives by first failing to recognize carbon dioxide under the Clean Air Act
(CAA) and then denying California the CAA waiver exemption to implement
their Pavley vehicle emission standard. This paper then seeks to explore the
space for state climate initiatives in the context of US environmental
federalism. While scholars have looked at specific aspects within the debate
such as the legality of the CAA, there isn’t any work that assesses
comprehensively the entire picture by raising theoretical questions and
answering them with empirical evidence from the Californian experience. This
papers attempts to fill that void in existing literature. The research concludes
that California is in fact unravelling trends of (traditional) environmental
federalism and by virtue of the exclusive CAA waiver is furthermore reversing
federalism by setting its own policy that other states are choosing to
implement.","['US climate initiatives', 'vehicle emissions regulation', 'environmental federalism', 'state-federal relations', 'federal pre-emption', 'climate litigation', 'judicialization', 'adaptive environmental federalism']"
Appropriate Distributed Generation Technology for Electrifying the Village,"Kim, Namsil",2008,['Pellegrini Lorenzo'],International Institute of Social Studies,"This paper examines the condition under which distributed generation
(DG) technology make a genuine contribution to electrify the remote
village. To study the circumstance for DG technology and village
electrification, three indicators – affordability, institutional capacity
and replicability - are drawn with ‘appropriate technology’.
With the role of energy and electricity to make progress for human, the
urgency and justification for village electrification with DG technology is
highlighted. In the off-grid remote villages, electrification with
distributed generation (DG) with renewable energy technology would be
viable option. To examine the appropriateness of DG technology in the
village context, three village electrification cases are chosen from Nepal,
India and Sri Lanka. In each cases, DG with the solar PV, biomass gasifier
and hybrid solar & wind technology are studied to find answer those
technologies are appropriate in the village context with three indicators.
This paper concludes that the appropriate technology in the
circumstances is determined by the ability to afford the technology, the
work of institution and resources to replicate the technology system, or
integrated effect of three indicators. To make DG technology for village
electrification more appropriate, the constant monitoring and evaluation is
necessary in the flexible circumstances.",
PRIVATE ENERGY INDUSTRY & CLIMATE CHANGE MITIGATION,"MEJIA, DANIEL A. ABREU",2008,['Icaza Rosalba'],International Institute of Social Studies,"This research presents an insight of the problematic relation between the
leading oil private industry and climate change mitigation. An analysis of these
private firms’ energy forecasts is carried in reference with the internationally
agreed knowledge-based criteria for preventing the consequences of climate
change, and with alternative scenarios elaborated by one international agency
and a major NGO.
At its core this paper argues that energy and climate change scenarios from
the leading private energy firms are more than technical forecasting exercises.
They also have a political dimension that aims at influencing the public debate
to support in the foreseeable future an energy system dependent on fossil
fuels, in spite of potential negative environmental consequences.
This argument will be approached through a political economy perspective
on global environmental governance. And a neo-Gramscian analytical
framework will be applied, privileging the discursive level dimension in the
analysis of the climate change mitigation position of the leading private firms
in the energy sector.","['Climate change mitigation', 'Energy scenarios', 'Neo-Gramscian perspective', 'Critical Discourse Analysis']"
The Myth of ‘Environmentally Sound’ Management of E-waste,Hiromi Inagaki,2008,['Komives Kristin'],International Institute of Social Studies,"The growing volumes of obsolete electronic product, or e-waste, have posed
serious concerns on landfill spaces and the urgent need to recycling hazardous
components in both developed and developing countries. The illegal shipment
of e-waste from developed countries to developing countries has been often
reported. In India, the growing stream of e-waste imported and domestically
disposed, particularly computer waste has aggregated the environmental health
problems at the bottom part of the informal recycling chain, while generating
economic benefit and clean environment for the particular group of people.
Hence the major focus of my study is to understand the structure of this
disproportionate distribution of economic benefits and environmental health
costs in the computer recycling chain in India. This paper initially characterizes
the generation of and the flow of computer waste in and between developed
and developing countries and examines specifically the flow into the formal
and informal recycling chains in India. Then the paper analyzes the distribution
of economic benefits and environmental health costs in the informal recycling
chain in Delhi with a focus on power relations among socially and
economically differentiated actors. Finally the paper attempts to investigate
policy implementation on the uneven distribution of benefits and costs.",
The Land is not Ours,"Mjanger, Guro",2008,['Kurian Rachel'],International Institute of Social Studies,"Over the centuries indigenous peoples have developed a profound
relationship with their lands and territories. Despite this fact, they are still
looking for a place for themselves (Gilbert 2006: xiii). Most indigenous
communities have land-based economies, and are therefore dependent on
having access to land in order to survive. This paper is concerned with the
indigenous peoples called the Jumma, living in the Chittagong Hill Tracts in
Bangladesh. The Jumma have experienced to be alienated from their land
through centuries, and are until this day struggling to get recognition of their
right to access and use their ancestral land. Successive governments have tried
their best to assimilate the Jumma people into the majoritarian Bengali society
without succeeding. As a result, failed policies has led to civil war, killing
thousands of people and creating a large number of refugees and internally
displaced. In 1997 a major turn of event occurred when the government of
Bangladesh and the JSS –a political Jumma party signed a Peace Accord. This
was seen as a positive sign on both sides to end the bloodshed. However, the
peace agreement turned out to be a series of promises not kept, creating new
tensions in the area. The main concern for the Jumma throughout the years
has been to get recognition of their status as a distinct people with their own
customs and traditions, including the right to collective ownership and use of
land. This right has constantly been challenged, and is until this day not
protected through any legal remedies.","['Land rights', 'collective rights', 'indigenous people', 'Jumma', 'Chittagong Hill Tracts']"
Corruption: Malfeasance or (dominant) Modus Operandus,"Nemane, Vivek",2008,['Witt Joop De'],International Institute of Social Studies,,
