title,author,date,supervisor,faculty,abstract,keywords
StartUpLink,"Hazeborg, B.",2018-08-29,"['dr. W. H. Voorberg', 'prof.dr. M.W. van Buuren']",Erasmus School of Social and Behavioural Sciences,,"['startups', 'boundary', 'spanner', 'ontwerpgerichte onderzoeksmethode']"
Refugee Crisis and Research-Policy Nexus,"Kohutova, M.",2018-08-29,"['dr. P.W.A. Scholten', 'dr. A. Pisarevskaya']",Erasmus School of Social and Behavioural Sciences,,
A Humble Extension into Space and Time,"Fung, M.",2018-08-29,"['dr. R.F.I. Moody', 'B. Broekema MSc']",Erasmus School of Social and Behavioural Sciences,,
Strength in Unity,"Geest, L. van",2018-08-29,"['M.M.A.C. van Ostaijen MSc', 'dr. P.W.A. Scholten']",Erasmus School of Social and Behavioural Sciences,,
Knowledge Utilization in Contested Situations,"Horvat, M.",2018-08-29,"['dr. P.W.A. Scholten', 'N. Levy MSc.']",Erasmus School of Social and Behavioural Sciences,,
Why is Russia's Arctic policy failing? A case study,"Simonov, A.",2018-08-24,"['dr. M. Onderco', 'dr. B.R.J. George']",Erasmus School of Social and Behavioural Sciences,,
Ouder worden is eigenlijk best vernieuwend,"Elsen, J. van den",2018-08-23,"['dr. B. Vermeeren', 'dr. V.M.F. Homburg']",Erasmus School of Social and Behavioural Sciences,,"['leeftijd', 'duurzame inzetbaarheid', 'vitaliteit']"
The impact of populist radical right parties on national immigration and integration policies in Europe,"Beijsterveldt, A. van",2018-08-23,"['prof.dr. M. Haverland', 'dr. A.T. Zhelyazkova']",Erasmus School of Social and Behavioural Sciences,,
The EU lobby of the Dutch provinces and their ‘House of the Dutch Provinces’ regions,"Sisto, D.",2018-08-23,"['dr. A.T. Zhelyazkova', 'dr. K.H. Stapelbroek']",Erasmus School of Social and Behavioural Sciences,,
The impact of corruption on economic growth in developing countries,"Agale-Kolgo, D.",2018-08-23,"['prof.dr. A.G. Dijkstra', 'dr. M. Onderco']",Erasmus School of Social and Behavioural Sciences,,
Zelfsturende teams? stimulansen en obstakels,"Braak, L. ter",2018-08-23,"['A. van Zijl MSc', 'prof.dr. A.J. Steijn']",Erasmus School of Social and Behavioural Sciences,,"['zelfsturende teams', 'gemeentes', 'teamautonomie', 'mate van zelfsturing', 'teamkenmerken']"
European Union Democracy Promotion through Trade: Examining South Africa and Mexico.,"Figiaconi, F.",2018-08-23,"['prof.dr. A.G. Dijkstra', 'dr. M. Onderco']",Erasmus School of Social and Behavioural Sciences,,
Flying the Flag in Brussels,"Hasenohr, S.",2018-08-23,"['dr. A.T. Zhelyazkova', 'dr. M. Onderco']",Erasmus School of Social and Behavioural Sciences,,
Sustaining the Peace?,"Ramos, D.",2018-08-23,"['dr. K.H. Stapelbroek', 'prof.dr. A.G. Dijkstra']",Erasmus School of Social and Behavioural Sciences,,
Strategic Communication in High-Technology Industry - How storytelling with a strategic communication approach can be applied in a high-technology environment?,Ilektra Chatzopoulou,2018-08-20,['Noemi Mena Montes'],"Erasmus School of History, Culture and Communication","This study reports the results of a qualitative survey of 11 high-technology firms on the practices of corporate communication, especially the links between strategic communication, storytelling and branding, all of them applied in the turbulent environment of high-technology industry The overarching research question addressed in this paper is “Strategic communication is high-technology industry: How storytelling with a strategic communication approach can be applied in a high-technology environment? ”.
High-technology firms operate in competitive environments of constant changes (Brown, 1998; Kelly, 1985). They are characterised by eminently skilled employees but also high turn-over rates (Sprague, 2012). Not to mention that the level of complexity of their products and services is usually high, and challenges their possibilities for commercial success (Kelly, 1985; Mohr, Sengupta & Slater. 2010; Rogers & Larson, 1984;). On the other hand, the last decade strategic communication has become the watchword in every organization (Langer & Thorup, 2006). In line with this every organization is awash in stories (Tyler, 2007). The strategic application of storytelling aims to decrease corporate risks and complexities both inside and outside the organization (Argenti, Howell & Beck, 2005; Langer & Thorup, 2006). Therefore, the purpose of this paper is to explore the applicability of storytelling in high-technology environments, through a strategic communication perspective.
By conducting 11 in-dept interviews with communication practitioners from high-technology organizations this paper accentuates the strategic communication imperative within high-technology environments. Storytelling also receives a high status in high-technology organizations for multiple reasons. The most important reasons are linked to familiarization and humanization of technology. The hot button issue of gender diversity in high-technology industry is also addressed. Finally, interviewees agree on the building of a strong brand for employer branding purposes.","['media', 'business', 'storytelling', 'branding', 'strategic communication', 'brand awareness', 'technology', 'high-technology company']"
"Strategic Communication in High-Technology Industry - 
How storytelling with a strategic communication approach can be applied in a high-technology environment? - 
A Qualitative Study",Ilektra Chatzopoulou,2018-08-20,['Noemi Mena Montes'],"Erasmus School of History, Culture and Communication","This study reports the results of a qualitative survey of 11 high-technology firms on the practices of corporate communication, especially the links between strategic communication, storytelling and branding, all of them applied in the turbulent environment of high-technology industry The overarching research question addressed in this paper is “Strategic communication is high-technology industry: How storytelling with a strategic communication approach can be applied in a high-technology environment? ”.
High-technology firms operate in competitive environments of constant changes (Brown, 1998; Kelly, 1985). They are characterised by eminently skilled employees but also high turn-over rates (Sprague, 2012). Not to mention that the level of complexity of their products and services is usually high, and challenges their possibilities for commercial success (Kelly, 1985; Mohr, Sengupta & Slater. 2010; Rogers & Larson, 1984;). On the other hand, the last decade strategic communication has become the watchword in every organization (Langer & Thorup, 2006). In line with this every organization is awash in stories (Tyler, 2007). The strategic application of storytelling aims to decrease corporate risks and complexities both inside and outside the organization (Argenti, Howell & Beck, 2005; Langer & Thorup, 2006). Therefore, the purpose of this paper is to explore the applicability of storytelling in high-technology environments, through a strategic communication perspective.
By conducting 11 in-dept interviews with communication practitioners from high-technology organizations this paper accentuates the strategic communication imperative within high-technology environments. Storytelling also receives a high status in high-technology organizations for multiple reasons. The most important reasons are linked to familiarization and humanization of technology. The hot button issue of gender diversity in high-technology industry is also addressed. Finally, interviewees agree on the building of a strong brand for employer branding purposes.","['media', 'business', 'storytelling', 'strategic communication', 'branding', 'brand awareness', 'technology', 'high-technology company']"
"De Afrikaanse ander? - 
Een onderzoek naar de representatie van het Afrikaanse continent en haar bewoners in de Nederlandse geïllustreerde tijdschriften Panorama en De Spiegel, 1948-1968.",T. Badura,2018-08-14,['K. Willemse'],"Erasmus School of History, Culture and Communication","In deze thesis zijn twee Nederlandse geïllustreerde tijdschriften, Panorama en De Spiegel, onderzocht. Gekeken is naar de representatie van het Afrikaanse continent en haar bewoners gedurende de periode 1948 tot en met 1968.",
"Natural and Artificial Languages: how the phenomenology influences
our perception and how it can be normatively accounted for",V. Schuttevaar,2018-08-07,,Erasmus School of Philosophy,"Natural language and artificial languages (mathematic, logic, metalanguages) are categorically
different. Nevertheless, we attribute exactly those properties to natural language as those that
artificial languages actually have. The reason for this mis-attribution, is our experience and
perception of natural language. This paper elucidates these claims with Azzouni's work, and
subsequently provides normative guidelines for artificial languages that should help prevent
resulting errors.
Keywords: semantic perception, natural language, artificial language, phenomenological
influence, artificial language-norms, semantic experience",
"Het streven naar voortbestaan en welbevinden
is een universeel recht",H.A. Lopes Cardozo,2018-08-06,,Erasmus School of Philosophy,"De filosofie van Spinoza slaat een brug tussen ethiek en empirische
gedragswetenschappen, met als pijler zijn emotieleer. Spinoza's ethiek laat zien, dat
regels, plichten en protocollen opleggen die tegen de hartstochten van de mens ingaan,
niet zullen werken. In de tweede helft van de twintigste eeuw werd ethiek vooral een zaak
van redeneren en was er weinig oog voor de rol van emoties in de ethiek. De
neurobiologie en empirische gedragswetenschappen onthullen de lichamelijke basis van
ons redeneren en de rol die emoties spelen bij menselijk gedrag. Prominente
wetenschappers zien in de leer van Spinoza, die uitgaat van de onlosmakelijke
verwevenheid van lichaam en geest, een filosofisch raamwerk voor hun bevindingen. Ook
de meest recente tak van de emotieleer, het cognitivisme, verwijst voor haar 'gelijk' naar
de nieuwe wetenschappelijk bevindingen. Deze verhandeling toont aan dat waar
wetenschappers het belang van Spinoza's filosofie erkennen, moderne filosofen in hun
werk over ethiek rationaliteit en emoties dat ten onrechte nauwelijks of niet doen.",
