title,author,date,supervisor,faculty,abstract,keywords
"Dual-management in art museums - 
Towards an artistic and commercial balance",Teresa Cos Rebollo,2018-06-12,['T. Navarrete'],"Erasmus School of History, Culture and Communication","Art museums are complex cultural organizations in which a duality is always present, the artistic against the commercial vales. As a knowledge-based institution, the museum is expected to deliver a quality program while being economically sustainable. A way of tackling this conflict is by having a dual-management structure: an artistic director in charge of the knowledge-based tasks, and a business director responsible of the economic well-being of the organization (Reid & Karambayya, 2009). This managerial structure has rarely been analysed by scholars in the environment of an art museum, only in performance art organizations where this practiced is much more extended. This thesis aims (1) at exploring the dual-management structure in art museums, while assessing another duality found in managerial theory: managerial orientation, towards learning goals or towards performance goals (Paunova & Svejenova, 2016). And (2) to understand this theory’s contribution to the aforementioned art against commerce duality. This will be analysed by investigating directors and museums with dual-management structure in the Netherlands. The findings suggest that a deeper and more complex analysis should be done to these theories’ applications in museum directors and art museums in order to understand the implications between them.","['Cultural Economics', 'Cultural Entrepreneurship', 'Dual-management', 'Art museums', 'Art versus commerce', 'Managerial orientation', 'Learning', 'Performance']"
Europa Television: the Forgotten Channel,Saskia Cluistra,2018-06-12,['Hester C. Dibbits'],"Erasmus School of History, Culture and Communication","Armed with the slogan ‘From Europe, for Europe’, the first European television channel went to war against (commercial) American television in 1985. Satellite technology had made it possible for broadcasters to reach audiences beyond national borders. Afraid of losing their hold on their national audiences, European national broadcasters joined forces and founded ‘Europa Television’. Together they set out to bring high quality television to the European people, to counter commercial pulp. Despite the channel’s original optimism, it lost the battle after only thirteen months of broadcasting. Millions in funds were lost and the book on the channel was closed. Yet, over thirty years later, the dream of European television has not died. When the European Commission published ‘Strengthening European Identity through Education and Culture’ in November 2017, it had a special role in mind for television. The Commission believed a European television channel could bring Europeans together. With the likelihood of a revival of a European channel, this is a timely investigation into the little researched Europa Television project.
Europa Television was a European broadcasting initiative of the public broadcasters the ARD (Germany), NOS (the Netherlands), RAI (Italy), RTE (Ireland), RTP (Portugal) that aired from October 1st, 1985 until November 27th, 1986. The channel broadcasted from Hilversum, the Netherlands. This master thesis answers the question of how the channel’s identity was shaped through negotiations that helped build and break it. A special emphasis is placed on how the channel tried to create a European identity. Identity is considered as dynamic, the result of construction and as a negotiation between competing narratives of different actors and factors. In order to study these identity negotiations, Dutch newspaper articles, radio and television broadcasts, Europa Television records and, for the first time ever, Europa Television broadcasts were used.
As Europa Television came into being in the midst of the European Economic Communities’ (EEC) attempts at creating a European identity, other studies have emphasized the EEC’s role in the project. This thesis argues that claims of its heavy influence are exaggerated as the EEC had little impact on the project, notwithstanding friendly words of encouragement and a small one-time donation. Instead, it argues that the Dutch government played a crucial role in the channel’s birth and demise, a role which other authors have neglected to
4
acknowledge. Supporting of the channel with millions of guilders, the Dutch government played a fundamental part in the channel’s founding, yet their desire to protect the Dutch television system soon placed Europa Television in a difficult (financial) position.
This thesis shows that Europa Television lacked a clear identity. The channel’s vague, multi-interpretable policy plans lacked direction and caused confusion among staff. Europa Television was a European channel in name but had neither defined what it considered to be European television, nor who their European audience was. The channel tried to create a sense of European identity for its viewers by emphasising a common past and religion, as well as through informing viewers about differences between cultures in Europe. However, claims that describe the channel as propaganda do not correspondent with the results of the channel’s images analysis. Moreover, this analysis showed a mixed representation of positive and negative images on the European Economic Community and European cooperation. This thesis also shows that there was an irreconcilable divide within the Europa Television about the commercial nature of the channel. Some actors wished to reach a niche audience with high culture programming, while other actors wanted to reach larger audiences with more popular programmes. Its mission to fight Americanization was neglected by the channel as much of its programming was American.
Finally, the thesis argues that through Europa Television experienced many setbacks from external factors and actors, the channel was not ruined through negotiations, but doomed from the start due to its flawed set up.","['European television', 'European identity', 'identity negotiation', 'identity dynamics', 'organizational identity', 'Europa-TV', 'transnational television', 'Dutch broadcasting']"
Going to the Museum: A Quantitative Insight into Rotterdam Art Museum Visitors,Ada Maragno,2018-06-12,['Koen van Eijck'],"Erasmus School of History, Culture and Communication","This thesis revolves art museums’ visitors, their characteristics and relation with the specific museums they visit, as well as differences with non-visitors. The theoretical framework presented intends to give an overview on the development of museums approach to their visitors in terms of openness and inclusiveness. Indeed, museums have a reputation of elitism that is believed to have kept lower classes and marginalized groups away from them during history. However, in the last decades, an attempt has been made to attract larger audiences and increase inclusiveness. Marketing strategies have been implemented and museums have largely changed their approach, focusing on the visitor experience. However, relatively few is known about visitors and their characteristics. I also suggest the use of behavioral strategies like nudging and explain their potential usefulness for cultural policies and museums specifically.
Therefore, this thesis attempts to give an insight on visitors and non-visitors of art museums in Rotterdam, namely Museum Boijmans Van Beuningen, Kunsthal Rotterdam and Witte de Witte Center for Contemporary Art. Through quantitative analysis of a dataset on cultural participation provided by the Municipality of Rotterdam, profiles of visitors and non-visitors of the three museums and of a general “museum variable” are created through the analysis of their socio-demographic characteristics, personality traits and other leisure activities they carry out. Results reveals that Museum Boijmans Van Beuningen’s and general museums’ visitors reflect the expectation of being generally older, richer, white and more highly educated, while Kunsthal and WdW visitors are younger, and WdW visitors are also more ethnically diverse. It is showed that this WdW peculiarity might derive from its location and from lower entrance fees, while the characteristics of Kunsthal visitors might also derive from lower fees compared to Museum Boijmans Van Beuningen. Moreover, differences in visitor profiles might derive from the two museums images and “personalities” that are presented here through personal observations. The visitors’ and non-visitors’ profiles based on personality traits reveal that visitors present characteristics that might be explained through their higher level of cultural capital (they perceive themselves as more intelligent and more balanced, for instance). Because profiles of non-visitors correspond to that of less highly educated individuals who perceive themselves as less intelligent than visitors, in addition to being generally less highly educated, the use of nudging techniques are suggested to museum boards and policy makers that might be willing to enlarge their audience. These strategies are indeed suggested in cases where people might face challenging choices. Museum boards and policy makers that are willing to enlarge art museums’ audiences might therefore benefit from the results of this thesis.","['kunstwetenschappen', 'cultuurwetenschappen', 'Art museums', 'museum visitor and non-visitor', 'quantitative analysis', 'cultural capital', 'inclusiveness', 'Rotterdam']"
"Creativity as a tool for social integration - Case study on Les Grands Voisins, Paris",Joanna Haddad,2018-06-12,['Amanda Brandellero'],"Erasmus School of History, Culture and Communication","Creativity is a notion that has been addressed in academic literature as the formulation of a novel and useful idea. It is an individual capacity that can be more or less fostered by its collective environment: it is context-dependent. Following the industrial crisis of the early 1980s, and the rise of a service-based economy, creativity has been extensively used in policy making as a strategy for economic urban regeneration. This has led to the development of creative cities, in which creative-workers benefit from creativity’s economic potential, and non-creative workers are marginalized, relegated to the state of second-class citizens. In that sense, the creative city has brought new forms of social exclusion. More recently, the academic discourse on creative cities started acknowledging this problem and addressed creativity’s potential for social integration. In particular, creativity has been described as a tool for developing initiatives of social innovation. Cases of creative placemaking has been studied as using creativity to empower marginalized local communities: creativity became a way to develop resilient strategy for addressing a social change. The case of Les Grands Voisins, a creative place that combines shelter housing and creative industries, addresses the problem of social exclusion. In this context, my research aims at understanding the way that Les Grands Voisins’ creative workers perceive creativity as supporting the sheltered residents’ social integration. Hence, this research addresses the change of discourse amongst the creative class, by looking at how specific creative workers perceive creativity as a social tool. I lead a qualitative exploratory case-study and use triangulation of data collection methods, combining semi-guided interviews, on-site observations, and content analysis. The analysis of the data shows that Les Grands Voisins is a case of social innovation, in which creative workers give creativity a double dimension: collective, seeing the space as experimental and supportive of the residents’ participation in governance, and individual, as the development of creative practices with residents fosters their self-expression and empowers them. Meaning, creativity when used to answer a social need, supports the development of social dialog between segregated communities and allows social diversity. In that sense, creativity is perceived by creative workers at Les Grands Voisins as integrating the residents: it allows them to participate in the life of the community. Creative workers explain that this approach on social participation is not reflected in a broader urban context: in that sense, this research shows that creativity can represent a resilient tool for social integration, not anymore being the reason of social exclusion, but the solution to more social dialog between local communities.","['kunstwetenschappen', 'cultuurwetenschappen', 'creativity', 'creative workers', 'creative city', 'social intergration', 'social innovation']"
"The Commercial Art Gallery in the Instagram
Era - 
How do commercial art galleries in Amsterdam embed
Instagram as a digital tool in their daily business practice?",Giulia Terzitta,2018-06-12,['N. Komarova'],"Erasmus School of History, Culture and Communication","The contemporary era is characterized by a continuous flux of changes brought by the digital
revolution that is deeply affecting our lives. These radical changes in society have not left the art
market unchanged, as it is a direct product of this world we are living in. In particular the primary art
market, whose protagonists are the art galleries, has renewed its traditional approach by introducing
in their practice the use of social media. Among all the social media, Instagram stands out being
particularly suitable for the art because of its being solely iconic and visual. Hence, it permits
retailer’s businesses to display their products in an aesthetically appealing frame. Despite the
increasing attention that Instagram is obtaining from the art world, there still is a consistent lack in
the researches on the way in which the social media is actually employed by art galleries for
businesses purposes. That is why, this research focuses on investigating how commercial art galleries
in Amsterdam are including Instagram as a digital tool in their daily business practice. The
Amsterdam art market is peculiar for its being the center of the entire Dutch art market as well as for
its art dealers’ highly traditional way of managing their businesses. In this sense, it is expected that
Instagram’s potentialities as a social networking site could challenge the traditional way of operating
of the Amsterdam art galleries. Moreover, it will be looked at how and for which purposes these
galleries are including Instagram in their everyday activities. As results it has been underscored that
the main reason why Instagram has been capitalized by these art galleries is for promotional purposes
while it is not being described as a convenient platform for doing direct sales. Furthermore, the
inclusion of Instagram within the art galleries daily practice has opened new communicational and
relational opportunities worldwide that have challenged the traditional Amsterdam art galleries
reality. In conclusion it was possible to state that since the advent of Instagram within the Amsterdam
art galleries practice some pillars of their institutional practicalities have undergone changes while
some others have remained the same.","['kunstwetenschappen', 'cultuurwetenschappen', 'Instagram', 'social media', 'digitalization', 'commercial art gallery', 'Amsterdam art market']"
Building Stories in the Songs - Conversations With Blues Musicians in the Low Countries,Jo Alexander,2018-06-12,['Stijn Reijnders'],"Erasmus School of History, Culture and Communication","This qualitative and ethnographically-informed research investigates the presence, perception, and use of music in the lives of blues musicians in the Netherlands. Unstructured interviews were held with blues musicians from different levels and stages of musical careers and data were interpreted through a combination narrative and thematic analysis. Findings reveal a composite ""backbone"" narrative with three main phases, each with specific, dominant thematic content. The identification of these phases, or narrative building blocks, makes an empirical contribution to the narrative research tradition by offering a model that connects narratives in this way without categorizing them. Additionally, the study focuses on a niche music community that is often overlooked in academia but forms a high potential group for the study of music, narrative, and identity work in combination; a focus on this type of population addresses a suggested empirical gap in popular music studies. Theoretically, this research combines music sociology and narrative theories, adding depth to the currently limited academic landscape of similar scholarship which investigates intersection points between them.","['kunstwetenschappen', 'cultuurwetenschappen', 'narrative', 'music', 'identity', 'popular music', 'blues']"
"Humanizing Death -  The Fontanelle Cemetery: analyzing tourists’ motivations, experiences and evaluations",Tommaso Battimiello,2018-06-12,['Stijn Reijnders'],"Erasmus School of History, Culture and Communication","Thanatourism refers to the practice of visiting places connected with death, sufferance and grief. Although the label, together with dark tourism, has been strongly questioned because of its implications, it is still recognized as valid not only by academic scholarship but also by its audience. Its popularity is recently connected with the massive presence of death-related contents within mass media and mainstream cultural industry, but it is an ancient phenomenon, which can be traced back to thanatopsis, i.e. the medieval contemplation of death. Consequently, thanatourism is the practice of travelling in order to experience, directly or indirectly, the presence of death. While the explanations of the phenomenon are still at the stage of hypothesis, this field of tourism has recently seen a great increase. Started as niche tourism, it is now sharply increased to significant numbers. Even Naples, an Italian city building its tourist attractiveness on the Mediterranean joie de vivre, is experiencing an increasing number of visits to places such as catacombs, crypts and ossuaries. The Fontanelle Cemetery is one of these Neapolitan sites, a huge ossuary located in Sanità, an urban district unfortunately infamous for a high level of social exclusion and unemployment. The thousands of human remains stored in this cave, turned into an ossuary in the 19th century, became soon objects of faith. The cult of souls of Purgatory, which used to take place until 1969, featured here a specific practice: the adoption of unknown skulls. Nowadays the site is managed as part of Neapolitan cultural heritage and it attracts an increasing number of tourists year after year: what are the motives, experiences and post-visit evaluations of people visiting this site? The research aims to answer these questions through the content analysis of 27 in-depth interviews conducted with tourists of the Fontanelle Cemetery. Both autonomous tourists and tourists who joined a guided tour have been taken into analysis. Additionally, interviews with two guides from two different tours were conducted in order to grasp understanding of how the respondents may be influenced by different approaches. The content analysis suggest that the visits at the Fontanelle Cemetery are perfectly framed into the hypothesis, suggested by Seaton (2009), of dark tourism as a way to face death within a safe tourist experience. The particular atmosphere, different from any catacomb or normal cemetery, together with traditional legends connected to specific skulls, made easier for the respondents to deal with the great amount of human remains. Furthermore, as for noticed for Body Worlds (Lantermann, 2009), tourists were more likely to be reflective and meditative about the issues of human mortality and vulnerability after the visit. To conclude, the research includes suggestions for further inquiries about the role of storytelling practices in facing the fear of death and the agency of contemporary Western people within the paradigm of medicalization.","['kunstwetenschappen', 'cultuurwetenschappen', 'dark tourism', 'thanatourism', 'Fontanelle Cemetery', 'Naples', 'storytelling']"
Escaping yourself while embracing yourself - An ethnographic study of the regular visitors of the Performance Bar Rotterdam,Christopher Levin Benedikt Stein,2018-06-12,['EH Bisschop Boele'],"Erasmus School of History, Culture and Communication","This ethnographic study revolves around the motivation, meaning-making and social interactions of regular visitor of the Performance Bar Rotterdam. Findings revealed the visitor’s perception of the Performance Bar (PB) as unique and meaningful and seperated from their “usual reality”, wherefore regulars seem to be particularly attached to the PB as a place. The promise to have a different night out, full of surprises challenges and play seems to resonate with the visitors. For them, the PB stand for a specific kind of humor, entertainment, art practice and audience engagement, which they can not get at any other cultural or nightlife venue.
Through the argumentation of differing values, visitors not only demarcate themselves from “other people”, but also from PB visitors that are not considered to be “PB people”. This indicates towards the idea of a specific core audience that associates themselves with specific values identified as “postmodern”. Regulars claim to be more than average open-minded, curious, open, respectful and “free” than other people. Through the choice for and identification with the PB some visitors argue to express their “unique” and “authentic” personality that they particularly identify with the PB community.
To seemingly fluent switch from role to role as described by postmodern scholars the “protean self” and in the PB, the roles between the performers and visitors appear to be reversed and blurry as regular visitor struggle to distinguish one from the other during a PB evening. The hosts of the Performance Bar encourage every visitor to perform on stage and to be engaged in the evenings activities by designing a play like atmosphere through the methods of improvisational theatre. A so-called “magic circle” is drawn between the PB and the “usual reality”; a spatiotemporal materialized fantasy in the frame of performance art with unclear rules and loose structure, which is “organic but also planned.” Visitors are invited to engage in the preplanned and improvised concepts, games and artistic activities proposed by the PB team and the curated performers of the evening. Social order and normality is constantly questioned, negotiated and transformed through the reoccurring play with social norms, boundaries, and awkwardness. This seems to create a specific social bonding between the visitor that leads to a “careless and free” atmosphere and a strong sense of community.
Results propose that frequent visits and engagement in the proposed play activities enables and triggers transformative learning trajectories as self-reflection and personal development.","['kunstwetenschappen', 'cultuurwetenschappen', 'Community-building', 'Place attachment', 'Protean self', 'Audience engagement', 'Self-expression', 'Social norms and boundaries']"
"Selecting new artists – 
A qualitative study on the roles of various forms of capital in the selection system within the popular music industry",Nina te Velde,2018-06-12,['Frans Brouwer'],"Erasmus School of History, Culture and Communication","The academic (and popular) literature on the various forms of capital gives a clear message: it requires a combination of cultural, social and symbolic capital to make it through as a new artist in the music industry. However, it remains unclear how these capitals relate to each other in everyday life: the precise reasons why or the circumstances under which the various forms of capital influence career development are still unclear. Besides this, the role of positive psychological capital has been largely ignored. This leads to the following research question: How do the various forms of capital of popular music artists influence the decision-making process of intermediaries in selecting new artists in the Netherlands? Subsequently, this research is a qualitative study in which the process of selection, the decision-making process of industry professionals, has been explored. In-depth, semi-structured interviews with intermediaries active inside the popular music sector in the Netherlands, including booking agencies, artist managers, and record labels, have been conducted to formulate an answer to the research question. To get in touch with these intermediaries, the ‘snowballing’ method has been used to get in contact with these informants who possess specific and relevant information on selection systems within the music industry. The recorded interviews have been transcribed and then a thematic content analysis has been conducted following the central themes – the various forms of capital – through coding and categorisation of the excerpts according to the various themes. When coming across, evaluating and eventually selecting new artists by industry professionals, cultural capital, social capital, and symbolic capital came out to be the most essential assets for an artist during the interviews. (Positive) psychological capital can be regarded as a plus, not as a necessity during the selection process, due to the changing nature of the corresponding states. Including this latter largely ignored capital, this research adds volume to tighten the research gap on the mobilisation and conversion of alternative capitals, the roles and functions of intermediaries in the music industry, and their effects on career development of new popular music artists in the Netherlands. Besides this, this research sheds light on the precise reasons why and the circumstances under which the various forms of capital influence the decision-making process of selecting. In this manner, this research adds volume onto qualitative systematic studies on the demand for artists.","['Cultural Economics', 'Cultural Entrepreneurship', 'music industry', 'social capital', 'cultural capital', 'symbolic capital', 'psychological capital', 'selection system']"
"Subsidy as the holy grail?
Private museums challenging the sustainability
of non-subsidized institutions",Ella Kuijpers,2018-06-12,['Filip Vermeylen'],"Erasmus School of History, Culture and Communication","This research investigates the role of private museums in the museum sector, which is mostly
populated by public museums, and the possible competition between these two types of organizations.
The research focuses on Dutch and Flemish private museums that exhibit visual arts. This research is
explorative, as it gives an impression of the Dutch and Flemish private museum market, by illustrating
the different actors operating at the private museum market and their diversified business strategies
and motivations to initiate a private museum. It is inductive too, as not much literature on private
museums only exists. The research answers the question whether private museums are differentiated
from public museums and whether they face competition with public museums. The main findings of
the multiple case study, performed by several in-depth interviews with directors of private museums,
are that all museums are initiated by a wealthy person or couple and therefore show a very
personalized way of running their organization. Besides, private museums are diversified
organizations compared to public museums and they do compete on the level of funding and
audiences.","['Cultural Economics', 'Cultural Entrepreneurship', 'private museums', 'public museums', 'motivations', 'competition', 'differentiation']"
