title,author,date,supervisor,faculty,abstract,keywords
Mag de buurt besturen?,"Rossum, T.R. van",2012-08-01,"['Dr. A. van Sluis', 'Dr. R.F.I. Moody']",Erasmus School of Social and Behavioural Sciences,,"['lokaal veiligheidsbeleid', 'burgerparticipatie', 'burgerbestuur', 'legitimiteit', 'doorwerking', 'buurt bestuurt']"
Tellen in de Ivoren Toren,"Haagsma, E.",2012-08-01,"['Ruut Veenhoven', 'Godfried Engbersen']",Erasmus School of Social and Behavioural Sciences,,"['Prestatiemeting', 'onderzoeksbeleid', 'publieke sociologie', 'vaksociologen', 'onbedoelde gevolgen beleidsveranderingen']"
What is the required role of the state in Egypt concerning Zakat?,Hosam Elsayed Abdelhalim Aamr Helal,2012-07-31,['Bergeijk Peter van'],International Institute of Social Studies,"In this paper I discuss ""Zakat"", which is considered a form of charity that must
be paid from a person`s wealth ( when his /her wealth exceeds or reaches a
“specific amount” of money (or other types of wealth like gold )
So when the wealth reaches this level or (the specific amount ) the person
who owns this wealth should pay a specific amount for the poor and this
amount goes to the poor named Zakat” (Al-Qaradawi,1999). At the end, I
conclude that “Zakat” is an effective and practical approach to reduce poverty
and it could be applied in Egypt with a significant role from the state in three
main directions: institution ,law and media , that I will explain that the threotical
framework of neoliberalism and the successful practices in Zakat highlight
the importance of the role of the state in any policy aiming for poverty reduction.","['Poverty', 'State', 'Development', 'Zakat ( Zakah or AlZakah)', 'Institution', 'Media', 'Society', 'Law', 'Neoliberalism']"
Organisatietevredenheid in de publieke sector,"Zanten, T. van",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
Leiderschap en werkprivécultuur,"Polak, A.M.",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
Agressie en arbeidssatisfactie,"Schreurs, R.",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
"Beleidsvervreemding, bereidheid te implementeren en betrokkenheid","Rijsdijk, A.",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
"Betrokkenheid, Werk-privé Verrijking en Verloopgeneigdheid: De Mediërende Rol van Werkvervreemding.","Pilipović, I.",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
Relatie FSSB en betrokkenheid gemedieerd door LMX?,"Schalekamp, W.M.A",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
STRESS EN ZINLOOSHEID: DE GEVOLGEN VOOR DE WERKNEMER EN DE ORGANISATIE,"Vlieger, R. de",2012-07-30,['Dr. L. Tummers'],Erasmus School of Social and Behavioural Sciences,,
