title,authors,supervisors,date,language,keywords,program,abstract
Mediawijsheid op school. Een onderzoek naar de implementatie van mediawijsheid in het voortgezet onderwijs.,"['Westerink, L.']","['Glas, R.']",2011-08-01T17:03:01Z,nl,"['mediawijsheid, onderwijs, mediawijsheidbeleid, medialisering, nieuwe media']",Nieuwe media en digitale cultuur,In dit onderzoek wordt onderzocht in hoeverre er anno 2011 al sprake is van een goede implementatie van mediawijsheidonderwijs in het voortgezet onderwijs.
"The Wonderful Dutch Translations of Oz
Or, how moral dimensions denote different child readers","['Haagen, D.M.D. van der']","['Koster, C.']",2011-08-02T17:02:13Z,en,"['Child image, moral dimension, translation']",Vertalen,Analysing and comparing the different child images of three different Dutch translations of The Wizard of Oz and placing them in time and context.
Mentaal Reizen door de Tijd. Het hedendaagse puzzelplot als metafoor voor de menselijke ervaring van tijd.,"['Schouten, S.I.']","['van Beusekom, A.C.N.']",2011-08-01T17:03:05Z,nl,"['Paul Ricoeur', 'Gilles Deleuze', 'Tijd', 'cinema', 'puzzelplot.']",Film- en Televisiewetenschap,
Proverbs for Paranoids,"['Wouters, R.J.W.']","['Ieven, B.K.']",2011-08-01T17:03:06Z,en_US,"['pynchon', 'marcuse', 'paranoia', ""gravity's rainbow"", 'post-modernism', 'one-dimensional man']",Literatuurwetenschap,An analysis of the reconfiguration of paranoia as a Marcusian concept in the novel ´´Gravity´s Rainbow´´ by American writer Thomas Pynchon.
"Robert Burns as a Naive Genius:
The Choices of an Eighteenth-Century Scots Writer in a Standard English World","['Gordon, M.S.']","['Auer, A']",2011-08-01T17:03:06Z,en,[],Engelse taal en cultuur,
Images of Vice and Virtue in Spenser's The Faerie Queene,"['Bloemendal, I.']","['Franssen, P. J. C. M.']",2011-08-01T17:03:03Z,en,[],Engelse taal en cultuur,
Mobiele telefonie etiquette,"['Aerts, J.']","['P.Mak, D.Janssen']",2011-08-01T17:03:02Z,nl,[],Communicatie- en informatiewetenschappen,
Suicidaliteit bij adolescenten:een preliminary study,"['Boot, D.']","['Feron, F.', 'Os-Medendorp, H. van']",2011-08-04T17:01:23Z,nl,['suicidaliteit or adolescenten or gedragsvragenlijsten or internaliserende- externaliserende problemen\n suicidality or adolescents or behaviorchecklists or internal- and external problems'],Verplegingswetenschap,"Suicidaliteit bij adolescenten: een preliminary study

Inleiding: Suicidaliteit is een van de psychische problemen waarmee jongeren tijdens de adolescentie te maken kunnen krijgen. In Nederland is suicidaliteit, op verkeersongevallen na, de grootste doodsoorzaak onder adolescenten. Echter, er bestaat in Nederland nog geen nationaal suicide beleid en geen  instrument om adolescenten te screenen op suicidaliteit.
Methode: In dit onderzoek is middels de gedragsvragenlijsten YSR,CBCL en TRF gekeken hoevaak suicidaliteit voorkomt onder adolescenten tussen de 12-18 jaar. Er is een uitsplitsing gemaakt naar geslacht en leeftijd en of deze variabele een verband hebben met suicidaliteit. Verder is er gekeken hoevaak suicidaliteit voorkomt bij een t-score in het grens- of klinische gebied op internaliserende- en externaliserende problemen. Middels crossinformant correlatie is de samenhang tussen de verschillende gedragsvragenlijsten bekeken.
Resultaten: Gezien wordt dat de adolescenten, meegenomen in dit onderzoek, relatief vaak scoren op suicidaliteit en dat meisjes hier vaker op scoren dan jongens. Er is geen specifieke leeftijd gevonden waarop suicidaliteit vaker voorkomt. Wel werd gezien, dat bij een score in het grens- of klinischegebied op zowel internaliserende- als externaliserende problemen, suicidaliteit relatief vaak voorkomt.
Conclusie: Het onderzoek is gedaan bij een selecte groep adolescenten. Verder onderzoek naar suicidaliteit bij adolescenten is nodig. Van belang is om verder onderzoek te doen naar het vroegtijdig herkennen van suicidaliteit bij adolescenten in de huidige praktijk van de Jeugdgezondheidszorg. Adolescenten kunnen zo vroeg en tijdig verwezen worden naar de juiste hulpverlening.
 
Suicidality among adolescents: a preliminary study

Background: Suicidality is one of the main psychological problems among adolescents. Besides trafficaccidents, suicide is one of the major causes of death among adolescents in the Netherlands.  However, a national system or sreeningsinstrument for suicidality doesn’t excist in the Netherlands. 
Methods: By means of the behaviorchecklist, YSR, CBCL and TRF, this study examined the occurrence of suicidality among adolescents in the age between 12-18 years. For the variables age and gender it was examined if there was a correlation with suicidality. Also it was examined how many times an adolescent scored for suicidality if there was a score within the borderline- or clinical range for internal- or external problems.
By means of the cross-informant correlation, a correlation between the behaviorchecklists was examined. 
Results: Adolescents, examined in this study, relatively frequently scored for suicidality. Girls score more often for suicidality then boys. There was no specific age, adolescents scored higher for suicidality. However, suicidality is relatively frequently scored when there was found a score within the borderline- or clinical range for internal- and externalproblems. 
Conclusion: A select group of adolescents was used in this study. Further research for suicidality among adolescent is nescecary. It is important further research will be done to the early recognision of suicidality among adolescents within the current practise of youth health care.  This way, adolescents can be lead, early and on time, to the right care they need."
Waargenomen gedragscontrole is een mogelijke voorspeller van beperkingen in activiteiten bij patiënten met chronische idiopatische axonale polyneuropathie,"['Wondergem, R.']","['Takken, T', 'Schroder, C']",2011-08-04T17:01:27Z,nl,"['Sleutelwoorden: chronische idiopatische axonale polineuropathie, motivatie, waargenomen gedragscontrole, revalidatie']",Fysiotherapiewetenschap,"Doel: Het doel van de studie is de waarde van waargenomen gedragscontrole (WGC) te onderzoeken met de onderzoeksvraag:  Draagt de “theorie van gepland gedrag”, naast stoornis, bij aan het verklaren van variatie in het uitvoeren van activiteiten bij mensen met CIAP  en hoe is dit na een jaar?
Design: Longitudinale studie
Deelnemers: Patiënten gediagnostiseerd met CIAP en bekend binnen het universitair medisch centrum Utrecht.
Uitkomstmaten: WGC (vragenlijst gebaseerd op de “theorie van gepland gedrag”), emoties (Hospital Anxiety and Depression Scale), beperkingen van activiteiten (shuttle wandel test [swt], Medical Outcomes Study 36-Item Short Form Health Survey [SF-36] de fysieke functioneren subschaal en stoornissen (spierkracht, sensbiliteit en pijn)
Resultaten: WGC correleerde op baseline met alle meetinstrument die beperkingen van activiteiten hebben gemeten op significantie level .01 en na een jaar met minstens significantie level .05. Daarbij droeg WGC significant bij aan de variantie, na een hiërarchische multiple regressie analyse, op de baseline meting met alle meetinstrument die beperking van activiteiten hebben gemeten. Na een jaar was alleen een bijdrage bij de SWT. Mediatie vond alleen plaats op de baseline meting van de SF-36
Conclusie: WGC verklaarde de variantie van beperkingen van activiteiten op de baseline meting en zijn er aanwijzingen bij de metingen na een jaar. De uitkomsten suggereren dat WGC invloed heeft op het uitvoeren van activiteiten zonder veranderingen in stoornis."
Self-efficacy in day care program for people with dementia: a case study,"['Withag, L.M.']","['van der Hooft- Leemans, G.']",2011-08-04T17:01:24Z,en_US,"['Sleutelwoorden: self-efficacy, interventie, dementie, case study, evaluatie, dagbesteding(programma), zelfstandig wonen\nKeywords: self-efficacy, intervention, dementia, case study, evaluation, day care (program), independent living']",Verplegingswetenschap,"Achtergrond: Mensen met dementie krijgen te maken met veranderingen en onzekerheden in het uitvoeren, organiseren en plannen van dagelijkse activiteiten, vanwege cognitieve beperkingen. Professionele dagbesteding voor ouderen met dementie in Nederland kan bijdragen aan het zelfstandig blijven wonen. Een nieuwe vorm van dagbesteding richt zich op het ondersteunen van dagelijkse activiteiten om een positief zelfbeeld en ‘het geloof in eigen kunnen’ (self-efficacy) te vergroten. 
Methodes: In deze case study worden interactie, gedrag en reflectie tussen dementerenden, mantelzorgers, professionele zorgverleners en vrijwilligers aan de hand van de doelen van de nieuwe dagbesteding geëvalueerd. Het concept van ‘geloof in eigen kunnen’ volgens de theorie van Bandura richt zich op positieve competentieverwachtingen (initiatief, inspanningen om iets af te maken en doorzetten bij tegenslag). Kwantitatieve en kwalitatieve data worden gebruikt om ‘het geloof in eigen kunnen’ van mensen met dementie te beschrijven en om vast te stellen of de doelen van de nieuwe dagbesteding zijn behaald. 
Resultaten: Na zes weken werd het niveau van self-efficacy positiever beoordeeld door  mantelzorgers, vrijwilligers en professionele zorgverleners gemeten aan de hand van de Nederlandse versie van de Algemene Competentie Schaal. Uit gestructureerde en participerende observaties en twee focusgroep interviews werd bevestigd dat mensen met dementie zich meer zelfredzaam voelen als ze worden ondersteund in hun dagelijkse activiteiten. 
Conclusie: Deze studie bevestigt dat de theorie van self-efficacy volgens Bandura toegepast kan worden bij mensen met dementie. Geloof in ‘het geloof in eigen kunnen’ draagt bij tot een positiever zelfbeeld en het verhogen van de kwaliteit van leven. Belangrijk is dat mantelzorgers, professionele zorgverleners, vrijwilligers en welzijnsorganisaties samenwerken en mensen met dementie hierbij betrekken om op die manier zelfstandig wonen te stimuleren."
Gespecialiseerd verpleegkundigen en kwaliteit van zorg voor mensen met een chronische gezondheidsbeperking,"['Veninga, A.P.']","['Ros, W.J.G.']",2011-08-04T17:01:24Z,nl,"['Trefwoorden: \nKwaliteit van zorg, chronische gezondheidsbeperking, gespecialiseerd verpleegkundigen, gezondheidszorgorganisaties\n\nKeywords:\nQuality of care, chronic disease, specialised nurses, health care organizations']",Verplegingswetenschap,"Samenvatting

Doel: Inzicht krijgen in wat gespecialiseerd verpleegkundigen verstaan onder kwaliteit van zorg, welke factoren daarbij belemmerend of bevorderend werken en wat de invloed van de werksetting daarbij is.
Methode: Kwalitatief onderzoeksdesign waarbij gespecialiseerd verpleegkundigen werkzaam met cliënten met een chronische gezondheidsbeperking op semigestructureerde wijze werden geïnterviewd vanuit verschillende werksettingen. De interviews werden volledig uitgetypt en getranscribeerd. Analyse vond plaats volgens de methode van de Grounded Theory.
Resultaat: Aansluiting bij de belevingswereld van de cliënt was essentieel voor goede kwaliteit van zorg waarvoor het huisbezoek een belangrijk instrument bleek. Er was een goede samenwerking nodig met de cliënt, mantelzorg en hulpverleners. Onderhandelingsvaardigheden bleek een belangrijke competentie in de clientvolgende organisatie waar coördinatie van zorg door dezelfde verpleegkundige gebeurde in beide lijnen. Gebrek aan keuzevrijheid binnen het eigen vakgebied bleek een belemmerende factor.
Discussie: Aansluiting bij de belevingswereld van de cliënt is voor verpleegkundigen het belangrijkste kernpunt voor goede kwaliteit van zorg. Dit is moeilijk bereikbaar in de klinische setting waar behandeling centraal staat. In de thuissituatie staat het inpassen van de chronische gezondheidsbeperking centraal. Om de verpleegkundige zorg in beide lijnen beter op elkaar aan te kunnen sluiten is integrale financiering wenselijk in samenhang met (nieuwe) organisatievormen die cliënten met een chronische gezondheidsbeperking centraal stelt. 
Conclusie: Door integrale financiering van verpleegkundige zorg, zoals bij clientvolgend werken, wordt betere aansluiting gevonden bij cliënten met een chronische gezondheidsbeperking die zich wisselend in de eerste- en tweede lijn bevinden. Kwaliteit van zorg wordt verhoogd als cliënten en verpleegkundigen keuzevrijheid hebben in de toegang en inhoud van zorg.


Trefwoorden: Kwaliteit van zorg, chronische gezondheidsbeperking, gespecialiseerd verpleegkundigen, gezondheidszorgorganisaties"
"Patiëntenperspectief over pijn en pijnbestrijding tijdens de palliatieve fase is de thuissituatie. Een kwalitatief onderzoek.
Patient perspective on pain and analgesia during the palliative phase at home.","['Zijlstra, T.A.M.']","['Korte - Verhoef, M.C.  de', 'Gamel, C.', 'Hooft - Leemans, G.  van der']",2011-08-04T17:01:25Z,nl,"['palliatieve zorg, pijnbeleving, pijnbestrijding, morfine, normaal leven \npalliative care, pain perception, analgesia, morphine, normal life']",Verplegingswetenschap,"DOEL. De informatievoorziening door verpleegkundigen en de pijnbestrijding door huisartsen bij patiënten in de palliatieve fase te verbeteren conform de wensen van de patiënt. 
METHODE. Elf patiënten in de thuissituatie zijn geïnterviewd op een semi-gestructureerde wijze. De data zijn verwerkt met gebruikmaking van technieken van de Grounded Theory Approach. 
RESULTAAT. Het hebben van pijn bleek van enorme invloed te zijn op de wens om nog een zo normaal mogelijk leven te leiden. Het maakte voor de patiënt niet uit welke medicijnen er voor nodig zijn om de pijn te bestrijden. De patiënten voelden weinig weerstand tegenover het gebruik van morfine. Wel vond men het belangrijk om helder van geest te blijven. 
CONCLUSIE. Bij de informatievoorziening zal meer moeten worden ingegaan op de signalen van pijn, wat de patiënt zelf kan doen en wanneer de arts direct gebeld moet worden."
