title,authors,supervisors,date,language,keywords,program,abstract
"De Europese Integratie tot 1957, de Amerikaanse overheid en de Bilderberg Groep.
De rol van de Amerikaanse overheid in het Europese integratieproces tot 1957, onder andere door middel van de Bilderberg conferenties.","['Hartog, R.E. den']","['Segers, Dr. M.L.L.']",2012-09-06T17:01:57Z,nl,"['internationale betrekkingen, Europese eenwording, Verenigde Staten, Amerikaanse overheid, Verdrag van Rome, Europa, Bilderberg Groep, Bilderberg Conferenties']",Internationale betrekkingen in historisch perspectief,"Na de Tweede Wereldoorlog stimuleerde de Amerikaanse overheid de Europese eenwording en was zij voor een Europese integratie. Zij handelde hier dan ook naar in haar beleid. In hoeverre was de Amerikaanse overheid in staat het Europese integratieproces te beïnvloeden tot het verdrag van Rome in 1957? Dit onderzoek bekijkt de bereidheid van de West-Europese staten om te voldoen aan de Amerikaanse wensen. De Verenigde Staten was één van de nieuwe supermachten en genoot "" soft power"". De Amerikaanse overheid was in staat om een sfeer te creëren na de Tweede Wereldoorlog waarin de Europese staten in grote lijnen voldeden aan de Amerikaanse wensen, maar duidelijk een eigen koers behielden als de nationale belangen in het geding kwamen. De Amerikaanse overheid was niet in staat om haar beleid direct op te leggen aan de Europese regeringen. Desalniettemin had er geen sprake kunnen zijn van Europese integratie zonder de Amerikaanse aanwezigheid in Europa. Ook binnen de Bilderberg Conferenties in de jaren '50 is er geen sprake van directe beïnvloeding van het Europese integratieproces door de Amerikaanse overheid."
"De marges van het Nederlands buitenlands beleid. Nederlandse soldaten naar Korea, 1950-1954","['Kamphuis, M.']","['Segers, M.L.L.']",2012-09-06T17:01:59Z,nl,[],Internationale betrekkingen in historisch perspectief,
Een wankel evenwicht. De problemen van het begijnhof van Amsterdam tijdens de achttiende eeuw nader onderzocht.,"['Bierman, W.L.']","['Gelderblom, O.']",2012-09-06T17:02:06Z,nl,[],Politiek en maatschappij in historisch perspectief,
Franciscus van Schonenberg: diplomaat en spin in het web tussen Portugal en de Republiek,"['Steketee, W.Z.']","['Onnekink, D.M.L.']",2012-09-06T17:02:07Z,nl,[],Taal- en cultuurstudies,
"De Evolutietheorie in Beeld.
Over de rol van afbeeldingen bij het populariseren van de evolutietheorie
van Darwin in negentiende‐eeuws Nederland","['Geerestein, A. van']","['Mijnhardt, W.W.']",2012-09-06T17:02:11Z,nl,"['evolutie, Nederland, populaire wetenschap, negentiende eeuw, tijdschriften, afbeeldingen']",Liberal Arts and Sciences,"Nadat Darwin zijn beroemde boek 'On the Origin of Species' schreef in 1859 kreeg het werk in Nederland langzaam maar zeker bekendheid. In populair-wetenschappelijke tijdschriften uit die tijd werd er over zijn evolutietheorie geschreven en gediscussieerd. Door vooral de tegenstanders van de theorie, uit de kerkelijke hoek, werden ook afbeeldingen gebruikt om een standpunt tegenover de theorie duidelijk te maken. De opkomende lezersmassa in die tijd werd beïnvloed door de verschillende denkbeelden over evolutie die in de negentiende eeuw ontstonden. In deze scriptie wordt de rol van afbeeldingen bij het populariseren van de evolutietheorie van Darwin in Nederland besproken."
The Eradication of poverty.,"['Velzen, G.T. van']","['Gelderblom, Oscar']",2012-09-06T17:02:13Z,en,"['poverty', 'science']","History: Cities, States and Citizenship",This thesis is a research into the influence of science on the nineteenth century poverty debate in the Netherlands.
"“Vlieg! Ga maar, vlieg weg!”: het dier als de Ander in de Nederlandse kinderfilm","['Smits, C.J.W.']","['Dolphijn, R.']",2012-09-06T17:02:16Z,nl,"['Ander, Levinas, Derrida, kinderfilm, dieren, maatschappij, Minoes, Iep!, de derde']",Film- en Televisiewetenschap,
"""In Sicily, Women are more Dangerous than Shotguns"" - De Narratieve Functie van het Vrouwelijke Personage in Francis Ford Coppola's The Godfather Trilogie","['Sciarone, E.M.']","['Kessler, F.E.']",2012-09-06T17:02:18Z,nl,"['Filmpersonage, Godfather, Coppola']",Film- en Televisiewetenschap,"In het filmwetenschappelijk discours lijkt er een overeenstemming te zijn over het feit dat de aantrekkingskracht van Francis Ford Coppola’s THE GODFATHER tijdloos is. Binnen ditzelfde discours zijn de meningen echter verdeeld over hoe de narratieve functie van het vrouwelijke personage in deze drie films omschreven zou moeten worden. Er is een traditie ontstaan in deze discussie waarin er twee oppositionele stromingen waar te nemen zijn. De eerste stroming, die opvallend overheerst, beweert dat de films een ongelijke sekseverhouding tussen mannen en vrouwen binnen de maffiafamilie laten zien. Coppola zou in THE GODFATHER films een negatief vrouwbeeld neerzetten en het vrouwelijke personage zou binnen het narratief een ondergeschikte positie bekleden. De tweede stroming binnen het filmwetenschappelijk discours, een visie die duidelijk in mindere mate is vertegenwoordigd, beweert dat het vrouwelijke personage een cruciale functie inneemt binnen het netwerk van personages doordat zij ten grondslag ligt aan het handelen van de mannelijke personages. Het vrouwelijke personage in THE GODFATHER films is geen passief wezen, maar een actief autonoom individu dat invloed uitoefent op het handelen van de maffiamannen binnen La Famiglia. Dit artikel bepleit echter dat de eerste, meer dominantie stroming op een onvolledig onderzoek stoelt en bepleit meer aandacht voor de actieve functie van het vrouwelijk personage binnen het narratief. In dit artikel wordt daarom aan de hand van een uitgebreid onderzoek dat op drie niveau's plaatsvindt (op het gebied van de constructie van het personage, het netwerk van het personage, en de relatie personage – toeschouwer) op zoek gegaan naar een antwoord op de vraag: Kan de narratieve functie van het vrouwelijke personage in THE GODFATHER trilogie als passief of actief omgeschreven worden?"
Privacy zat. Informationele privacy herzien met de kritische blik van Foucault.,"['Spoel, I. van der']","['Schäfer, M.T.']",2012-09-06T17:02:23Z,nl,"['online, privacy, Foucault, biopolitics, social media, post-privacy']",Nieuwe media en digitale cultuur,
"“Daarom zeggen wij: Adieu, het gaat jullie goed!” Waarom opzegredenen  van ‘afhakers’ aantonen dat het traditionele systeem, waarbij publieke omroepen zendtijd en budget krijgen toegekend op basis van hun ledenaantal, niet werkt in de huidige maatschappij en tijd.","['Goderie, E.']","['Crone, V.C.A.']",2012-09-06T17:02:35Z,nl,"['publieke omroep, leden, lidmaatschap, achterban, ledentelling, televisie, omroepen']",Film- en Televisiewetenschap,"De uitstroom van leden bij de publieke omroepen is erg groot. Vreemd genoeg hoor je hier weinig tot niets over terwijl kijken naar deze afhakers interessant is omdat zij waardevolle informatie geven over de huidige situatie waarin de publieke omroepen zich bevinden. De afhakers representeren immers de groep mensen die de omroep niet langer aan zich weet te binden en niet langer representeert. De persoonlijke opzeggingen van leden vormen hierbij de kern van maatschappelijke en politieke tendensen die er toe hebben geleid dat een fossiel systeem kunstmatig in stand wordt gehouden. 

In dit onderzoek is er allereerst aandacht voor de context waarin dit probleem speelt en leden, omroepen en overheid een interessante driehoeksverhouding vormen. Het nut van een omroeplidmaatschap ziet men al lang niet meer in en in de huidige maatschappij is dat helemaal niet verbazingwekkend. De overheid is hier niet blind voor, maar heeft eenvoudigweg geen andere oplossing om de legitimiteit van de omroepen aan te tonen en houdt het systeem met kunstgrepen in stand. De omroepen zelf zitten enerzijds met hun idealistische inborst en de daarmee van overheidswege samenhangende regels en aan de andere kant met de noodzaak om te commercialiseren om hun vergrijzende ledenbestand te lijf te gaan. Leden, omroepen en overheid houden elkaar in een ijzeren greep en kunnen paradoxaal genoeg zowel niet langer met als zonder elkaar leven. Drie omroepen gaven inzicht in de aantallen afhakers en hun opzegredenen. Uit deze cijfers valt te herleiden wat de belangrijkste opzegredenen zijn en welke rol de omroepen hier zelf in spelen. Tenslotte wordt door analyse van opzegbrieven van deze leden duidelijk wat zij er, in hun eigen woorden, zelf van vinden. 

Door het bestuderen van een brede context, opzegcijfers en opzegbrieven en gesprekken omroepmedewerkers wordt duidelijk dat het traditionele systeem waarbij publieke omroepen zendtijd en budget krijgen toegekend op basis van hun ledenaantal niet werkt in de huidige maatschappij en tijd en dat de oorzaak hiervan in de basis van dit systeem ligt: bij de leden. Als casus voor deze stelling dient de ledentelling van 2009 die werd uitgevoerd ten behoeve van de erkenningverlening voor de periode 2010 – 2015."
