title,authors,supervisors,date,language,keywords,program,abstract
Caulobacter crescentus holdfast: A bio-based and water-resistant adhesive,"['Castelein, Sofie']","['Niemann, Helge H.']",2023-03-15T01:01:19Z,EN,['Biobased; adhesive; Water-resistant; glue;  C. crescentus; holdfast; biosynthesis; bio-inspired'],Bio Inspired Innovation,"Due to climate change, society demands more environmentally friendly products. An excellent way to approach this is to develop more circular, waste-free, zero/negative emission or biodegradable products. For something to be biodegradable it has to be completely biobased. A few examples of biobased materials are hemp isolation panels and furniture created out of mycelium bio-composites. 
Something that does not have a biobased alternative yet is a good performing underwater glue. There is a lot to gain here because even synthetic glues lack strength under wet or underwater conditions. This hypothetical biobased glue could be incredibly useful in the industrial field but also in the medical field to quickly repair bleeding wounds. In order to create a new biobased and environmentally friendly product of high quality, it is often a great start to look at the solutions provided by nature. 
Organisms first developed in the sea and animals like sand-castle worms, mussels and barnacles have already found ways to make excellent underwater glue. They mainly use a glue that is made of proteins to adhere to any underwater surface. Scientists have tried to mimic these glues but due to their complexity they have not yet succeeded in making an equally strong and marketable biobased underwater glue. 
Another type of organisms that produce underwater glue are bacteria, especially the bacterium Caulobacter crescentus, which creates a holdfast that is currently the record holder of the strongest natural underwater glue ever measured. According to a few experiments it could hold a weight of 680 kg per cm2, the equivalent of holding a large horse with a glue surface area the size of a small coin.  
However, because the bacterium C. crescentus produces so little of the holdfast, it has been difficult to study and we currently do not know where its adhesive strength comes from. A few advancements have been made recently that might enable to investigate this holdfast further. Once the exact structure and chemical components of holdfast have been discovered we might be able to understand why it is so strong. This might help us with developing a new type of glue inspired by this holdfast. 
Other than its exact chemical composition we also want to know how the holdfast is produced by studying its biosynthetic pathway. This will not only give us more insights in how holdfast is created but might also allow us to mimic it ourselves. 
To produce the glue ourselves, it might be possible to genetically modify C. crescentus so that it produces a lot more of the holdfast. Alternatively, we could try to insert the biosynthetic pathway of holdfast in another more well-known and easy to culture bacterium like Escherichia coli. Then this bacterium will  produce the holdfast for us in large quantities, something that is already done with certain medicine like hormones and vaccines.  When we produce enough holdfast, we can do more mechanical testing and experiments on the properties of holdfast to find out if it would be suitable as a new underwater/wet adhesive."
Exploring the ribosomal stress pathway as a targetable vulnerability in TP53 aberrant Acute Lymphoblastic leukemia,"['Reijers, Sacha']","['Leeuwen, Frank van']",2023-03-16T01:01:11Z,EN,['Ribosomal Stess Pathway; Ribosome Biogenesis; TP53; leukemia; eEF2K.'],"Cancer, Stem Cells and Developmental Biology","Acute Lymphoblastic Leukemia (ALL) is one of the most frequently diagnosed cancers in children. Although
the survival rates have been increasing, relapses are still occurring, which are generally hard to cure.
Especially relapses showing aberrations in TP53 predict a dismal outcome due to their high resistance
against most chemotherapeutic drugs, but also novel immune therapies that have entered the clinic.
Therefore, there is an urgent clinical need for better therapies for TP53 deleted ALL. In the last decade the
ribosome biogenesis (RiBi) pathway has emerged as an effective target in cancer therapy. RiBi is known to
play a role in oncogenic signalling pathways and is therefore highly regulated to maintain cellular
homeostasis. Monitoring of RiBi is managed by ribosomal stress signaling pathways that can sense both
through p53 or be p53-independent. The role of the ribosomal stress pathway in the development of ALL is
underlined by the presence of somatic mutations in several ribosomal proteins that all have been linked to
contribute to T-ALL progression. In a study to find new vulnerabilities of TP53 aberrant ALL, they identified
eEF2K as a new vulnerable target. eEF2K is a protein which negatively regulates translation elongation and
can be activated upon many different stresses, including ribosomal stress. eEF2K is also under investigation
as a possible novel molecular target for cancer treatment. In this review I have explored the ribosomal
stress pathway as a potential targetable vulnerability in p53 aberrant ALL in order to provide a mechanistic
explanation for the observed synthetic lethality between loss of TP53 function and loss of eEF2K in ALL
under conditions of cellular stress. For this I reviewed different p53-(in)dependent ribosomal stress
signalling pathways, looked at how aberrations in RiBi and these pathways can be linked to cancer
development, and how these pathways can be used as a target for the development of new and improved
anticancer therapies. Finally, I examined the role of eEF2K, its connection to ribosomal stress and its
contribution to cancer progression."
Utilizing Conditions for Unsupervised Anomaly Detection in Brain MRI,"['Novikov, Yan']","['Vincken, Koen']",2023-03-15T01:01:25Z,EN,['Anomaly detection; generative adversarial networks; brain MRI'],Medical Imaging,"A need to label vast amounts of data in medical image analysis makes supervised algorithms time-consuming and raises concerns about incorrectly annotated pathologies.
Unsupervised anomaly detection algorithms, which employ Generative Adversarial Networks (GANs), exist to tackle this issue.
Such methods are supposed to detect unseen abnormal data by learning the distribution of the normal one.
However, the norm is considered unified for a given task and does not account for any variability between samples, which may make its bounds vaguer.
We assume that reckoning for external information about an image under examination can resolve this issue.
This paper studies whether conditional GANs are suitable for patch-wise anomaly detection on brain MR images.
We propose incorporating such attributes as age and patch position to better account for inter-patient variability. 
We train two GANs using \(64 \times 64\) images of chairs rotated by different angles from the RC-49 dataset and \(32 \times 32 \times 32\) patches from T1 weighted brain scans from the IXI dataset. 
We then reconstruct normal and abnormal samples with a modified image projection technique and use the obtained style vectors and the external attributes to assign anomaly scores to the images.
On the test chair images, our approach achieves accuracy values of 88.4%, and we found it applicable to the 2D case.
Nevertheless, on the brain patches, it shows a lower accuracy value of 64.3% for the test samples, indicating its inefficiency when applied to the 3D MR data in the proposed form.
We also discuss the potential causes of the failed experiment and possible future avenues for improvement of the proposed approach."
Combining BCI with functional electrical stimulation for facial nerve paralysis in locked-in indviduals,"['Canny, Evan Canny']","['Berezutskaya, Julia']",2023-03-15T01:01:30Z,EN,"['Locked-in syndrome, BCI, FES, facial movements, facial expressions, intracortical activity.']",Neuroscience and Cognition,"Locked-in syndrome (LIS) is a nervous system disorder that is characterised by loss of voluntary muscle control, which can lead to whole body paralysis. Classical and incomplete LIS patients retain the ability to produce eye movements, which enable communication through gaze-controlled/eye-tracking systems that allow patients to choose letters from a keyboard to type messages on a screen. However, these communication methods limit rapid, natural communication and are unable to allow the expression of emotion. Furthermore, total LIS patients do not retain the ability to produce eye movements, and as such, gaze-controlled communication systems are inaccessible to these patients. To overcome the limitations of such communication systems, this paper posits that the combination of intracortical brain computer interfaces (iBCI) and functional electrical stimulation (FES) technology could be utilised to restore functional facial movements and facial expressions in locked-in individuals. Previous research has demonstrated the restoration of functional arm and hand movements in tetraplegic patients using iBCI-FES systems. Furthermore, facial FES research has shown that FES-induced functional facial movements and facial expressions are feasible in healthy subjects and facial nerve paralysis patients (FNP). This line of research has successfully demonstrated FES-induced eyeblinks, eyebrow raises, frowning, smiling, and limited speech articulation. However, no research to date has attempted to induce functional facial movements or facial expressions using FES on LIS patients. This paper argues that facial FES research findings in FNP patients can be used to inspire novel iBCI-FES systems for LIS patients to restore facial movements and facial expressions. Such systems could be used to improve communication and expression of emotions in these patients, which would likely have positive effects for their wellbeing and QoL."
Revolutionizing the Understanding of Immune Cell Heterogeneity through Single-Cell Transcriptomics,"['Selten, Aimée']","['Boer, Rob de']",2023-03-15T01:01:22Z,EN,['Single-cell RNA sequencing; transcriptomes; immune cells; immunology; cellular heterogeneity; developmental trajectories'],Infection and Immunity,"Studying the immune system broadens our understanding of the underlying mechanisms contributing to health and disease. Recently, single-cell RNA sequencing (scRNA-seq) has provided an alternative unbiased approach to study gene expression on a single cell-level and has emerged as one of the leading techniques to uncover the immune system’s complex networks. It has allowed researchers to discover rare cell types and novel cell states in the immune system and has provided a comprehensive overview of the novel insights in immune cell characteristics, temporal, and spatial distribution as well as cellular function. Here, a review summarizing the current state of research of single-cell transcriptomics is provided, focusing on hematopoietic origin, novel immune cell types in thymus organogenesis, as well as the developing and the adult immune system. Moreover, we highlight the limitations inherent to the scRNA-seq experimental pipeline that propose challenges in advancing our knowledge of the comprehensive immune cell landscape."
Microscopic gossip: quorum sensing in the adaptive immune system,"['Zonneveld, Tessa']","['Boer, Rob de']",2023-03-15T01:01:28Z,EN,['Quorum sensing; immune system; T cells; mathematical modelling'],Bioinformatics and Biocomplexity,"When an infection occurs in the human body, the body responds by sending many different types of immune cells to the infection. Some of these cells can stop the infection, others can create memory cells that can attack quickly if the infection happens again. A family of cells that is very important in this process is T cells. There are many different types of T cells. For example, T effector cells come in different kinds depending on the type of infection they respond to and they coordinate other parts of the immune system. T regulatory cells make sure that the body’s response does not become so big that it hurts the healthy tissue. T memory cells take care of the response to a secondary infection. For an efficient response all of these types of cells should be present at appropriate proportions. This can be regulated through limiting the amount of nutrients that is available for each cell type, or through naturally occurring death of old cells. Another mechanism that has been studied is quorum sensing. Quorum sensing was first described in bacteria and refers to a shared response of a whole population of bacteria to the density of the population. That is, at low bacterial densities, the bacteria show individual behaviour. However, when the density becomes high enough, they can change their behaviour into a group-level behaviour such as producing light. The bacteria can sense their density by secreting and taking up a substances called autoinducers. While this phenomenon is known mostly from microbial organisms, several studies suggest that this process could also contribute to the functioning of the human immune system.
   This paper evaluates four mathematical models found in literature to see how quorum sensing contributes to immune responses and how accurately T cells can respond to their local density. Two of the models explain how, using the autoinducer IL-2, T cells can decide when they should start or stop an immune response. For example, if too little T cells respond to a substance in the body, the body decides that substances must belong to the body itself and therefore does not count as an infection. This means no immune response will be started. When enough T cells respond, however, an immune response will be started. The other two models elaborate on the influence of quorum sensing on the differentiation of T cells. They try to explain how the T cell density can determine which type of T cell other cells change into. These models suggest that the T cell density can influence cells to become a specific type of T effector cell or even a T memory cell. All of the behaviours that are modelled imply that responses resembling quorum sensing can occur in the immune system and that it is worthwhile to further study these processes."
From il and elle to iel and ael: the French Gender Revolution - A Semantic Model of Pronominal Grammar Changes in French,"['Rendl, Liv']","['Swart, Henriëtte de']",2023-03-16T01:01:06Z,EN,['Neo-pronouns; French; Pronominal grammar; DRT; Semantics; Pronoun Resolution'],Linguistics,"In recent years, the emancipation of women and the increasing awareness of identities outside the gender binary of man and woman have been a central debate in western society. Since the 2000’s the French language has seen linguistic changes reflecting these societal changes. The most recent developments are the so-called Écriture Inclusive and the Écriture Neutre. Analysing these language changes, the present thesis focuses on two common neo-pronouns iel(s) and ael(s) emerging from these societally induced languages changes and investigates their effects on pronominal grammar in French. This research bases itself on a corpus study of the use of these neo-pronouns, creating he foundation for a re-worked model of pronoun resolution with in Discourse Representation Theory. Combining the works of Kamp & Reyle (1993), Van der Sandt (1992) and Hunter (2013) this thesis takes a presuppositional approach to pronoun resolution allowing for the inclusion of extra-linguistic information for their interpretation."
Het surrealisme van Laure Prouvost,"['Berkel, Evie van']","['Meulen, Sjoukje van der']",2023-03-16T01:01:31Z,NL,[],Kunstgeschiedenis,
On the Collective Phenomenon of Fermions in One and Two Dimensions,"['Elbekian, Alexandre']","['Stoof, H.T.C.']",2023-03-16T01:01:33Z,EN,[],Theoretical Physics,
Interactive Video Game Live-Streaming,"['Rannem, Trym']","['Frommel, J.']",2023-03-17T01:01:04Z,EN,[],Game and Media Technology,"Lately, user-generated video game live-streams have exploded in popularity and become a common source of entertainment. As a result, video game live-streaming has attracted increased attention as a research area. In recent years, there have been several studies focused on how to drive engagement and enhance the audience experience in gaming live-streams by applying different types of interaction mechanisms. However, there is of yet little research that investigates the usage of interaction mechanisms for directly influencing the game that is being streamed. Meanwhile, tools to implement such mechanisms are available, and some applications of this have already been demonstrated. There are strong indications that both viewers and streamers desire such interaction mechanisms. However, due to the nature of how today’s streaming services operate and their limitations, designing these types of mechanisms comes with a number of challenges tied to stream delay, arbitrary number of viewers, and user interface design. As of today, there are not yet any established best practices on how to overcome these challenges while retaining an engaging audience experience. Therefore, the main goal of this research is to investigate how to achieve an engaging audience experience in scenarios where viewers of gaming live-streams can influence the game that is being played directly through an interface on the stream, with a large focus on the aforementioned challenges. To achieve this, I used an iterative approach, first performing a preliminary design exploration study, where I designed and implemented three different interaction mechanisms, and then a second evaluation study, where experts evaluated the mechanisms. The mechanism types were majority vote with discrete options, heatmaps, and interface around interactive items. All of these interaction mechanisms showed promising results, with varying potential for enhancing the viewer experience depending on their execution. Interface around interactive items seemed to be the mechanism that yielded the best results overall, with the highest chance of having a positive impact on the audience experience. The research suggests that interactions where viewers do not expect instant reactions can be highly effective for compensating for delays, and clear communication of the game state can be helpful. Exploiting the crowd mentality by creating situations where viewers are incentivized to work together towards a common goal can also be effective, both for accommodating for different audience sizes and for masking the delay. The user interface should be clear, understandable, and intuitive, with relevant feedback and instructions provided. Overall, interactive overlays seem to have the potential to significantly increase the viewer experience in gaming live-streams, especially if the interface is well-designed and does not detract from the gameplay."
