title,authors,supervisors,date,language,keywords,program,abstract
Expected and experienced barriers for the implementation of sick day guidance in community pharmacies,"['Bas, Lotte van der']","['Bouvy, M.L.']",2023-07-22T00:01:40Z,EN,['SIDRIK; sick day; acute kidney injury; community pharmacies; implementation study; dehydration'],Farmacie,"Background 
Patients with impaired renal function are at increased risk for acute kidney injury (AKI) during dehydration. Dehydration can occur during so called ‘sick days’ and or due to high environmental temperatures. In these situations certain medications should be adjusted as the risk for AKI is increased. Implementation of sick day guidance in primary care remains difficult.

Aim 
This study aimed to identify the expected and experienced barriers for the implementation of sick  day guidance in Dutch community pharmacies.

Method 
Semi-structured interviews with community pharmacists were performed to identify expected  barriers. The interviews were based on The Consolidated Framework for Implementation Research (CFIR), and were conducted by three researchers, mostly in duos. Interviews were recorded and transcribed verbatim using Amberscript. The coding was done in NVivo version 14. Experienced barriers were evaluated through monthly progress evaluations, which were performed by telephone.

Results 
A total of 24 pharmacies participated. Pharmacists mostly mentioned barriers associated with highworkload, staff shortages and recognition of sick days by pharmacy technicians. Additionally, the challenging communication with home care organisations, the limited trust of general practitioners  and patients in the pharmacists and the cognitive limitations of the patients were also noted. 

Conclusion 
This study identified multiple barriers that impede the implementation of sick day guidance in community pharmacies. These findings highlight the need for tailored implementation strategies focused on integration into existing work processes and involvement of pharmacist technicians and home care"
Panoramic Perspectives - Evaluating spatial widgets in immersive video through heuristic evaluation,"['Meijers, Max']","['Hürst, Wolfgang']",2023-07-22T00:01:35Z,EN,['virtual reality;VR;immersive video;spatial;navigation;interface;human-computer interaction;HCI;360-degree;heuristic evaluation;augmented reality;AR;volumetric video'],Game and Media Technology,"This research explores the value of spatial indicator widgets in
360-degree virtual reality (VR) videos to address the research ques-
tion of which spatial widget design, if any, is suited to adoption into
a user interface for VR 360-degree video playback. It proposes and
implements three designs for spatial widgets and compares their
effectiveness based on a heuristic study involving three experts.
The study found that spatial widgets offer welcome orientation aids,
especially in visually challenging environments, despite potential
issues with motor load and distraction. Among the evaluated de-
signs, the linear compass widget emerged as the most promising but
requires redesign for optimal functionality. The thesis concludes
that the inclusion of spatial navigation widgets in VR 360-degree
video players is a worthy consideration and suggests avenues for
future research, such as the integration of these widgets into emerg-
ing technologies like volumetric video and augmented reality. The
results of this research serve as a first step towards designing more
user-friendly VR video interfaces."
Automatic Sleep Assessment from Eye Cues in Videos of Strongly Occluded Preterm Infants,"['Horbach, Rowen']","['Poppe, Ronald']",2023-07-22T00:01:39Z,EN,[],Game and Media Technology,"Monitoring the sleep of preterm infants provides valuable insights. Preterm infants are often strongly occluded, while the eyes are generally visible. Eye cues play an important role in manual sleep assessment of preterm infants. We exploit this correlation in an attempt to fully automate sleep assessment with (low-end) RGB cameras. We propose a framework to consistently extract eye regions in videos of occluded preterm infants. We show that convolutional neural networks (CNNs) can be trained on these regions to automatically identify eye states. We predict whether the eyes are opened or closed using a binary CNN, with a test accuracy of 96.3%. Using a sliding window and a binary 3D CNN, we also identify REMs, with a test accuracy up to 74.5%. We aggregate eye states per minute, and translate resulting features to sleep states with a random forest classifier. We manage to automatically discriminate sleep stages wake, active sleep and quiet sleep, with an accuracy of 92.2% - exclusively using eye cues. We discuss remaining issues and propose solutions to further improve the performance. Videos recorded at the neonatal intensive care unit of the University Medical Center Utrecht were used to construct labeled datasets."
Evaluating the League of Legends Tutorial Based on a Theoretical Skill Model,"['Grigorov, Nikola']","['Frommel, J.']",2023-07-22T00:01:32Z,EN,[],Game and Media Technology,"Multiplayer Online Battle Arena (MOBA) games have become extremely complex. Getting into them as a new player becomes a harder task every day as the amount of knowledge you would have to know and skills you have to possess in advance keeps growing. New player inexperience could lead to them being the target of abuse from other players since they will view their mistakes as bad plays. Modern methods such as chat detection or reporting systems, tend to focus on the perpetrator of toxic behaviour to reduce the negativity of online communications. I present a new approach to help decrease it. In this paper, I focus on bridging the skill gap between new players and veteran players by researching what it takes to play League of Legends optimally. Using an established skill model for esports games, I have applied it to League and have defined the skills that fit within the model. With the help of an online questionnaire, I asked veteran players to narrow down the most important skills within League. Based on their feedback and the skill model, I have evaluated how well the current League tutorial matches their expectations. This approach shows that the current tutorial introduces a skill gap between what is expected of new players to know and what they should know to play League optimally. Through optimizing the tutorial content based on this model I believe that the new player experience can be improved, the toxic behaviour towards new players can be alleviated and potentially this approach can be applied to other complex (MOBA) games"
"Creating Varied Terrain-Considerate Road Networks
on Heightmaps with Directed Alternating Physarum
Agents","['Hijzelendoorn, Jeroen']","['Bakkes, S.C.J.']",2023-07-22T00:01:30Z,EN,['road network; pathfinding; slime mould; multi-agent; emergent behaviour; heightmap'],Game and Media Technology,"The purpose of this thesis is to procedurally generate path networks between multiple places on large, heightmap-based 3D terrains. The paths are to have similar features as hiking trails, meaning they wind up steep slopes, are not perfectly straight and try to avoid arduous terrain while minimizing path length. To achieve this goal, a slime-mould and ant colony optimization-inspired stochastic multi-agent simulation is proposed.
The resulting networks are graded on 6 properties to determine if the approach produces results of sufficient quality."
"BERT, but Better: Improving Robustness
using Human Insights","['Pieke, Michael']","['Nguyen, Dong']",2023-07-22T00:01:48Z,EN,[],Artificial Intelligence,"Pre-trained transformers are highly effective across numerous Natural Language Processing (NLP) tasks,
yet their ability to generalise to new domains remains a concern due to their tendency to rely on spurious
correlations. Consequently, this thesis investigates the impact of token-level human supervision to enhance
BERT's generalisation capabilities. Although the benefits of token-level insights have been shown to improve
the performance of these models, few studies have examined the effect of these insights to improve
generalisation. Consequently, this work explores the potential of human supervision to guide BERT's attention
mechanism towards salient features, thereby improving generalisation across domains. Results from
experiments in both binary and multi-label classification scenarios demonstrate not only substantial gains
in out-of-distribution (OOD) performance in few-shot contexts, but also a closer alignment between the
model's attention scores and salient features identified by human annotators. By emphasising the role of human
insight in transformer models, this thesis contributes to the ongoing discourse on enhancing performance
and explainability in NLP applications."
Rotating Black Holes in Dynamical Chern-Simons Gravity and the Four Laws of Black Hole Mechanics,"['Wakelkamp, Ramon']","['Hinderer, T.P.']",2023-07-22T00:01:51Z,EN,[],Theoretical Physics,
Spin-wave cloaking,"['Korporaal, Cas']","['Duine, R.']",2023-07-22T00:01:43Z,EN,"['spintronics, spin waves, transformation optics, cloaking']",Theoretical Physics,"Spintronics is a fast growing new field in physics that has the potential to make a significant
impact on all future electronics. It makes use of the electronic charge as well as its spin. Using
this spin as a second degree of freedom will potentially increase performance and efficiency
significantly. Possible information carriers can be introduced in the form of spin waves, which
are periodic rotations of the spins along their original alignment. However, these spin waves
can be distorted by impurities in spintronic devices. In this thesis we will use the field of
transformation optics to cloak impurities from these spin waves. We will introduce anisotropies
in the exchange interaction to accomplish this. By introducing a spintransfer torque in the
system we will achieve almost perfect cloaking."
Cultural Capital and Power Politics in Health Policy: The Case of HIV/AIDS in Uganda,"['Spaandonk, Mike van']","['Geelen, S.M.']",2023-07-22T00:01:44Z,EN,[],Medical Humanities,
"Enhancing table discovery and similarity evaluation in
data lakes","['Díaz De Burgos Llaberia, Víctor']","['Velegrakis, Ioannis']",2023-07-25T00:02:24Z,EN,"['Dataset discovery, text processing, keyword extraction, word embeddings']",Applied Data Science,"The discovery of relevant tables within a data lake is a crucial task for users
seeking to expand their available data and gain deeper insights into specific
topics. In this thesis, we propose several approaches to address the
problem of table discovery using similarity metrics. Our main objective is
to find the most similar tables in a data lake to a given query table.
We begin by comparing the columns of the query table with those of the
candidate tables using Jaccard similarity. This pairwise comparison allows
us to compute their similarity score. It presents efficiency challenges due to
the extensive computational requirements. To overcome these limitations,
we investigate the use of keyword-based approaches. We propose using
the Yake and LDA algorithms to extract the keywords that best represent
the tables and determine the similarity score with weighted Jaccard similarity.
These keyword-based approaches yield comparable accuracy scores
to the column-based methods while offering improved efficiency. However,
comparing keywords works poorer when tables contain data about a
similar but not exact same topic. We transform the keywords into embeddings
usingWord2Vec and BERT to be able to analyse the semantics of the
words. The similarity score in this case is determined by the weighted cosine
similarity between the vectorized keywords. Furthermore, we evaluate
our models using the NDCG@10 evaluation metric, which assesses the
ranking of the top tables based on a labelled data lake we annotated. We
show that LDA combined with Word2Vec is the most efficient and accurate
model when tables contain sufficient natural language textual data.
In conclusion, our research presents a comprehensive exploration of table
discovery in data lakes, focusing on similarity-based approaches. We
provide insights into the efficiency and accuracy of various methods, emphasising
the use of keywords and embeddings for table comparison. Our
findings contribute to the broader field of data discovery and serve as a
foundation for future research in improving table discovery techniques."
Why Algorithmic Decision Making Is Not Value-Neutral: Proposing a taxonomy of values in algorithmic decision making,"['Biekart, Marijn']","['Klein, Dominik']",2023-07-25T00:02:26Z,EN,['Algorithmic decision making; value judgments; fair AI; philosophy of AI; ethics; risk profiling.'],Artificial Intelligence,"Algorithmic decision making (ADM) is used to assist decisions that have far-reaching consequences for individuals and society as a whole, for example in hiring and criminal law. As such, it is important that ADM is fair. It is commonly believed that ADM is objective and neutral, which supports its fairness. The first aim of this thesis is to show that ADM is not, and cannot be, objective or neutral. Instead, ADM necessarily contains value judgments. In order to prove the existence of values in ADM, this thesis uses arguments from the philosophy of science, that show that science is not value-free. The parallels and differences between science and ADM indicate that values play an even bigger role ADM, compared to science. The second aim of this thesis is to propose a taxonomy of values in ADM, which indicates where values play a role, what values play a role, and how they play a role. There are two main purposes of the taxonomy: (1) it can be used by developers and regulators to recognize the values that play a role in ADM systems, ideally resulting in less unintentional outcomes; (2) it can be used to regulate ADM by informing public sector policies and laws. The practical use of the taxonomy is demonstrated by a case study, focusing on Rotterdam’s welfare fraud detection system, which uses risk profiles to indicate which recipients have a higher risk of committing fraud. This thesis provides a deeper understanding of the relation between values, bias, and unfairness in ADM. By acknowledging that ADM cannot be value-neutral, this thesis shifts the focus from omitting bias to managing bias, in an effort to make ADM fairer for everyone."
A Matter of Interest: Academic Boredom and Mental Health Among European VET-students,"['Borkhuis, Eva']","['Coopmans, M.']",2023-07-26T14:00:36Z,EN,[],Youth Studies,"Previous research has demonstrated a rise in mental health issues among European adolescents, underlining the importance of gaining more insight into the mechanism behind this phenomenon. Among students, valuing their study (subjective value) or experiencing a sense of control over it (subjective control) has been associated with positive mental health. A lack of either has been associated with high levels of boredom during class (academic boredom). The extent to which academic boredom can explain the relationship between either subjective value or control and mental health has not been explored. The current study investigates this possibility with a cross-sectional design among European VET-students (n = 180), aged 15 to 19, since there is relatively little known about this population on the matter of mental health. An online questionnaire was distributed during their Civic Education (CE) course. As expected, a higher sense of value towards CE related to lower levels of academic boredom during CE, which in turn was associated with better mental health among students. No relations were found between CE-related subjective control and either academic boredom or mental health. Future research and interventions aimed at adolescent mental health must consider the role of academic boredom."
The contribution of buildings towards commitments within the EU Biodiversity Strategy for 2030 and derived policies in the Netherlands – opportunities and implementation gaps,"['Haan, Leanne']","['Frantzeskaki, Niki']",2023-07-25T00:02:20Z,EN,"['Governance, European Union, Biodiversity Strategy, Nature-based Solutions']",Bio Inspired Innovation,"As the world’s biodiversity continues to decline, the need for a system’s change is bigger than 
ever. Strong and effective policies and governmental frameworks are required to facilitate this process 
and ensure nature conservation. Unfortunately, past experiences show that policymaking can be prone 
to implementation gaps. A common missing link in meeting targets and commitments is the inclusion 
of important sectors, such as the built environment. With the rise of different biodiversity enhancing 
strategies for buildings, the contribution of the built environment towards nature conservation holds 
great potential. In this review, we assess commitments within the European Union Biodiversity Strategy 
for 2030 and derived policies in the Netherlands for their acknowledgement of this potential, and 
identify missing links and implementation gaps. According to our analysis, the Biodiversity Strategy for 
2030 promotes these strategies sufficiently, but some missing links exist in Dutch polies and legislation. 
On the upside, we also discovered many action plans, initiatives and strategies in play that allow a 
promising future for biodiversity."
