title,authors,supervisors,date,language,keywords,program,abstract
Phase transitions of the Swedenborgite antiferromagnet & quasiparticle interference in a topological insulator,"['Dalum, G.A.R. van']","['Fritz, L.']",2016-07-25T17:00:56Z,en,"['Phase transitions, geometric frustration, Swedenborgite lattice, Heisenberg model, antiferromagnetism, spin waves, topological insulators, quasiparticle interference, impurity scattering, tight-binding model']",Theoretical Physics,"In this thesis, we study two separate subjects. First, we examine phase transitions of the antiferromagnetic Heisenberg model on the Swedenborgite lattice. This three-dimensional model contains two different interactions, and there is a critical ratio of these interaction strengths that separates a region with a unique ground state from a region where geometric frustration prevents the existence of such a ground state. First, we explain the possible phase transitions in these different regions by means of phenomenological Landau theory and mean-field theory. Afterwards, a spin wave analysis is performed that shows how thermal fluctuations can destroy the unique ground state. In the vicinity of the critical ratio, we find that the critical temperature that separates the unique ground state from a disordered phase scales linearly with the ratio of interaction strengths. This successfully completes an important section of the phase diagram of this model.

The second part covers quasiparticle interference in the Cu doped topological insulator Bi2Te3. The effects of impurity scattering are calculated using an effective low-energy tight-binding model, along with a single local surface impurity. We find two distinct six-fold rotationally symmetric scattering patterns corresponding to two different energy windows. A comparison with the band structure of the system suggests that this distinction is caused by the interplay between edge states among themselves and with the conduction band. We also find that the symmetry and rotational orientation of the model results are in good agreement with experiments. However, this requires a special type of impurity that only couples to the electrons from a single orbital."
Thermodynamic signatures of topological phases,"['Kempkes, S.N.']","['Morais Smith, Cristiane', 'Quelle, Anton']",2016-07-25T17:00:59Z,en_US,"['Topological insulators, topological superconductors, graphene, thermodynamics, statistical physics, phase transitions, universalities']",Theoretical Physics,"For a long time, it was believed that the Ginzburg-Landau formalism was able to classify all different types of phase transitions. This view changed with the discovery of the quantum Hall effect and topological insulators. Topological insulators (superconductors) are materials that host symmetry-protected metallic edge states in an insulating (superconducting) bulk. Although topological insulators are well understood by now, a thermodynamic description of their behavior remained elusive, firstly because the edges are lost in the thermodynamic limit, when the system size goes to infinity, and secondly because topological quantum field theories involve non-local order parameters, and hence cannot be captured by the conventional Ginzburg-Landau formalism. Recently, this challenge has been overcome: by using Hill thermodynamics to describe the paradigmatic Bernevig-Hughes-Zhang model in two dimensions, it has been shown that at the topological phase change the thermodynamic potential does not scale extensively due to the boundary effects.

Here, we extend this thermodynamic approach firstly to the Kitaev chain in one-dimension and then to different topological models in various dimensions (the Su-Schrieffer-Heeger model in one dimension, the Kane-Mele model in two dimensions and the Bernevig-Hughes-Zhang model in three dimensions) at zero temperature. Surprisingly, we find that all these models exhibit the same universal behavior in the order of the topological-phase transition, which depends on the dimensionality of the system. Next, we use this thermodynamic approach to describe topological phases at finite-temperatures. We calculate the entropy and heat capacity for the Kitaev chain and verify its behavior in comparison with conformal field theory. Furthermore, we extend the topological phase transition to finite-temperatures, by numerically deriving the topological phase diagram for the bulk of the system, and show that it displays a good agreement with the one calculated analytically from the Uhlmann phase. Finally, we calculate measurable quantities such as the density of states and the heat capacity for different topological insulators. Our work reveals unexpected universalities and opens the path to a thermodynamic description of systems with a non-local order parameter, provided that nonlinear terms are appropriately taken into account for the thermodynamic extensive variables."
Asymptotic analysis of nonlinear tides in Wadden systems - the role of momentum sinks.,"['Hepkema, T.M.']","['Swart, H. E. de', 'Zagaris, A.']",2016-07-25T17:00:59Z,en,"['asymptotics, tidal channel, shallow water equations, momentum sink.']",Mathematical Sciences,"This study aims to contribute to a better understanding of physical mechanisms in tidal channels as present in, for example, the Dutch Wadden Sea. Understanding these mechanisms will contribute to effective management of the Wadden Sea and help preventing flooding in coastal areas. In this study we consider a tidal channel with tidal flats on both sides, that is connected on two sides to an open sea. The model is an idealized version of the channel connecting the Marsdiep and the Vlie in the Netherlands. 

The specific mechanism studied is that of momentum dissipation on tidal flats. 
Rising water level leads to water masses flowing onto the flats, carrying momentum. The water flows back into the channel during the falling tide after being temporarily stored on the flats. However, due to large friction on the shallow flats, the momentum dissipates rapidly. This is a momentum sink. The terms arising from the mass storage and the momentum dissipation are nonlinear and give rise to overtides of the primary (semi-diurnal lunar) tide, which in turn affect net sediment transport. 

Here, we build on and extend a recent numerical study so as to better understand
the effect of momentum sink on characteristics of the primary tide and of its overtides. This is done by constructing an asymptotic approximation to the solution of the cross sectionally averaged shallow water equations that model the hydrodynamics in a tidal channel. The analytic approach enables assessment of the effect of the momentum sink and quantification of the differences between solutions that do or do not account for it. Multiple effects of the momentum sink on the hydrodynamics are found. In particular, when the tidal flats are approximately of the same width as the main channel no significant effects of momentum sink are found. However, when the tidal channel has wide tidal flats compared to the main channel, the momentum sink causes significant tidal distortion."
Spin chains and Yangians,"['Stronks, W.L.N.']","['Schuricht, D.', 'Leur, J.W. van de']",2016-07-25T17:00:57Z,en,['spin chain; Yangian; condensed matter physics; theoretical physics; Haldane-Shastry model; integrable spin chain; R-matrix; Yang-Baxter equation'],Theoretical Physics,"In this thesis we theoretically investigate the close relation between spin chains and Yangians. First, we investigate the Haldane-Shastry model, which symmetry algebra is a representation of the Yangian. We show this in full detail for the spin-1/2 model. We also give an argument why a spin-1 chain with Yangian symmetry cannot exist. 
After that, we turn to integrable spin chains which are constructed using the quantum inverse scattering method. Using this method, an integrable spin chain can be constructed from each so called R-matrix, which is a solution of the Yang-Baxter equation. Our main result is the construction of an R-matrix that is invariant under the adjoint representation of SU(n), which is found using an intertwining operator for the corresponding Yangian representation. The integrable
spin chain that corresponds to this R-matrix is non-Hermitian, making its physical interpretation unclear. These results have been published recently as a preprint under arXiv:1606.02516. 
Finally, integrable spin chains with defects are studied. We present the Hamiltonian for the Heisenberg model and the Babujian-Takhtajan model with defects, such that these models keep there integrability while staying Lie algebra invariant."
Dynamical interactions in (2+1)D Dirac systems,"['Kooi, S.H.']","['Morais Smith, C.']",2016-07-25T17:01:00Z,en,"['Quantum Electrodynamics, condensed matter, conductivity,']",Theoretical Physics,"In this thesis we study the full relativistic and dynamical interaction in (2+1)D Dirac systems. First, we briefly introduce condensed-matter realizations of such systems and discuss some of their key properties. After this, following work by Marino, we project Quantum Electrodynamics (QED) onto a plane, and show that the (2+1)D Pseudo-QED Lagrangian is equivalent to this projection. The properties of this Lagrangian are discussed, and it is shown that it describes unscreened Coulomb interaction in the static limit. A review is made of results of Pseudo-QED in the literature, focusing on obtaining the transverse conductivity. We reproduce results in the literature showing that a quantum valley Hall current may be generated by dynamical interactions for both the massive and massless case, and a quantum Hall current in the massive case. We then couple massive Pseudo-QED to a massive scalar field via a quartic interaction to study the effect on the generated transverse currents. We find that the quantum valley Hall current obtains a non-universal correction dependent on the ratio of the fermionic and scalar field masses. We also consider massless Pseudo-QED coupled to a scalar field and calculate the divergent Feynman diagrams involving the scalar field. These could be used for a renormalization group (RG) analysis of the system to investigate how the RG-flow of massless Pseudo-QED changes under the influence of a scalar field. We end by briefly considering other applications of Pseudo-QED and other projections of QED in the outlook."
The conformal limit of inflation,"['Wijck, J.V.S. van']","['Pajer, E.']",2016-07-25T17:00:58Z,en,['Slow Roll inflation Conformal cosmology theoretical physics'],Theoretical Physics,"In this thesis, we study the origin of the primordial fluctuations in the Cosmic Microwave Background by assuming that they originated from quantum fluctuations in the early universe, which stretched to cosmic size during a period of inflationary expansion. We shall consider the
case of slow-roll inflation, a single field rolling down a flat potential. The main predictions of such models are characterized by two slow-roll parameters   and η. Recent measurements of the temperature and the polarization fluctuations in the CMB suggest that these parameters
satisfy   . η/3. This inequality will become much stronger in the absence of the detection of primordial B-modes. Therefore, the natural question to ask is what characterizes this     η limit, or more generically, what characterizes the   → 0 limit. We will refer to this limit as the decoupling limit. As we will see, a new hierarchy in the way of organizing the slow-roll expansion will arise. In addition, the isometries of the background will reduce to that of a de Sitter space-time. When the physical wavelength of the perturbations becomes super Hubble size, the de Sitter-isometries acting on the inflaton perturbation correlation functions will reduce to those of a Euclidean conformal field theory. In this limit, the inflaton perturbation correlation functions become fully fixed by the conformal symmetries. For this reason, we will refer to this limit as the conformal limit of inflation. Last but not least, in conformal limit, the equilateral non-Gaussianities can be approximated by the spectral tilt of the potential, fNL ∼ αs."
Computation of Units in Number Fields,"['Jacobs, S.J.']","['Beukers, F.']",2016-07-25T17:00:56Z,en,[],Mathematical Sciences,"We discuss three algorithms to find small norm elements in number fields. One of these algorithms is a continued fraction-like algorithm based on the LLL-reduction of positive definite quadratic forms as suggested by Beukers. The other two algorithms are adaptations of that algorithm. We discuss how to find units from these small norm elements and how to extract a system of independent units from that. We discuss properties of these algorithms and compare them to algorithms by Cohen, Diaz y Diaz, Olivier, by Buchmann, Peth\H{o} and by Pohst, Zassenhaus. We run tests on an implementation of these algorithms in Mathematica."
Uniform Kan cubical sets as a path category,"['Donselaar, N.']","['Berg, B. van den', 'Oosten, J. van', 'Moerdijk, I.']",2016-07-25T17:00:54Z,en,"['category theory, homotopy theory']",Mathematical Sciences,
The Point of no Return in Climate Change,"['Zalinge, B.C. van']","['Dijkstra, H.A.']",2016-07-25T17:00:57Z,en,[],"Meteorology, Physical Oceanography and Climate",
One-Loop Calculations and the Mass of the Top Quark,"['Sunder, M.P.A.']","['Laenen, E.L.M.P.']",2016-07-25T17:01:02Z,en,"['one-loop calculations, QED, photon regulator, self-energy, vertex-correction, renormalisation scheme, Noether current, Ward-Takahashi identity, standard model, top quark, optical theorem, Borel transform, potential-subtracted mass, toponium']",Theoretical Physics,"The top quark pole mass is affected by perturbative divergences known as renormalons, therefore this mass parameter possesses a theoretical ambiguity of order Λ_{QCD}, the infrared scale of divergence. We subtract a part of the static t\overline{t} potential and obtain the potential-subtracted mass which is renormalon-free and thus measurable with bigger precision. We demonstrate the presence of the renormalon ambiguity in the top quark pole mass and in the static t\overline{t} potential and with this the cancellation of the renormalon ambiguity in the potential-subtracted mass. Before we discuss renormalons, we review how one computes one-loop quantum corrections in QED and the SM, starting from the gauge-principles that underlie these theories. We focus on renormalisation and its non-perturbative implications, we discuss how the conservation of Noether current affects the counter terms in QED and verify the optical theorem explicitly for top quark decay."
Singularities in Spacetimes with Torsion,"['Lam, H. het']","['Prokopec, T.', 'Cavalcanti, G.R.']",2016-07-25T17:01:00Z,en_US,"['Einstein-Cartan Theory, Torsion, Singularity, Singularity theorems, Conjugate Points, FLRW spacetime']",Theoretical Physics,"We study the singularity theorems of Hawking and Penrose in spacetimes with non-vanishing torsion (Einstein-Cartan theory). Assuming that test particles move on geodesics we manage to generalize those theorems to the case of totally anti-symmetric torsion. In doing so we derive the generalized Raychaudhuri equation for timelike geodesics and arbitrary torsion. For totally anti-symmetric torsion we find that the vorticity of a geodesic is directly related to the torsion. We find that the theorems are not directly extendable to spacetimes that have non totally anti-symmetric torsion; other arguments are needed. However, we formulate a construction that enables one to create a null geodesically incomplete spacetime with vectorial torsion starting from a spacetime that is null geodesically incomplete with respect to the Levi-Civita connection.

The geometric assumptions of the singularity theorems can be translated to assumptions on the matter content of spacetime via the equations of motion of the theory. We studied the two ways of deriving these equations. It turns out that for totally anti-symmetric torsion the metric formalism, in which one takes the metric and torsion as dynamical variables and assumes metric compatibility, is equivalent to the metric-affine formalism, in which one takes the metric and connection as dynamical variables and does not assume metric compatibility. Matter in the Standard model induces totally anti-symmetric torsion. We also generalize the Bianchi identity and conservation of the energy-momentum tensor in general relativity to Einstein-Cartan theory.

We examine the singularity theorems in FLRW spacetimes (assuming vanishing torsion). We argue that one should not use the general definition of a singularity in these spacetimes but should define a singularity as a comoving geodesic that is incomplete. We prove theorems for FLRW spacetimes about the relation between conjugate points and a singularity. In particular we show that for a class of singular spacetimes all points on certain geodesics are conjugate to the point at the singularity. Also when every point on a geodesic is conjugate to a certain point, one must have a singularity. Lastly we show under which condition a geodesic in an FLRW spacetime with flat spacelike three-surfaces has conjugate points."
Non-trivial trajectories in multi-field inflation,"['Cancer Castillo, V.']","['Pajer, E.']",2016-07-25T17:01:01Z,en,"['inflation, cosmology, multifield, multi-field, slow-roll']",Theoretical Physics,"Inflation is a theory that provides an attractive explanation for the early evolution of our universe, producing a large, spatially flat and really homogeneous observable universe. At the same time, it explains how inflation may be a source for the small primordial perturbations that we observe in the sky and are the origin of large-scale structures today. 
Initially it was considered that only one scalar field would be enough to describe inflation but in recent years we have learnt from string theory that one could expect to find more than one scalar field that could play a role in inflation, opening a wider scenario for this theory. The conditions we need to ask to the scalar field in the case of having a single one are clear, but these are not so evident in multi-field case. At the same time, we know how potentials must be in single-field in order to satisfy these conditions, but again, it is far from clear what potentials must be ruled out of the multi-field case. 
Here we derive the correct conditions for multi-field inflation and which potentials can be used in such a case. Usually people only consider the case where the field follows the gradient of the potential, because they use conditions analogous to the single-field ones, but with the conditions derived here we can argue that multi-field inflation is more general than that, as, for instance, trajectories perpendicular to the gradient of the potential seem to fulfil the necessary conditions to get an inflationary epoch in our universe. An stable model with such a trajectory is shown at the end of this thesis."
A new slow-roll paradigm in multifield inflation,"['Urzainqui Aramburu, I.']","['Pajer, E.']",2016-07-25T17:01:02Z,en_US,"['Cosmology, Inflation']",Theoretical Physics,"Increasing effort has been put over the past few years to understand the consequences of the presence of several scalar fields in an early inflationary phase, since theories beyond the Standard Model generically predict such scenarios. The wealth of experimental information that can be obtained from the Cosmic Microwave Background is not yet conclusive about whether cosmic inflation was driven by one or by many scalar fields. Nevertheless, multifield inflationary models produce a great diversity of features that will potentially be measurable in the foreseeable future. In this thesis we wonder about the following elemental question regarding the widely used slow-roll approximation in multifield models: what are the conditions for multifield inflation? As surprising as it might seem, that question, which could be considered as a prior to further developments, did not have a closed answer in the literature on the subject. In this work we give the correct interpretation of the slow-roll approximation in multifield models of inflation and present some interesting new phenomena that arise from this improved understanding."
Inverse magnetic catalysis in QCD and holography,"['Nijs, G.H.']","['Gürsoy, U.', 'Kuznetsov, Y.']",2016-07-25T17:01:01Z,en_US,"['holography, AdS/CFT, QCD, inverse magnetic catalysis']",Theoretical Physics,"A holographic model of a QCD-like theory in a magnetic background is
studied in the limit of an infinite number of colors Nc and infinite massless
quark flavors Nf, where the ratio x = Nf/Nc is kept constant at 1. The
gravitational model contains two scalar bulk fields, namely a dilaton λ,
which is the source of tr F^2 , with F the gluon field tensor, and a tachyon
sourcing the chiral condensate &lt;q̄q>. This model is used to compute both
the chiral and the deconfinement phase transition temperatures, as well as
the chiral condensate. This leads to a computation of the phase diagram
of QCD in the (T, B)-plane, as well as the observation of inverse magnetic
catalysis of the chiral condensate by the magnetic field, in qualitative
agreement with lattice results."
A neuron based model for data storage and retrieval,"['Roberts, S.P.']","['Barkema, G.']",2016-07-25T17:01:03Z,en,[],Theoretical Physics,"Memory is thought to be divided into two separate stores, one short term and one long term. The mechanism behind short term storage is significantly less well understood than that of long term storage and it is the storage of short term memories that is the focus of this work. A computational approach is taken to exploring a possible mechanism by which they are encoded and stored. This mechanism is comprised of a temporally patterned signal which exists persistently in a pre-existing network that has been stochastically constructed to support such behaviour. It is found that persistence of activity is achievable in a full neuronal model by introducing negative feedback in the form of a delay period in which a synapse may not fire. In addition, it is found that network cycles which could support storage of temporally patterned signals are achievable in simplified models constructed in analogy to the full model. Finally, some signs that storage may also be present in the full model are observed."
Scalar quantum electrodynamics in de Sitter space from the non-perturbative renormalization group,"['Fabian Gonzalez, F.']","['Prokopec, T.']",2016-07-25T17:01:00Z,en,[],Theoretical Physics,"We apply the non-perturbative renormalization group techniques to integrate out strongly fluctuating infrared modes for a scalar field in de Sitter universe. Using an spontaneously broken potential that is already know, using the two non-perturbative techniques, the stochastic formalism and the renormalization group approach, to spontaneously recover the symmetry due to the strongly fluctuating IR modes. And adding photons interaction to the effective potential we show that the symmetry restoration gets enhanced by the photons. Finally we compare the know results obtained using both methods for the scalar mass and the photon mass, that is know to acquire a non-vanishing mass during inflation, allowing us to compare both methods."
Phase and vacancy behaviour of hard slanted cubes: a quantitative analysis on the influence of shape,"['Damme, R. van']","['Filion, L.']",2016-07-25T17:01:06Z,en,"['Cube, Cubic, Rhomb, Rhombic, Monte Carlo, Monte, Carlo, MC, Vacancy, Vacancies, Hard cube, free energy, shape, shape switch, switch, phase behaviour, phase diagram, slant, slanted cube, tilt, tilted cube, isotension, isotension-isothermal ensemble, Einstein integration, Frenkel-Ladd, Einstein molecule, crystal, rhombic crystal, sheared cubic, random tiling, random, tiling, separating axis, equation of state, simulation, physics, colloid, computational, biased Monte Carlo, biasing, solid, coexistence']",Nanomaterials: Chemistry and Physics,"In this thesis, we study the phase and vacancy behaviour of hard slanted cubes (right rhombic prisms) as a function of their shape, defined through the shape parameter $\theta$ which is the slant angle of these particles. To study the phase behaviour, we use of Monte Carlo simulations in the isotension-isothermal ensemble. We find that these particles form three different crystal structures depending on the slant angle and the density: a simple cubic crystal, a sheared cubic crystal and a hexagonal random tiling crystal. We summarize these results in a phase diagram. To study the vacancy behaviour, specifically that of the simple cubic crystal, we use free energy calculations; both standard Einstein integration methods as well as a scheme which employs thermodynamic integration over the shape. This scheme will be explained in detail, as it could be useful for applications in other systems as well. We find that the vacancy concentration in this simple cubic crystal of slanted cubes does not depend on the shape of the particles, but only on the packing fraction."
Improving weather and climate predictions by Cross Pollination in Time,"['Schevenhoven, F.J.']","['Selten, F.M.', 'Frank, J.E.']",2016-07-25T17:01:06Z,en,"['Weather and climate models, dynamical systems, chaos, supermodeling']",Mathematical Sciences,"Historically, weather and climate forecasting has always been important. But the changing climate with the increasing frequency of extreme weather events and larger societal impacts has made good forecasting skill of even more interest (IPCC 2013). Improving individual weather and climate models is a difficult task, but models have improved steadily over time as witnessed by objective skill scores. Recently it has been proposed to combine imperfect models dynamically in order to further improve predictions. In this thesis we explore a technique called Cross Pollination in Time (CPT, Smith 2001). In the CPT approach the models exchange states during the prediction. The number of possible predictions grows quickly with time and a strategy to retain only a small number of predictions, called pruning, needs to be developed. In the training phase a pruning strategy is proposed based on retaining those solutions that remain closest to the truth. From the training phase probabilities are derived that determine weights to be applied to the imperfect models in the forecast phase. The CPT technique is explored using low-order dynamical systems and applied to a global atmospheric model. The results indicate that the CPT approach improves the forecast quality over the individual models. The technique is suited for application to state-of-the art high-dimensional weather and climate models."
Interactions in Weyl semimetals of type I,"['Detassis, F.']","['Fritz, L.']",2016-07-25T17:01:05Z,en,"['Weyl semimetals, Dirac material, Dirac semimetal, renormalization group, linear response, polarization function']",Theoretical Physics,"The discovery of graphene opened the way to an intriguing field in condensed matter: that of Dirac materials
(DM). In these materials, electrons have a linear dispersion relation, making them a solid-state analoguos
of relativistic massless particles. The possible realization of DM in three dimensions has drawed a lot of
attention, since these systems are much more stable than their 2D cousins, e.g. graphene. In my research I
focus on three dimensional DM and investigate their properties once an additional interaction term is added
to the Hamiltonian. This latter has the effect of tilting the characteristic Weyl cones in the momentum space
and breaks isotropy. We will investigate whether this symmetry breaking finds a signature in observables
that can be measured: to this end we will compute both the optical conductivity and the polarization
function in the framework of linear response theory.
Finally we will study the role of interactions within the system: using a renormalization group approach we
will investigate whether the tilting term brings some differences in the system parameter’s flow."
