title,authors,supervisors,date,language,keywords,program,abstract
"The M-Word: Assessing the appropriateness of the menstrual cup as a tool for the menstrual hygiene management of girls in Siaya County, Kenya","['Geut, R.']","['Rammelt, C.']",2018-02-20T18:01:26Z,en,[],International Development Studies,
Captain America and Iron Man: American Imperialism in the Cold War,"['Vergeti, M.']","['Verheul, Dr. J.']",2018-02-20T18:01:11Z,en,[],American Studies,
Iteration of Rational Functions in Positive Characteristic,"['Meijden, L.M. van der']","['Cornelissen, G.L.M.']",2018-02-26T18:00:52Z,en,['dynamical zeta function; positive characteristic; abelian varieties; transcendence; dynamical systems; arithmetic dynamical systems; elliptic curves; fixed points'],Mathematical Sciences,"In arithmetic dynamics we study the iteration of a map f on a set S with a certain number-theoretical meaning. We use the dynamical zeta function, which encodes all information on the (finite) number of fixed points of all n-th iterates of f on S. We are particularly interested in the case where S consists of all points of an algebraic variety X over the algebraic closure of the ground field.

If X is the projective line over a field K of characteristic zero, and f is a rational map of degree at least 2, then the dynamical zeta function is a rational function over Q(T). However, if K has positive characteristic, then the dynamical zeta function of so-called dynamically affine maps, which are morphisms of a strongly group-theoretical nature, becomes transcendental over Q(T). 

Under some assumptions, we prove new results for separable endomorphisms on an elliptic curve E over a field K of characteristic p>0, and for multiplication-by-m maps on abelian varieties, where p does not divide m.

Such transcendence results indicate that for characteristic p>0 the number of fixed points does not have an easy pattern. The tame dynamical zeta function is introduced as an alternative for the original dynamical zeta function; it only counts n-th iterates for p not  dividing n. We prove a new theorem which tells us that for dynamically affine maps, the tame dynamical zeta function is algebraic."
Webcare in Beweging,"['Valk, N.D.']","['van Charldorp, Tessa']",2018-02-27T18:01:10Z,nl,"['Webcare, moves, functionele analyse, communicatieve doelen, sportscholen']",Communicatie- en informatiewetenschappen,"Communicatie tussen organisaties en stakeholders verloopt steeds vaker via het internet. Consumenten nemen bijvoorbeeld via internet contact op met een organisatie om een vraag te stellen of een klacht in te dienen. Dit gebeurt veel op de sociale media van organisaties. Wanneer deze organisaties hier vervolgens online op reageren wordt webcare genoemd.

Aangezien webcare een redelijk nieuw verschijnsel is, is er relatief weinig bekend over dit fenomeen. Er is weliswaar onderzoek gedaan naar waaraan goede webcare moet voldoen, maar er is nog weinig onderzocht hoe webcare daadwerkelijk wordt bedreven door organisaties. Bovendien maakt het openbare en toegankelijke karakter van sociale media het onmogelijk om een gesprek te controleren als organisatie zijnde, waardoor het moeilijk is om aanbevelingen van onderzoekers direct toe te passen.

Studenten Communicatie- en Informatiewetenschappen aan de Universiteit Utrecht onderzochten hoe verschillende sectoren en organisaties hun webcare in de praktijk vormgeven. Door dit inzichtelijk te maken kan duidelijk geschetst worden hoe webcare op dit moment in Nederland wordt gebruikt. Op basis van deze informatie, eventueel aangevuld met andere studies, kunnen organisaties in staat gesteld worden om hun webcare bewuster en effectiever te beheren.
In dit eindwerkstuk stond de webcare van sportscholen in Nederland centraal. Deze webcare werd onderzocht aan de hand van het concept moves. Een move is een tekstdeel met een specifieke communicatieve functie. Door te kijken naar de gehanteerde moves en de gediende communicatieve doelen in de webcare van de sportscholen kan er weergegeven worden hoe Nederlandse sportscholen op dit moment hun webcare vormgeven.

Uit de resultaten is gebleken dat de webcare van Nederlandse sportscholen vooral wordt gebruikt om stakeholders informatie te verschaffen. Andersom worden de Facebook-pagina’s van sportscholen door stakeholders gebruikt als informatiepunt. Verder wordt er in de webcare van de sportscholen veel geprobeerd de consument ervan te overtuigen dat de sportschool begaan is met het lot van de consument door medeleven te tonen."
Invloed van Ouderlijke Persoonlijkheid op Externaliserend Probleemgedrag van Adolescenten die MST Volgen.,"['Vervoort, L.M.W.']","['Mertens, E.', 'Buist, K.']",2018-02-27T18:01:00Z,nl,['Ouderlijke persoonlijkheid; externaliserend; probleemgedrag; MST'],"Clinical Child, Family and Education Studies","Het doel van deze studie is het onderzoeken van de invloed van ouderlijke persoonlijkheid op de effectiviteit van Multisysteem Therapie (MST) in het verminderen van externaliserend probleemgedrag van adolescenten. Dit onderzoek maakt deel uit van een groter onderzoek naar de effectiviteit van MST in Nederland. De adolescenten die deel uitmaken van dit onderzoek zijn geworven door rechters, maatschappelijk werkers of geworven uit eigen initiatief. In totaal hebben 147 adolescenten en ouders deelgenomen aan dit onderzoek. De gemiddelde leeftijd van de adolescenten varieerde tussen de 12 en 18 jaar (M = 15.34; SD = 1.41) en bestond voor 71% uit jongens en 29% uit meisjes. Zowel voor als na de interventie zijn vragenlijsten ingevuld. Om externaliserend probleemgedrag te meten is gebruikt gemaakt van Youth Self Report voor adolescenten en de Child Behavioral Check List voor ouders. Ouderlijke persoonlijkheid is gemeten via de Big Five en maakt onderscheid tussen vijf persoonlijkheidsschalen: Extraversie, vriendelijkheid, zorgvuldigheid, emotionele instabiliteit en openheid. Om na te gaan of ouderlijke persoonlijkheid invloed heeft op het verminderen van externaliserend probleemgedrag, is een regressie analyse uitgevoerd. Uit de studie is gebleken dat er enkel een verband is tussen de ouderlijke persoonlijkheid openheid op de vermindering van externaliserend probleemgedrag. Dit verband is het grootst als ouders een hoge score hebben op openheid. Huidig onderzoek biedt nieuw inzichten en aangrijpingspunten voor de praktijk. Echter is vervolgonderzoek naar de invloed van ouderlijke persoonlijkheid op externaliserend probleemgedrag voor adolescenten die MST volgen wenselijk omdat er discrepantie is tussen het huidige onderzoek en literatuur."
Van de Dom tot de Dijk: Een vergelijking van identificatie en classificatie tussen Volendam en Sterrenwijk,"['Eliasar, T.E.', 'Helsloot, M.']","['Luitjens, M.R.', 'Prins, A.']",2018-02-27T18:01:01Z,nl,"['sociale cohesie, classificatie, nationale identificatie,  in- en uitsluiting, Volendam, Sterrenwijk']",Culturele antropologie en ontwikkelingssociologie,"Dit onderzoek kijkt naar de link tussen nationale identificatie en etnische in- en uitsluiting in Volendam en Sterrenwijk. Hierbij is aandacht voor lokale en nationale identificatie, sociale classificatie en sociale cohesie. De twee locaties zijn gekozen omdat naar aanleiding van het literatuuronderzoek werd verwacht dat er een anti-immigratie sentiment aanwezig zou zijn, en er een hechte band zou zijn met de lokale en nationale identiteit. De bevindingen tonen aan dat er een bijzondere band is met de lokale identiteit en een sterke sociale cohesie."
Happy at Work: Aspects of Social Capital and their Influence on Future Job Satisfaction,"['Rotte, Y.M.A.']","['Kristiansen, M.H.', 'Mandemakers, J.J.']",2018-02-27T18:01:00Z,en,[],Sociologie,
Het International Film Festival in Rotterdam: Een springplank voor Nederlandse filmmakers?,"['Vlies, E.A.I. van der']","['Thissen, J.']",2018-03-05T18:01:05Z,nl,"[""Filmfestivals, IFFR (International Film Festival in Rotterdam), (Nederlandse) Filmmakers, Springplank, Interviews, CineMart, Art for art's sake""]",Media en cultuur,"Het International Film Festival in Rotterdam: Een springplank voor Nederlandse filmmakers?
Dit onderzoek richt zich exclusief op de ervaringen van filmmakers die in Nederland werkzaam zijn. Het IFFR stelt dat zij een springplank kan zijn voor Nederlandse filmmakers. In hun beleidsplan (bladzijde 6) staat geschreven: “Voor Nederlandse filmmakers kan ‘Rotterdam’ een belangrijke springplank vormen: wie tijdens het festival zijn project presenteert, is verzekerd van de aandacht van de internationale arthouse-filmwereld”.
Om te onderzoeken hoe dit in de praktijk gaat en wat de verschillen van inzicht zijn tussen filmmakers onderling en tussen de filmmakers en het IFFR heb ik interviews afgenomen met vier Nederlandse filmmakers, een gepensioneerd medewerker van het NFF en een medewerker van CineMart (IFFR)."
"Rechtvaardigheid en vluchtelingen acceptatie: een onderzoek naar het verband tussen focus, perceptie van rechtvaardigheid en attitudes naar vluchtelingen in Nederland.","['Dijke, V.A.S. van']","['Bal, M']",2018-03-02T18:01:00Z,nl,[],Liberal Arts and Sciences,
"Het inlijsten van de geschiedenis
Een onderzoek naar de DDR, BRD en post-Wende historiografie over de Spartakusbond","['Marks, J.B.']","['Krol, R.A.']",2018-03-07T18:01:03Z,nl,"['DDR, BRD, Wende, Duitse historiografie, Spartakusopstand, Rosa Luxemburg, Karl Liebknecht, communisme, KPD, Weimarrepubliek, massa-activisme, Russisch bolsjewisme, pacifisme']",Geschiedenis,"In deze scriptie wordt de historiografie over de Spartakusbond onderzocht uit de periodes van de Koude Oorlog in Duitsland (1950-1989), waarbinnen een onderscheid wordt gemaakt tussen de Oost-Duitsland (DDR) en West-Duitsland (BRD), en na de Wende van 1989 tot nu. De Spartakusbond was een sociaal-communistische beweging actief tijdens de Novemberrevolutie in Duitsland in 1918/1919. De leiders van de bond waren Karl Liebknecht en Rosa Luxemburg. De historiografie rond de Spartakusbond wordt onderzocht aan de hand van drie thema’s: massa-activisme, de verhouding met het Russisch bolsjewisme en pacifisme. Aan de hand van primaire literatuur worden de standpunten van de bond onderzocht. Uit de historiografie bleken de volgende punten:
•	Historici uit de DDR schreven normatief over de Spartakusbond. Hun interesse binnen de geschiedschrijving gaat uit naar de arbeidersklasse en is bottom-up.
•	In de BRD was er met name aandacht voor de politieke gevolgen waar de acties en geschriften van de Spartakusbond tot leidde. Deze historiografie heeft een top-down perspectief.
•	In de historiografie van na 1989 is thema ‘massa-activisme’ dominant. Voor de thema’s ‘verhouding met het bolsjewisme’ en ‘pacifisme’ is de aandacht verslapt. 
Aan de hand van Erving Goffmans theorie over ‘framing’ en theorieën over politisering van geschiedenis kunnen deze constateringen verklaard worden. Zowel de communistische DDR als kapitalistische BRD hadden er beide belangen bij de geschiedenis zo te interpreteren dat het in hun eigen wereldbeeld paste, omdat ze hiermee de legitimiteit van hun eigentijdse maatschappij aantonen. Voor de DDR was dit door een lijn met Rusland te creëren in zijn geschiedenis, terwijl de BRD hier juist meer kritiek op leverde, net als in de contemporaine politieke situatie van beide staten. De geschiedenis van de Spartakusbond werd dus geïnstrumentaliseerd. De historiografie na de Wende is zich bewust van de ‘framing’ van de voorgaande historiografie, maar dit is juist onderdeel van het eigen ‘frame’. De nadruk op het thema massa-activisme laat zien dat daar interesse voor is in een wereld die zelf veelal onderhevig is aan populisme en massa-activisme. Hiernaast baseert deze geschiedschrijving zich op literatuur uit de BRD en DDR waardoor de politieke geladenheid niet eenzijdig is."
