year,course_title,language,college,lecturers,programmes,text
2020,Masterlanguage: Reading List Greek,English,Graduate School of Humanities,['/xmlpages/page/2020-2021/zoek-docent/docent/500403'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6110'],"['Objectives', 'Een nagelaten canon: hoogtepunten uit de Griekse literatuur Het doel van het vak is verdieping van de kennis van de Griekse literatuur aan de hand van teksten die ook geschikt zijn voor de lespraktijk; kennismaking met nieuwe genres (inclusief taaleigen); training in zelfstandig lezen van literatuur en het verkennen van nieuwe genres.', 'Contents', '6 kernteksten uit de Griekse literatuur zullen worden behandeld, die meestal niet tot het gangbare BA-programma behoren:', 'Homerische Hymne van DemeterDe stelling van Pythagoras (Euclides)Euripides, De CycloopDe Eed van Hippocrates; de Heilige ZiekteNieuwe Testament: de Bergrede, Handelingen/Brief Paulus?Longus, Daphnis & Chloe', 'Registration', 'This course is an external elective offered by Masterlanguage and will be taught in Utrecht. For information on this course and for registration, please visit the website https://masterlanguage.nl/en .', 'Teaching method and contact hours', '6 x 3 uur: 1 uur hoorcollege + 2 uur werkcollege/responsiecollege (lectuur + vragen)', 'Assessment', 'Written exam']"
2020,"""Losing Earth""?: Activism and diplomacy on the environment and climate since 1968.",English,Graduate School of Humanities,"['/xmlpages/page/2020-2021/zoek-docent/docent/8011', '/xmlpages/page/2020-2021/zoek-docent/docent/8677']","['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6111', '/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6112', '/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6116', '/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6119', '/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6121']","['Objectives', ""Het verkrijgen van een overzicht van civil-society activisme en internationale diplomatie op het terrein van milieu- en klimaatvraagstukken sinds de jaren '60. - Zelfstandig een klein onderzoek uitvoeren, gebaseerd op zelfstandig literatuuronderzoek en met gebruik van primair bronnenmateriaal; neerslag in de vorm van een historisch onderbouwde reflectie op heden en toekomst."", '- Het kritisch lezen van, en constructief reflecteren op, het werk van medestudenten in de context van project-presentaties.', 'Contents', 'De grote paradox, en uitdaging, van onze tijd is dat de manier waarop de moderne wereld sinds de negentiende eeuw grotere en breder gedeelde welvaart heeft gecreëerd (en nog altijd creëert) tegelijk zulke grote ecologische en klimatologische veranderingen heeft veroorzaakt (en nog altijd veroorzaakt) dat op afzienbare termijn de mensheid, en de ecosystemen waarbinnen zij overleeft, in hun bestaan wordt bedreigd.', '', ""Sinds de mensheid zich hiervan bewust is gaan worden, heeft er een nauwe band bestaan tussen wat lokaal gebeurt en internationaal. Zonder lokale en transnationale actie geen diplomatie. Zonder wetenschappelijke consensus geen draagvlak voor actie. Deze drie aspecten: ontwikkeling van wetenschappelijke consensus over de belangrijkste ecologische en klimatologische uitdagingen; civil society activisme over deze realiteiten; en de internationale diplomatie over deze vraagstukken, zullen in dit vak centraal staan voor de periode sinds eind jaren '60 van de twintigste eeuw. Gezien de grensoverschrijdende aard van de uitdagingen, ligt de nadruk op de internationale en transnationale aspecten."", '', 'Als historici vinden we dat eigentijdse uitdagingen slechts op basis van kennis van hun historische achtergrond begrepen kunnen worden, en dat historisch inzicht onontbeerlijk is bij het nadenken over handelen in het heden met het oog op de toekomst. Ook bij de grote ecologische en klimatologische uitdagingen van de 21e eeuw is dit het geval. Een expliciet doel van dit vak is daarom niet slechts de historische analyse (hoewel dat nog altijd het hoofddoel is) maar ook de koppeling ervan aan een concrete reflectie op mogelijk handelen in het heden.', '', '', 'Teaching method and contact hours', 'Werkcollege']"
2020,"""Stop right here!"": The Body, Borders and State Power",English,Graduate school of Social Sciences,['/xmlpages/page/2020-2021/zoek-docent/docent/11754'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6196'],"['Objectives', 'Become acquainted with recent sociological puzzles and debates in critical border and migration studiesBecome acquainted with a selection of recent academic publications on the sociology and anthropology of the stateBecome able to think with black and mestiza feminism about the state and the lawBecome able to think with transgender studies about “juridical myths” of bodily integrity', '', 'Develop a sociological perspective on mobility and the body regarding intersecting infrastructures of power.', '', 'Practice sociological writing skills and qualitative interview techniques', 'Contents', 'Students will be motivated to critically think about state power and its borders, rather as spaces with depth, spaces that shift shape in the encounter with variously differentiated bodies. For some people crossing the border is smooth. The line seems to disappear when having ‘crossed’ it by, for example, leaving an airport. For others, borders are spaces of blockage and suspicion, they will not disappear and they continuously run the risk of (re)encountering the border. For them the border materializes again and again: in the form of a police officer checking a person’s legal status or a routine check that could lead to detention and deportation. Hence, some are made to feel safe and some feel anxious when being interpellated by one of the multiple forms of state power.', 'We will study these state and border infra/structures in their inherent relations to other contingent systems of power – like white supremacy, sexism and coloniality – that differentiate bodies into ‘other’ and ‘self’, into ‘suspect’ and ‘trustworthy’, into ‘belonging’ and ‘unbelonging’. In order to do this, we will read texts ranging from critical border studies to the sociology of the state, to Science and Technology studies on (racial) works of classification, to black and mestiza feminism and into the field of gender and sexuality studies. This will help us engage with questions of how the state bounds and borders movement, classifies bodies in order to continuously imagine a national self. As such, this course is not staged to study ‘the migrant’ as the other out there, but as a phenomenon shaped, policed and practiced to maintain a sense of (securitized) national self.', 'Registration', 'Through Selfservice SIS.', 'Teaching method and contact hours', 'We will have once a week a seminar in which we welcome guest lecturers, and once a week we will meet for a tutorial in which we read parts of the texts together. We will connect our exchange of knowledge to the larger theme of the state, the border and its work of differentiating bodies. We will also have a special seminar with a (former) immigration officer on the affective and emotional side of his work. He will challenge all of us to think about the hard decisions he had to make. \xa0We will not get away easily with attaching all accountability onto him as we, currently in this part of the world, are all in different ways part of his state work. Near the end of the course, students will present and discuss their ideas for their final paper.', 'Our gatherings are both online and on campus (hybrid teaching)', 'Study materials', 'Various articles and chapters from, among others, Simone Browne, Talal Asad, Christina Sharpe, Alexander Weheliye, Stephano Harney, Willem Schinkel, Amade M’charek, Gloria Anzaldua, Nicholas De Genova, Angela Davis, Susan Stryker, bell hooks and Miriam Ticktin. Made available on Canvas.', '', 'Assessment', 'Participation in tutorials and seminars: 10 %Annotated bibliography of 15 texts we have been readings (40 %)Final essay of between 2000 to 4000 words (50%)', 'Remarks', 'Plagiarism and fraud: All exams and papers will be checked for plagiarism and fraud (and when found out, consequences will be serious). For university regulations and procedures in case of plagiarism and fraud see: https://student.uva.nl/social-sciences/shared/studentensites/uva-studentensite/en/az/plagiarism-and-fraud/plagiarism-and-fraud.html.']"
2020,(Bio) Molecular Spectroscopy,English,Graduate School of Sciences,['/xmlpages/page/2020-2021/zoek-docent/docent/11753'],"['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6261', '/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6287']","['Objectives', 'Understand interactions between light and molecules as studied and employed by optical spectroscopyAcquire basic knowledge and reasoning on several spectroscopic principles and techniques and their application towards (bio)molecular analysis', 'Contents', 'The course starts with an introduction to photophysical principles and fundamentals of molecular spectroscopy. Basic aspects of molecular orbitals, electronic transitions and quantummechanics are treated. Basic properties of light and principal optical instrumentation are discussed. The fundamentals, practice and applications of electronic spectroscopy (UV/Vis absorption, fluorescence, phosphorescence) and vibrational spectroscopy (infrared, Raman) are systematically treated. Special attention is devoted to alternative absorption tecniques, atomic and surface spectroscopy, and spectroscopic imaging techniques.', 'The preparation and presentation of an instructive lecture (in teams of 2 students) on a spectroscopic topic of societal, economic, educational and/or scientific relevance, is part of the course.', 'Recommended prior knowledge', 'Basic principles of molecular orbitals, energy levels and molecular vibrations. Basic experience with absorption spectrometry.', 'Registration', 'More information about procedures and registration periods can be found at http://student.uva.nl/chem/az/item/course-registration.html', 'Teaching method and contact hours', 'LectureSeminarPresentation/symposiumSelf-studyExercises', 'Time', 'The schedule for this course is published on DataNose.', 'Study materials', 'Practical training material:Handouts of lectures and supporting material.', 'Assessment', '- Written examination.', '- Presentation.', '- Graded home work exercise.', 'Remarks', '- Canvas for course management.', ""- The content of this course is quite basic. Students that already did an elective course on MolecularSpectroscopy during their bachelor's or master's are advised to follow the Advanced Spectroscopy course(period 6) and NOT this course.""]"
2020,"1.1: Gezondheid, zorg, en informatie",Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/10446'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5279']"
2020,1.2: Ontwikkelen van zorgapplicaties,Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/5991'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5280']"
2020,1.3: Volksgezondheid & gezondheidszorg,Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/502590'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5281']"
2020,1.4: Hoe werken & denken dokters,Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/9816'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5282']"
2020,1.5: Wiskunde en logische diagnoses,Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/5461'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5283']"
2020,1.6: Zelfzorg met e-health,Nederlands,Medische informatiekunde,['/xmlpages/page/2020-2021/zoek-docent/docent/10447'],['/xmlpages/page/2020-2021/zoek-opleiding/opleiding/6303'],"['Inhoud', 'https://acte.amc.nl/groups/2/programs/209/courses/5284']"
